,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,32439,15546,20129,19876,28865,40855,31406,29743,28200,19246,20705,Upgrade
1,Market Cap Growth,-21.78%,-21.78%,-30.26%,-51.35%,-8.09%,37.36%,11.37%,54.55%,36.20%,59.57%,62.37%,Upgrade
2,Enterprise Value,193275,196647,178443,197337,205790,197788,162941,153884,111168,119774,87823,Upgrade
3,Last Close Price,12.80,6.14,7.43,7.34,9.96,14.21,10.59,10.08,9.14,6.24,7.41,Upgrade
4,PE Ratio,11.52,5.53,5.91,5.35,9.88,11.06,7.86,8.86,9.60,14.87,-,Upgrade
5,Forward PE,5.00,2.23,2.67,2.76,4.48,7.43,8.57,9.28,7.16,6.12,6.85,Upgrade
6,PS Ratio,0.21,0.10,0.14,0.15,0.20,0.27,0.26,0.32,0.36,0.26,0.30,Upgrade
7,PB Ratio,0.82,0.13,0.16,0.17,0.23,0.33,0.24,0.28,0.28,0.24,0.27,Upgrade
8,P/TBV Ratio,0.41,0.41,0.53,0.53,0.71,0.95,0.57,0.48,0.46,0.33,0.38,Upgrade
9,P/FCF Ratio,1.37,0.66,0.81,0.46,1.80,-,4.78,-,-6.56,-,-,Upgrade
10,P/OCF Ratio,0.65,0.65,0.80,0.46,1.75,-,4.37,-,-7.65,-,-,Upgrade
11,PEG Ratio,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22,Upgrade
12,EV/Sales Ratio,1.25,1.27,1.23,1.53,1.43,1.31,1.32,1.64,1.42,1.63,1.27,Upgrade
13,EV/EBITDA Ratio,17.83,21.60,17.02,13.69,12.84,12.73,12.61,12.25,10.58,11.95,8.49,Upgrade
14,EV/EBIT Ratio,19.16,23.11,18.05,14.26,13.33,13.22,13.15,12.82,11.19,12.63,8.98,Upgrade
15,EV/FCF Ratio,8.17,8.31,7.16,4.60,12.82,-,24.78,-,-25.85,-,-,Upgrade
16,Debt / Equity Ratio,1.37,1.37,1.37,1.36,1.34,1.31,1.25,1.43,1.56,1.51,1.68,Upgrade
17,Debt / FCF Ratio,6.76,6.76,6.92,3.60,10.53,-,25.03,-,-36.55,-,-,Upgrade
18,Return on Capital Employed (ROCE),3.51%,3.51%,3.86%,5.79%,5.93%,5.66%,4.84%,5.17%,4.75%,5.54%,6.49%,Upgrade
19,Earnings Yield,8.67%,18.09%,17.06%,19.03%,10.79%,11.04%,17.47%,16.66%,15.99%,14.36%,13.40%,Upgrade
20,FCF Yield,72.92%,152.15%,123.77%,215.84%,55.61%,11.34%,20.94%,-13.35%,-15.25%,-100.31%,-47.21%,Upgrade
21,Buyback Yield / Dilution,0.39%,0.17%,0.60%,-0.46%,-1.74%,-1.02%,0.20%,-12.00%,-15.56%,-2.85%,-0.14%,Upgrade
22,Total Shareholder Return,4.07%,0.17%,0.60%,-0.46%,-1.74%,-1.02%,0.20%,-12.00%,-15.56%,-2.85%,-0.14%,Upgrade
