,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,69562,74407,56976,62422,64731,64105,36135,41886,23896,42935,Upgrade
1,Revenue Growth (YoY),22.09%,19.20%,-11.98%,-2.63%,79.14%,53.05%,51.22%,-2.44%,28.07%,60.39%,Upgrade
2,Cost of Revenue,60458,67254,47056,51634,53498,53872,28200,32497,17712,33776,Upgrade
3,Gross Profit,9104,7152,9920,10788,11233,10233,7935,9389,6184,9158,Upgrade
4,"Selling, General & Admin",2816,5200,2668,5175,3115,5471,2563,4573,2070,4324,Upgrade
5,Operating Expenses,2919,5419,2678,5222,3140,5552,2526,4820,2385,4317,Upgrade
6,Operating Income,6185,1733,7242,5566,8093,4682,5409,4569,3799,4841,Upgrade
7,Interest Expense,-1295,-1433,-1483,-1351,-1378,-971.32,-1327,-976.1,-1252,-769.97,Upgrade
8,Interest & Investment Income,1510,980.8,1250,1138,1408,920.39,1081,1113,1356,1033,Upgrade
9,Earnings From Equity Investments,-209.76,1679,485.41,945.16,739.14,1066,416.54,225.56,472.18,429.64,Upgrade
10,Currency Exchange Gain (Loss),-74.06,654.62,-693.46,-269.73,-1102,220.47,161.36,1384,-265.9,-208.44,Upgrade
11,Other Non Operating Income (Expenses),-13.95,272.94,357.81,774.79,335.35,794.62,325.09,347.21,201.36,-680.1,Upgrade
12,EBT Excluding Unusual Items,6103,3888,7159,6804,8096,6712,6066,6662,4310,4645,Upgrade
13,Gain (Loss) on Sale of Investments,3.22,70,-9.62,6.95,4.92,-4.66,6.51,70.43,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-10.96,-26.95,34.31,9.84,-4.82,169.09,5.83,145.61,28.17,39.05,Upgrade
15,Asset Writedown,-1426,-1355,-387.77,-1226,-384.76,-373.88,-156.27,-773.05,-14.42,-62.8,Upgrade
16,Other Unusual Items,-,-3.53,355.72,-59.32,10.08,130.24,-,0.02,324.41,245.24,Upgrade
17,Pretax Income,4669,2573,7152,5535,7721,6633,5922,6105,4648,4867,Upgrade
18,Income Tax Expense,1349,535.96,2511,1501,2861,2856,2012,3473,1518,4004,Upgrade
19,Earnings From Continuing Operations,3320,2037,4641,4034,4860,3777,3910,2633,3130,862.79,Upgrade
20,Minority Interest in Earnings,-1275,-1464,-2096,-3079,-3060,-1726,-1492,-931.85,-1035,-440.13,Upgrade
21,Net Income,2045,572.57,2545,955.16,1801,2051,2418,1701,2096,422.66,Upgrade
22,Preferred Dividends & Other Adjustments,-,-,25.95,37.06,134.59,564.24,649.57,676.71,646.24,692.54,Upgrade
23,Net Income to Common,2045,572.57,2519,918.1,1666,1487,1769,1024,1450,-269.88,Upgrade
24,Net Income Growth,-19.65%,-40.05%,41.32%,-53.43%,-25.53%,20.59%,15.39%,302.37%,1.86%,-,Upgrade
25,Shares Outstanding (Basic),2532,2532,2532,2526,2506,2496,2491,2490,2230,2163,Upgrade
26,Shares Outstanding (Diluted),2532,2532,2536,2547,2525,2504,2499,2509,2231,2171,Upgrade
27,Shares Change (YoY),-0.17%,-0.60%,0.46%,1.74%,1.02%,-0.20%,12.00%,15.56%,2.85%,0.14%,Upgrade
28,EPS (Basic),0.81,0.23,0.99,0.36,0.66,0.60,0.71,0.41,0.65,-0.12,Upgrade
29,EPS (Diluted),0.81,0.23,0.99,0.36,0.66,0.59,0.71,0.40,0.65,-0.12,Upgrade
30,EPS Growth,-18.42%,-37.42%,50.00%,-38.77%,-7.04%,45.93%,9.25%,-,-3.00%,-,Upgrade
31,Free Cash Flow,16222,5791,16823,22880,-8681,12637,-7280,3978,-7599,-9996,Upgrade
32,Free Cash Flow Per Share,6.41,2.29,6.63,8.98,-3.44,5.05,-2.91,1.59,-3.41,-4.60,Upgrade
33,Operating Margin,8.89%,2.33%,12.71%,8.92%,12.50%,7.30%,14.97%,10.91%,15.90%,11.28%,Upgrade
34,Profit Margin,2.94%,0.77%,4.42%,1.47%,2.57%,2.32%,4.89%,2.44%,6.07%,-0.63%,Upgrade
35,Free Cash Flow Margin,23.32%,7.78%,29.53%,36.65%,-13.41%,19.71%,-20.15%,9.50%,-31.80%,-23.28%,Upgrade
36,EBITDA,6500,1972,7547,5792,8385,4883,5646,4802,4044,5092,Upgrade
37,D&A For EBITDA,314.94,238.94,304.6,225.34,292.39,201.04,236.2,232.76,245.17,250.18,Upgrade
38,EBIT,6185,1733,7242,5566,8093,4682,5409,4569,3799,4841,Upgrade
