,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,6887646,8500998,13032038,12428888,12252001,9696669,13252855,7868452,8324589,11881408,20325198,19060015,22471376,13376486,14644184,14018629,13696099,5628549,7489590,6157827,Upgrade
1,Short-Term Investments,18974717,16386803,15314673,22271419,22171868,19957223,22848207,27420904,26262547,27029903,19738073,27249295,18236153,21440678,16837705,10806769,7930293,8790111,4657804,1617339,Upgrade
2,Cash & Short-Term Investments,25862363,24887801,28346711,34700307,34423869,29653892,36101062,35289355,34587136,38911311,40063271,46309310,40707528,34817164,31481889,24825398,21626392,14418659,12147393,7775166,Upgrade
3,Cash Growth,-24.87%,-16.07%,-21.48%,-1.67%,-0.47%,-23.79%,-9.89%,-23.80%,-15.04%,11.76%,27.26%,86.54%,88.23%,141.47%,159.17%,219.29%,265.36%,148.01%,42.79%,-16.67%,Upgrade
4,Accounts Receivable,4192342,4934242,6707567,6866538,5952911,3974380,5083474,3835527,2917513,3264454,5450666,5538140,4933821,7133552,4350799,5671575,3910151,4014727,3139783,3890098,Upgrade
5,Other Receivables,1232133,671229,935193,1198053,1714220,1747493,1834647,1697621,1340877,2191251,879308,587141,581660,565835,430534,1233974,274194,631696,103331,209062,Upgrade
6,Receivables,5511936,5923933,7880222,8303175,7870732,5926167,7117117,5735436,4382590,5651654,6527427,6202005,5545060,7699387,4783135,6905549,4185164,4646423,3243114,4099160,Upgrade
7,Inventory,46520645,40197821,40163541,42714280,34504487,33524023,32001579,34306897,34491111,43880267,57556984,40036171,42137797,46006414,39807051,27750576,26287219,20979334,20763288,19554349,Upgrade
8,Prepaid Expenses,426149,485175,441107,424766,330835,430167,364994,318146,320077,382374,314901,285712,296697,300139,193305,166415,141398,110335,114554,127002,Upgrade
9,Other Current Assets,8757481,9347073,7635250,7889930,5586517,8948318,9369569,9762302,6733797,8044947,15757978,7606522,5467777,7135278,6160310,4295221,4507085,3164612,2752861,2578424,Upgrade
10,Total Current Assets,87078573,80841803,84466831,94032458,82716439,78482566,84954320,85412137,80514711,96870553,120220562,100439720,94154860,95958382,82425690,63943159,56747258,43319363,39021211,34134100,Upgrade
11,"Property, Plant & Equipment",130993591,123976491,115242172,100988715,97886181,88675599,85021466,83730714,83562429,80832092,80054349,79092409,78442825,74492050,72314096,71736496,71555033,71112320,70768431,70085944,Upgrade
12,Long-Term Investments,136500,136500,136500,-,40000,40000,700,700,700,533222,1048222,520795,6716,30722,23058,161389,171085,27962,33457,35551,Upgrade
13,Goodwill,63613,66834,69859,72884,75909,78934,81959,84984,88009,32631,34128,35625,37122,38619,40116,41613,43110,44607,46104,54423,Upgrade
14,Other Intangible Assets,184216,189599,193459,202662,211119,571371,614958,619648,633762,594289,573832,545826,536716,399588,402902,191864,253837,257713,260550,264913,Upgrade
15,Long-Term Deferred Tax Assets,254671,228731,191825,186339,163088,222355,182064,228941,83071,4738,341417,381476,529356,610007,515727,330972,225553,348098,336019,308058,Upgrade
16,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1875466,-,-,1530055,1567443,1608467,Upgrade
17,Other Long-Term Assets,5778540,5946385,6308433,6361817,6594499,5340494,5336913,5229794,5351147,4830266,5111907,4713927,4410427,2977779,2055590,2422105,2419550,753150,606152,613079,Upgrade
18,Total Assets,224489705,211386344,206609080,201940226,187782587,173507012,176294074,175408611,170335522,183805111,207496628,185847109,178236422,174643274,159809151,138982270,131511434,117472262,112644201,107108967,Upgrade
19,Accounts Payable,14109543,9950658,15940015,14701051,12387496,10868895,13159994,14063008,11107163,14586621,27836775,20456785,23729143,22859467,23727790,10002432,10915753,8753634,8686643,6135745,Upgrade
20,Accrued Expenses,2636021,2826628,2650209,2224538,2422596,2583041,2606506,2552248,2887488,2997652,3456017,3176843,3565661,2077309,1961993,1975756,2225654,1756296,1758953,1456668,Upgrade
21,Short-Term Debt,55882684,54180723,48506520,61438296,47305925,49237591,51748268,50354262,39103657,52871495,49857283,46260964,37547008,43356752,34607966,37292384,31553932,23997067,19820560,21100127,Upgrade
22,Current Portion of Long-Term Debt,-,-,4808793,-,7675958,-,-,-,7645013,-,6718345,-,6200635,-,5663550,-,5244534,-,2193362,-,Upgrade
23,Current Income Taxes Payable,1664411,1212932,800121,406025,837270,596315,411101,218528,419965,785737,640531,585614,601814,2032192,1434357,803900,489302,919341,688151,361329,Upgrade
24,Current Unearned Revenue,11060,192726,26532,46351,9980,70687,33819,64406,16975,34852,34415,75041,16952,19963,27083,61077,34564,20429,36051,33391,Upgrade
25,Other Current Liabilities,1199723,631459,819052,498228,874268,760598,775702,646275,1205131,1253402,5070810,1892363,1798103,1649942,1910282,1368528,1511479,512567,377575,532027,Upgrade
26,Total Current Liabilities,75503443,68995125,73551241,79314488,71513493,64117126,68735390,67898727,62385393,72529759,93614176,72447610,73459316,71995624,69333020,51504078,51975217,35959335,33561295,29619288,Upgrade
27,Long-Term Debt,27080443,24517626,19674955,16080142,10399119,8744590,8878940,10304997,11151651,12629305,13443162,13921989,13464932,17710867,15722216,18268027,17343248,21254553,20652230,20243611,Upgrade
28,Long-Term Unearned Revenue,-,174.65,174.65,174.65,174.65,4109,4109,4109,4109,8803,8803,8803,8803,16128,16128,16128,16128,19063,19063,19063,Upgrade
29,Long-Term Deferred Tax Liabilities,29268,29464,29661,29818,30013,30081,30277,30471,31207,194.7,194.7,-,-,1749,1749,-,666.26,1027,1044,1061,Upgrade
30,Other Long-Term Liabilities,7229095,6064856,4676483,891022,3003368,745917,785066,732331,650222,561566,514891,510769,522746,593223,751600,2972477,2956389,5251013,5829993,7162536,Upgrade
31,Total Liabilities,109842250,99607247,97932515,96315645,84946167,73641823,78433783,78970636,74222582,85729628,107581227,86889171,87455797,90317590,85824712,72760709,72291648,62484991,60063624,57045558,Upgrade
32,Common Stock,63962502,63962502,63962502,58147857,58147857,58147857,58147857,58147857,58147857,58147857,44729227,44729227,44729227,44729227,44729227,33132827,33132827,33132827,27610741,27610741,Upgrade
33,Additional Paid-In Capital,-,-,-,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,3211560,Upgrade
34,Retained Earnings,50392121,47627419,44611479,44161051,41411232,38457936,36452320,35014428,34668612,36637034,51868750,50860117,42686975,36203845,25853612,29690095,22721084,18449789,21579705,19057178,Upgrade
35,Comprehensive Income & Other,-,-,-,-,-,-24206,-28467,-26900,-20652,-33174,-17956,12343,-1926,-8280,6013,9006,5568,3712,2692,1306,Upgrade
36,Total Common Equity,114354623,111589921,108573981,105520468,102770649,99793148,97783270,96346945,96007377,97963277,99791581,98813248,90625837,84136353,73800413,66043489,59071040,54797889,52404698,49880785,Upgrade
37,Minority Interest,292833,189176,102584,104113,65770,72040,77021,91031,105562,112206,123820,144690,154789,189331,184026,178072,148747,189382,175878,182624,Upgrade
38,Shareholders' Equity,114647455,111779097,108676565,105624581,102836419,99865188,97860291,96437975,96112940,98075483,99915401,98957938,90780626,84325684,73984439,66221560,59219786,54987271,52580576,50063409,Upgrade
39,Total Liabilities & Equity,224489705,211386344,206609080,201940226,187782587,173507012,176294074,175408611,170335522,183805111,207496628,185847109,178236422,174643274,159809151,138982270,131511434,117472262,112644201,107108967,Upgrade
40,Total Debt,82963128,78698349,72990269,77518438,65381002,57982181,60627208,60659259,57900322,65500800,70018790,60182953,57212575,61067619,55993732,55560411,54141713,45251621,42666151,41343738,Upgrade
41,Net Cash (Debt),-57100765,-53810548,-44643558,-42818131,-30957134,-28328289,-24526146,-25369904,-23313186,-26589489,-29955519,-13873643,-16505047,-26250455,-24511843,-30735013,-32515321,-30832962,-30518758,-33568572,Upgrade
42,Net Cash Per Share,-8927.21,-8412.81,-6979.65,-6694.24,-4839.88,-4428.88,-3834.45,-3966.36,-3644.81,-4157.03,-4683.27,-2169.02,-2580.41,-4104.02,-3832.20,-4805.13,-5083.46,-4820.44,-4771.31,-5248.12,Upgrade
43,Filing Date Shares Outstanding,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,Upgrade
44,Total Common Shares Outstanding,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,6396,Upgrade
45,Working Capital,11575131,11846678,10915590,14717970,11202946,14365440,16218930,17513410,18129318,24340794,26606386,27992110,20695544,23962758,13092670,12439081,4772041,7360028,5459916,4514813,Upgrade
46,Book Value Per Share,17878.35,17446.11,16974.63,16497.20,16067.29,15601.79,15287.56,15063.00,15009.91,15315.70,15601.50,15448.55,14168.52,13153.95,11538.02,10325.28,9235.20,8567.13,8192.97,7798.38,Upgrade
47,Tangible Book Value,114106793,111333488,108310663,105244922,102483621,99142843,97086354,95642313,95285607,97336357,99183622,98231798,90051999,83698146,73357395,65810012,58774092,54495569,52098044,49561450,Upgrade
