,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Operating Revenue,34490982,33956260,39555510,30852360,34383805,28484088,29496383,26588752,25825732,34103341,37422055,44058147,44710732,38673829,35118355,31176875,25778031,24685562,20422202,19232708,Upgrade
1,Revenue,34490982,33956260,39555510,30852360,34383805,28484088,29496383,26588752,25825732,34103341,37422055,44058147,44710732,38673829,35118355,31176875,25778031,24685562,20422202,19232708,Upgrade
2,Revenue Growth (YoY),0.31%,19.21%,34.10%,16.04%,33.14%,-16.48%,-21.18%,-39.65%,-42.24%,-11.82%,6.56%,41.32%,73.45%,56.67%,71.96%,62.10%,43.41%,63.62%,35.27%,24.09%,Upgrade
3,Cost of Revenue,30126073,29225084,34308029,26698377,29912195,24889281,26301396,24912315,26710982,33102614,30882432,33949820,35123322,26812930,23641296,22993833,19511607,19516497,16716700,15469650,Upgrade
4,Gross Profit,4364909,4731177,5247480,4153983,4471610,3594807,3194987,1676437,-885250,1000728,6539622,10108326,9587410,11860899,11477059,8183042,6266424,5169065,3705502,3763058,Upgrade
5,"Selling, General & Admin",747530,1041710,1135928,957657,760893,878848,871427,757485,1058956,929406,856328,840561,1220240,818707,784830,620553,493697,461759,414554,411083,Upgrade
6,Operating Expenses,747530,1041710,1135928,957657,760893,878848,871427,757485,1058956,929406,856328,840561,1220240,818707,784830,620553,493697,461759,414554,411083,Upgrade
7,Operating Income,3617379,3689467,4111553,3196326,3710718,2715959,2323560,918952,-1944206,71322,5683294,9267766,8367170,11042192,10692229,7562489,5772727,4707306,3290948,3351975,Upgrade
8,Interest Expense,-562493,-525115,-564134,-635619,-1244511,-855978,-1028567,-989589,-1417258,-836701,-717353,-596933,-1659167,-675108,-599661,-621547,-788000,-540809,-523374,-481083,Upgrade
9,Interest & Investment Income,292587,255961,1239705,422691,-,459203,1490994,536513,-,484617,479604,416511,-,319944,1674720,229366,-,146565,450574,63524,Upgrade
10,Earnings From Equity Investments,-,-,-,-,-,-,-,-,-,-,72.32,-1145,-17.62,7748,6426,-9692,-6729,-5495,16346,-2157,Upgrade
11,Currency Exchange Gain (Loss),-66033,-32337,124788,-92451,-138522,-175817,107006,68811,-1858656,-1012506,-1090432,-122138,225268,302849,-332239,29389,-62791,-26168,312343,-286175,Upgrade
