,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,37,45,24,36,45,38,51,64,60,46,48,Upgrade
1,Market Cap Growth,25.00%,25.00%,-45.71%,-6.67%,-12.50%,-40.00%,-14.89%,38.89%,23.68%,-40.00%,-58.70%,Upgrade
2,Enterprise Value,-49,-38,-58,-55,-44,-66,-51,-41,-31,-64,-76,Upgrade
3,Last Close Price,0.03,0.04,0.02,0.03,0.04,0.03,0.04,0.05,0.05,0.04,0.04,Upgrade
4,PE Ratio,6.26,7.56,-3.26,-,-3.08,-,-394.34,-,-6.87,-,-,Upgrade
5,PS Ratio,8.11,9.79,4.82,7.33,9.71,8.11,11.43,13.77,16.18,11.99,12.43,Upgrade
6,PB Ratio,0.42,0.50,0.29,0.43,0.49,0.43,0.49,0.62,0.57,0.49,0.43,Upgrade
7,P/TBV Ratio,0.50,0.50,0.29,0.43,0.49,0.43,0.49,0.62,0.57,0.49,0.43,Upgrade
8,P/FCF Ratio,7.55,7.55,-,16.01,-,7.25,23.36,-,-,-,-,Upgrade
9,P/OCF Ratio,7.55,7.55,-,16.01,-,7.25,23.36,-,-,-,-,Upgrade
10,Return on Capital Employed (ROCE),-,-0.46%,-,-0.06%,-,-1.10%,-,0.23%,-,-2.36%,-,Upgrade
11,Earnings Yield,15.96%,13.23%,-30.66%,-19.73%,-32.43%,-34.35%,-0.25%,13.06%,-14.55%,-71.19%,-92.11%,Upgrade
12,FCF Yield,13.25%,13.25%,4.30%,6.25%,0.77%,13.78%,4.28%,-7.18%,-12.83%,-42.85%,-49.37%,Upgrade
13,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-,-9.55%,Upgrade,
14,Total Shareholder Return,-,-,-,-,-,-,-,-,-,-9.55%,Upgrade,
