,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,3740,3992,-,-,-,-,-
1,Enterprise Value,3022,3703,-,-,-,-,-
2,Last Close Price,41.10,42.59,-,-,-,-,-
3,PE Ratio,8.85,25.00,-,-,-,-,-
4,PS Ratio,2.29,5.73,-,-,-,-,-
5,PB Ratio,1.89,2.02,-,-,-,-,-
6,P/TBV Ratio,2.21,2.21,-,-,-,-,-
7,P/FCF Ratio,22.99,105.78,-,-,-,-,-
8,P/OCF Ratio,10.05,14.86,-,-,-,-,-
9,EV/Sales Ratio,2.34,5.32,-,-,-,-,-
10,EV/EBITDA Ratio,7.68,23.48,-,-,-,-,-
11,EV/EBIT Ratio,8.41,28.48,-,-,-,-,-
12,EV/FCF Ratio,18.57,98.12,-,-,-,-,-
13,Debt / Equity Ratio,0.04,0.04,0.16,0.12,-,-,0.18
14,Debt / EBITDA Ratio,0.21,0.26,15.52,0.41,-,-,0.51
15,Debt / FCF Ratio,0.50,2.14,17.55,-,-,-,-
16,Asset Turnover,0.20,0.24,-,-,-,-,
17,Inventory Turnover,-,0.61,0.75,-,-,-,-
18,Quick Ratio,0.96,0.96,0.72,0.68,-,-,-
19,Current Ratio,1.78,1.78,1.34,1.42,-,-,-
20,Return on Equity (ROE),16.31%,2.13%,-,-,-,-,
21,Return on Assets (ROA),6.34%,-0.42%,-,-,-,-,
22,Return on Capital (ROIC),10.30%,-0.73%,-,-,-,-,
23,Return on Capital Employed (ROCE),16.87%,6.10%,-,9.55%,-,-,-
24,Earnings Yield,8.96%,4.00%,-,-,-,-,-
25,FCF Yield,4.35%,0.95%,-,-,-,-,-
26,Payout Ratio,1.52%,2.06%,22.16%,1.57%,8.06%,32.41%,2.68%
27,Buyback Yield / Dilution,-5.89%,-22.67%,-0.56%,-,-,-,-
28,Total Shareholder Return,0.19%,-22.67%,-0.56%,-,-,-,-
