,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,736.08,395.44,337.79,-,-,-
1,Short-Term Investments,-,33.05,-,-,-,-
2,Trading Asset Securities,63.13,55.9,53.98,-,-,-
3,Cash & Short-Term Investments,799.21,484.4,391.77,-,-,444.58
4,Cash Growth,-,8.96%,-,-,-,-
5,Accounts Receivable,235.99,214.34,228.04,-,-,-
6,Other Receivables,7.63,7.35,7.63,-,-,-
7,Receivables,243.62,221.69,235.67,-,-,-
8,Inventory,566.98,519.07,496.37,-,-,-
9,Other Current Assets,326.36,90.26,188.27,-,-,-
10,Total Current Assets,1936,1315,1312,-,-,-
11,"Property, Plant & Equipment",457.67,445.21,385.17,-,-,-
12,Long-Term Investments,619.06,392.89,369.81,-,-,-
13,Other Intangible Assets,167.75,168.73,169.71,-,-,-
14,Long-Term Deferred Tax Assets,33.99,42.47,35.87,-,-,-
15,Other Long-Term Assets,0.32,0.67,0.07,-,-,-
16,Total Assets,3215,2365,2273,-,-,-
17,Accounts Payable,109.1,136.03,105.97,-,-,-
18,Accrued Expenses,55.16,43.36,20.36,-,-,-
19,Short-Term Debt,-,78.06,78.07,-,-,-
20,Current Portion of Long-Term Debt,17.14,67.02,-,-,-,-
21,Current Portion of Leases,-,0.17,-,-,-,-
22,Current Income Taxes Payable,19.51,6.84,27.17,-,-,-
23,Current Unearned Revenue,751.94,632.45,605.84,-,-,-
24,Other Current Liabilities,132.17,14.18,85.97,-,-,-
25,Total Current Liabilities,1085,978.11,923.39,-,-,-
26,Long-Term Debt,63.25,49.95,59.48,-,-,-
27,Long-Term Leases,0.29,0.29,0.29,-,-,-
28,Long-Term Unearned Revenue,50.54,50.94,37.76,-,-,-
29,Long-Term Deferred Tax Liabilities,4.35,4.73,4.43,-,-,-
30,Other Long-Term Liabilities,35.78,96.21,74.93,-,-,-
31,Total Liabilities,1239,1180,1100,-,-,-
32,Common Stock,91,68.25,68.25,-,-,-
33,Additional Paid-In Capital,1249,431.74,425.76,-,-,-
34,Retained Earnings,618.45,667.76,661.5,-,-,-
35,Comprehensive Income & Other,17.27,17.39,16.91,-,-,-
36,Shareholders' Equity,1976,1185,1172,-,-,801.37
37,Total Liabilities & Equity,3215,2365,2273,-,-,-
38,Total Debt,80.68,195.49,137.84,-,-,142.41
39,Net Cash (Debt),718.53,288.9,253.93,-,-,302.17
40,Net Cash Growth,-,-4.39%,-,-,-,-
41,Net Cash Per Share,8.61,4.21,3.71,-,-,4.43
42,Filing Date Shares Outstanding,91,68.25,68.25,68.65,68.01,68.17
43,Total Common Shares Outstanding,91,68.25,68.25,68.65,68.01,68.17
44,Working Capital,851.14,337.3,388.68,-,-,-
45,Book Value Per Share,21.71,17.36,17.18,-,-,11.76
46,Tangible Book Value,1808,1016,1003,-,-,678.5
47,Tangible Book Value Per Share,19.87,14.89,14.69,-,-,9.96
48,Buildings,-,222.82,-,-,-,-
49,Machinery,-,166.22,-,-,-,-
50,Construction In Progress,-,183.98,-,-,-,-
