,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Operating Revenue,139.25,140.03,316.1,103.06,135.41,268.77
1,Other Revenue,-1.19,0.76,0.43,-2.01,1,1.01
2,Revenue,138.06,140.79,316.53,101.05,136.41,269.78
3,Revenue Growth (YoY),1.21%,-47.81%,-,-,-,-
4,Cost of Revenue,82.16,95.59,185.86,66.91,93.11,146.29
5,Gross Profit,55.9,45.2,130.67,34.14,43.3,123.49
6,"Selling, General & Admin",41.63,31.99,44.29,38.26,27.45,42.59
7,Research & Development,12.63,16.9,14.59,13.71,14.81,13.49
8,Other Operating Expenses,-68.97,0.56,0.57,-0.77,1.21,-0.77
9,Operating Expenses,-14.9,49.13,54.84,46.82,41.62,59.46
10,Operating Income,70.79,-3.93,75.83,-12.68,1.68,64.03
11,Interest Expense,-1.24,-1.4,-1.23,-1.42,-1.23,-1.46
12,Interest & Investment Income,12.63,5.41,5.72,33.75,2.19,2.12
13,Other Non Operating Income (Expenses),6.63,0.25,-0.03,-0.27,-0.26,-0.98
14,EBT Excluding Unusual Items,88.81,0.33,80.29,19.38,2.38,63.7
15,Gain (Loss) on Sale of Investments,-2.06,0.42,0.42,0.46,0.5,0.42
16,Gain (Loss) on Sale of Assets,-0,-,0.21,0.02,1.13,-0.55
17,Asset Writedown,-3.13,0.99,-0.99,-0.43,0.6,-0.62
18,Other Unusual Items,-8.26,4.28,3.98,-0.5,0.5,-
19,Pretax Income,75.36,6.02,83.91,18.93,5.11,62.95
20,Income Tax Expense,10.92,-0.24,12.14,1.7,0.4,9.1
21,Net Income,64.44,6.26,71.77,17.23,4.7,53.85
22,Net Income to Common,64.44,6.26,71.77,17.23,4.7,53.85
23,Net Income Growth,1270.18%,-88.37%,-,-,-,-
24,Shares Outstanding (Basic),83,69,68,69,68,68
25,Shares Outstanding (Diluted),83,69,68,69,68,68
26,Shares Change (YoY),22.67%,0.56%,-,-,-,-
27,EPS (Basic),0.77,0.09,1.05,0.25,0.07,0.79
28,EPS (Diluted),0.77,0.09,1.05,0.25,0.07,0.79
29,EPS Growth,1016.94%,-88.43%,-,-,-,-
30,Free Cash Flow,34.67,12.71,-32.45,22.81,8.07,-73.57
31,Free Cash Flow Per Share,0.42,0.19,-0.47,0.33,0.12,-1.08
32,Dividend Per Share,-,1.250,-,-,-,-
33,Gross Margin,40.49%,32.11%,41.28%,33.78%,31.74%,45.78%
34,Operating Margin,51.28%,-2.79%,23.96%,-12.55%,1.23%,23.73%
35,Profit Margin,46.68%,4.45%,22.67%,17.05%,3.45%,19.96%
36,Free Cash Flow Margin,25.12%,9.03%,-10.25%,22.57%,5.92%,-27.27%
37,EBITDA,78.21,3.08,83.25,-6.79,9.36,69.92
38,EBITDA Margin,56.65%,2.18%,26.30%,-6.72%,6.86%,25.92%
39,D&A For EBITDA,7.42,7,7.42,5.89,7.68,5.89
40,EBIT,70.79,-3.93,75.83,-12.68,1.68,64.03
41,EBIT Margin,51.28%,-2.79%,23.96%,-12.55%,1.23%,23.73%
42,Effective Tax Rate,14.49%,-,14.46%,9.00%,7.87%,14.45%
43,Revenue as Reported,138.06,140.79,316.53,101.05,136.41,269.78
