,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Revenue,111.19,112.62,125.08,104.48,95.69,119.97,94.77,-,54.77,62.28,Upgrade
1,Revenue Growth (YoY),-11.11%,7.80%,30.71%,-12.91%,0.97%,-,73.04%,-,-11.93%,-,Upgrade
2,Cost of Revenue,38.58,47.78,55.53,41.19,32.85,40.69,39.65,-,20.76,34.63,Upgrade
3,Gross Profit,72.61,64.84,69.55,63.29,62.84,79.28,55.12,-,34.01,27.65,Upgrade
4,"Selling, General & Admin",35.53,29.88,29.08,23.51,25.38,33.29,26.49,-,28.51,32.32,Upgrade
5,Other Operating Expenses,27.39,26.82,28.43,35.06,31.11,35.87,29.15,-,23.63,22.1,Upgrade
6,Operating Expenses,62.92,56.69,57.51,59.7,56.49,69.16,55.64,-,52.13,54.42,Upgrade
7,Operating Income,9.69,8.15,12.04,3.6,6.35,10.13,-0.51,-,-18.12,-26.77,Upgrade
8,Interest Expense,-5.72,-5.49,-5.47,-5.57,-4.9,-5.31,-4.97,-,-12.13,-11.1,Upgrade
9,Interest & Investment Income,-,0,-,0.01,-,1.57,0.51,-,0,0,Upgrade
10,Currency Exchange Gain (Loss),-,0,-,1.22,-,-,-,-,-,0.16,Upgrade
11,Other Non Operating Income (Expenses),0.63,0.57,0.46,1.03,2.71,-1.21,2.24,-,1.37,0.04,Upgrade
12,EBT Excluding Unusual Items,4.6,3.24,7.04,0.28,4.16,5.18,-2.74,-,-28.89,-37.67,Upgrade
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-2.56,6.69,-,-,-,Upgrade
14,Gain (Loss) on Sale of Assets,-,2.23,-,-,-,-,0.04,-,0,0.04,Upgrade
15,Other Unusual Items,-,-,-,1.19,-,0.45,-,-,-,-,Upgrade
16,Pretax Income,4.64,5,7.51,1.08,4.54,3.06,3.99,-,-28.88,-37.63,Upgrade
17,Income Tax Expense,0.4,3.7,3.43,-0.28,0.72,2.46,0.58,-,-0.44,2.44,Upgrade
18,Earnings From Continuing Operations,4.24,1.3,4.08,1.36,3.82,0.6,3.41,-,-28.44,-40.06,Upgrade
19,Earnings From Discontinued Operations,-,-,-,-,-,-,-,-,-68.9,-2.82,Upgrade
20,Net Income to Company,4.24,1.3,4.08,1.36,3.82,0.6,3.41,-,-97.35,-42.89,Upgrade
21,Minority Interest in Earnings,-,-,-,-,-,-,0.47,-,0.02,0.02,Upgrade
22,Net Income,4.24,1.3,4.08,1.36,3.82,0.6,3.88,-,-97.33,-42.86,Upgrade
23,Net Income to Common,4.24,1.3,4.08,1.36,3.82,0.6,3.88,-,-97.33,-42.86,Upgrade
24,Net Income Growth,4.02%,-4.27%,6.81%,127.64%,-1.57%,-,-,-,-,-,Upgrade
25,Shares Outstanding (Basic),1060,1060,1060,1060,1060,1060,1060,-,1060,1060,Upgrade
26,Shares Outstanding (Diluted),1060,1060,1060,1060,1060,1060,1060,-,1060,1060,Upgrade
27,EPS (Basic),0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-0.09,-0.04,Upgrade
28,EPS (Diluted),0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-0.09,-0.04,Upgrade
29,EPS Growth,4.00%,-4.29%,6.83%,127.71%,-1.58%,-,-,-,-,-,Upgrade
30,Free Cash Flow,27.48,40.21,8.82,45.88,57.66,-2.63,-30.8,-,-101.56,-30.32,Upgrade
31,Free Cash Flow Per Share,0.03,0.04,0.01,0.04,0.05,-0.00,-0.03,-,-0.10,-0.03,Upgrade
32,Operating Margin,8.72%,7.24%,9.63%,3.44%,6.64%,8.44%,-0.54%,-,-33.09%,-42.98%,Upgrade
33,Profit Margin,3.82%,1.16%,3.26%,1.30%,3.99%,0.50%,4.10%,-,-177.70%,-68.82%,Upgrade
34,Free Cash Flow Margin,24.71%,35.70%,7.05%,43.92%,60.25%,-2.19%,-32.50%,-,-185.43%,-48.68%,Upgrade
35,EBITDA,25.05,24.3,29.45,28.69,21.52,31.67,13.6,-,-4.72,-12.86,Upgrade
36,D&A For EBITDA,15.36,16.15,17.41,25.09,15.17,21.54,14.11,16.89,13.4,13.91,Upgrade
37,EBIT,9.69,8.15,12.04,3.6,6.35,10.13,-0.51,-,-18.12,-26.77,Upgrade
