,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,3933,4348,4796,14675,9464,-,-
1,Market Cap Growth,-70.37%,-70.37%,-49.32%,-,-,-,-
2,Enterprise Value,23578,22887,20410,30430,29601,-,-
3,Last Close Price,1.23,1.36,1.46,4.46,2.88,-,-
4,PE Ratio,4.10,4.56,4.49,13.84,11.80,-,-
5,Forward PE,3.91,3.20,3.31,10.89,-,-,-
6,PS Ratio,0.32,0.35,0.43,1.39,1.03,-,-
7,PB Ratio,0.32,0.36,0.40,1.24,0.87,-,-
8,P/TBV Ratio,0.36,0.36,0.40,1.24,0.87,-,-
9,P/FCF Ratio,-,-,-,8.79,14.18,-,-
10,P/OCF Ratio,0.97,0.97,1.12,3.37,3.23,-,-
11,PEG Ratio,0.17,0.17,0.17,0.39,-,-,-
12,EV/Sales Ratio,1.91,1.86,1.85,2.87,3.22,-,-
13,EV/EBITDA Ratio,5.11,5.29,4.57,6.40,6.37,-,-
14,EV/EBIT Ratio,13.04,12.66,9.91,13.80,13.61,-,-
15,EV/FCF Ratio,-6.68,-,-,18.22,44.34,-,-
16,Debt / Equity Ratio,1.88,1.88,1.83,1.67,1.84,3.20,-
17,Debt / FCF Ratio,-,-,-,11.90,29.87,-21.10,-
18,Return on Capital Employed (ROCE),6.47%,6.47%,7.82%,9.11%,9.48%,8.35%,-
19,Earnings Yield,24.25%,21.94%,22.26%,7.22%,8.48%,-,-
20,FCF Yield,-89.79%,-81.21%,-16.07%,11.38%,7.05%,-,-
21,Dividend Yield,7.32%,6.99%,3.43%,-,-,-,-
22,Buyback Yield / Dilution,-4.30%,1.30%,-10.49%,-12.88%,-2.15%,-,-
23,Total Shareholder Return,3.02%,8.28%,-7.06%,-12.88%,-2.15%,-,-
