,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,6709,4872,5405,4206,4312,3565
1,Revenue Growth (YoY),24.13%,15.85%,25.32%,17.97%,-,-
2,Cost of Revenue,4493,3313,3079,2770,2550,2194
3,Gross Profit,2215,1559,2325,1436,1762,1371
4,"Selling, General & Admin",1193,686.25,1036,557.61,594.65,609.93
5,Other Operating Expenses,10.63,9.61,6.67,8.07,-71.52,89.27
6,Operating Expenses,1211,863.87,1105,655.56,529.63,757.72
7,Operating Income,1004,695.46,1221,780.59,1233,612.96
8,Interest Expense,-433.76,-382.1,-387.29,-454.62,-498.99,-430.91
9,Interest & Investment Income,-,10.03,-,7.75,-,5.08
10,Currency Exchange Gain (Loss),10.29,-10.29,3.48,-22.67,-139.52,-
11,Other Non Operating Income (Expenses),152.33,81.77,103.16,90.53,91.23,53.52
12,EBT Excluding Unusual Items,732.78,394.86,939.96,401.57,685.41,240.65
13,Gain (Loss) on Sale of Investments,-5.47,5.47,69.93,-69.93,3.3,-3.3
14,Gain (Loss) on Sale of Assets,-6.56,6.56,-6.06,6.06,-7.57,7.57
15,Other Unusual Items,72.52,-,-115.01,-,-32.26,-
16,Pretax Income,793.27,406.89,888.83,337.7,648.89,244.92
17,Income Tax Expense,165.18,138.66,163.56,100.56,143.66,85.81
18,Net Income,628.09,268.23,725.27,237.14,505.22,159.11
19,Net Income to Common,628.09,268.23,725.27,237.14,505.22,159.11
20,Net Income Growth,-13.40%,13.11%,43.55%,49.04%,-,-
21,Shares Outstanding (Basic),3156,3197,3197,2893,2833,2833
22,Shares Outstanding (Diluted),3156,3197,3197,2893,2833,2833
23,Shares Change (YoY),-1.30%,10.49%,12.88%,2.15%,-,-
24,EPS (Basic),0.20,0.08,0.23,0.08,0.18,0.06
25,EPS (Diluted),0.20,0.08,0.23,0.08,0.18,0.06
26,EPS Growth,-12.36%,2.37%,27.14%,46.36%,-,-
27,Free Cash Flow,-1505,-1813,1096,419.66,198.12,-1210
28,Free Cash Flow Per Share,-0.48,-0.57,0.34,0.15,0.07,-0.43
29,Dividend Per Share,0.043,0.047,-,-,-,-
30,Operating Margin,14.96%,14.27%,22.58%,18.56%,28.58%,17.19%
31,Profit Margin,9.36%,5.51%,13.42%,5.64%,11.72%,4.46%
32,Free Cash Flow Margin,-22.43%,-37.22%,20.28%,9.98%,4.59%,-33.93%
33,EBITDA,2298,1769,2386,1928,2372,1668
34,D&A For EBITDA,1294,1074,1165,1148,1140,1055
35,EBIT,1004,695.46,1221,780.59,1233,612.96
36,Advertising Expenses,-,1.2,-,1.73,-,0.64
