,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,1783,1933,2167,2364,2159,-
1,Short-Term Investments,1291,1009,1683,1497,1373,-
2,Trading Asset Securities,1.17,-,12.66,12.65,-,-
3,Cash & Short-Term Investments,3075,2942,3862,3873,3532,-
4,Cash Growth,-20.37%,-24.05%,9.33%,-,-,-
5,Accounts Receivable,6625,6361,5414,5557,4791,-
6,Other Receivables,1547,1358,1138,1213,1462,-
7,Receivables,8172,7720,6551,6771,6253,-
8,Inventory,245.11,188.86,170.21,182.22,186.22,-
9,Prepaid Expenses,706.46,-,490.99,233.43,304.5,-
10,Restricted Cash,9.92,6.48,0.01,61.92,62.94,-
11,Other Current Assets,-,1020,47.17,-,0.66,-
12,Total Current Assets,12209,11877,11122,11122,10340,-
13,"Property, Plant & Equipment",23151,22476,19200,19004,19438,-
14,Long-Term Investments,0.26,0.24,-,-,2.38,-
15,Other Intangible Assets,6.75,3.31,3.75,3.39,3.8,-
16,Long-Term Deferred Tax Assets,362.81,400.92,348.59,349.61,329.68,-
17,Other Long-Term Assets,705.1,512.7,563.21,123.21,174.98,-
18,Total Assets,36434,35270,31237,30602,30288,-
19,Accounts Payable,2395,3287,1552,1278,1110,-
20,Accrued Expenses,490.07,145.64,367.35,277.64,364.9,-
21,Short-Term Debt,2597,560.73,2155,595.15,472.94,-
22,Current Portion of Long-Term Debt,3938,5976,4539,6657,5670,-
23,Current Portion of Leases,204.09,201.41,192.01,60.66,59.93,-
24,Current Income Taxes Payable,141.92,103.36,173.59,82.98,141.02,-
25,Current Unearned Revenue,236.6,55.82,215.37,348.07,298.98,-
26,Other Current Liabilities,146.28,423.47,86.1,57.86,72.91,-
27,Total Current Liabilities,10150,10753,9282,9357,8191,-
28,Long-Term Debt,14367,12890,10647,11037,15071,-
29,Long-Term Leases,429.49,567.51,501.59,104.07,71.33,-
30,Long-Term Unearned Revenue,13.76,14.34,14.93,15.51,16.68,-
31,Other Long-Term Liabilities,15.45,13.02,13.85,35.32,266.27,-
32,Total Liabilities,24976,24238,20459,20549,23616,-
33,Common Stock,0.42,0.42,0.42,0.42,0.37,-
34,Additional Paid-In Capital,7533,7928,7533,7533,6067,-
35,Retained Earnings,3468,3002,2768,2044,1827,-
36,Comprehensive Income & Other,456.33,101.69,476.04,474.95,-1222,-
37,Shareholders' Equity,11458,11032,10778,10053,6672,-
38,Total Liabilities & Equity,36434,35270,31237,30602,30288,-
39,Total Debt,21537,20196,18035,18454,21346,-
40,Net Cash (Debt),-18461,-17254,-14173,-14580,-17813,-
41,Net Cash Per Share,-5.85,-5.40,-4.43,-5.04,-6.29,-
42,Filing Date Shares Outstanding,3197,3197,3197,3197,2833,2833
43,Total Common Shares Outstanding,3197,3197,3197,3197,2833,2833
44,Working Capital,2059,1124,1840,1764,2149,-
45,Book Value Per Share,3.58,3.45,3.37,3.14,2.36,-
46,Tangible Book Value,11452,11028,10774,10049,6668,-
47,Tangible Book Value Per Share,3.58,3.45,3.37,3.14,2.35,-
48,Buildings,731.76,720.43,720.43,720.43,719.69,-
49,Machinery,29647,28818,24864,24605,24361,-
50,Leasehold Improvements,125.32,-,87.78,83.93,80.98,-
