,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,56.13,34.16,51.91,32.73,36.72,53.6,40.62,55.22,62.63,66.1
1,Short-Term Investments,23.54,6.23,2.75,9.9,1.62,1.65,1.48,1.48,1.7,1.27
2,Cash & Short-Term Investments,79.67,40.39,54.66,42.64,38.34,55.25,42.11,56.7,64.33,67.38
3,Cash Growth,45.75%,-5.27%,42.57%,-22.83%,-8.95%,-2.55%,-34.55%,-15.85%,-17.84%,19.66%
4,Accounts Receivable,38.49,46.01,38.92,34.44,42.91,36.59,50.44,45.69,38.51,38.91
5,Other Receivables,3.54,2.63,9.9,2.66,3.31,2.75,5.41,2.43,3.66,2.11
6,Receivables,42.04,48.64,48.83,37.09,46.22,39.34,55.85,48.12,42.17,41.02
7,Inventory,9.58,11.6,10.79,10.56,12.03,7.86,9.14,7.04,6.2,6.02
8,Other Current Assets,29.93,41.34,28.01,30,20.91,14.62,21.18,16.37,17.18,15.87
9,Total Current Assets,161.2,141.98,142.28,120.28,117.5,117.08,128.28,128.24,129.88,130.28
10,"Property, Plant & Equipment",122.7,124,70.31,73.2,78.25,80.88,84.59,78.75,78.58,82.09
11,Other Long-Term Assets,7.04,7.2,67.03,67.34,68.43,70,43.94,38.92,32.68,5.55
12,Total Assets,290.94,273.17,279.62,260.82,264.18,267.96,256.81,245.91,241.14,217.92
13,Accounts Payable,0.31,0.28,0.44,0.65,0.99,0.56,0.27,0.48,1.43,0.39
14,Accrued Expenses,-,0.4,-,0.59,0.59,0.59,0.59,0.59,0.3,0.54
15,Short-Term Debt,36.88,34.37,42.88,43.77,46.35,58.91,33.38,35.41,37.43,30.11
16,Current Portion of Leases,0.59,0.79,1.65,1.74,1.83,1.93,1.87,1.19,2.2,1.75
17,Current Income Taxes Payable,5.65,4.23,5.64,0.98,1.39,1.09,4.91,6.92,5.52,3.26
18,Current Unearned Revenue,2.93,1.5,3.01,0.95,0.56,0.55,2.23,0.66,0.79,0.59
19,Other Current Liabilities,10.8,8.2,8.32,5.91,6.4,5.94,3.38,3.35,2.86,2.73
20,Total Current Liabilities,57.15,49.77,61.94,54.59,58.11,69.57,46.64,48.6,50.52,39.36
21,Long-Term Leases,0.73,-,-,0.79,1.65,2.53,3.29,0.6,-,0.75
22,Long-Term Deferred Tax Liabilities,3.18,3.13,2.29,2.35,1.51,1.57,1.53,1.59,0.96,1.02
23,Other Long-Term Liabilities,0.24,0.24,-,-,-,-,-,-,-,-
24,Total Liabilities,61.3,53.15,64.23,57.73,61.27,73.67,51.46,50.78,51.49,41.14
25,Common Stock,10,10,10,10,10,10,10,10,10,10
26,Additional Paid-In Capital,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98,62.98
27,Retained Earnings,128.39,118.77,114.14,101.84,101.66,93.04,104.11,93.88,88.41,75.54
28,Comprehensive Income & Other,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27,28.27
29,Shareholders' Equity,229.64,220.02,215.39,203.09,202.91,194.29,205.36,195.13,189.66,176.79
30,Total Liabilities & Equity,290.94,273.17,279.62,260.82,264.18,267.96,256.81,245.91,241.14,217.92
31,Total Debt,38.21,35.16,44.53,46.3,49.84,63.37,38.54,37.2,39.63,32.62
32,Net Cash (Debt),41.46,5.23,10.13,-3.66,-11.5,-8.12,3.56,19.5,24.7,34.76
33,Net Cash Growth,309.33%,-,-,-,-,-,-85.57%,-43.89%,-42.85%,-18.56%
34,Net Cash Per Share,0.04,0.01,0.01,-0.00,-0.01,-0.01,0.00,0.02,0.02,0.03
35,Filing Date Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
36,Total Common Shares Outstanding,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
37,Working Capital,104.05,92.21,80.35,65.7,59.4,47.51,81.64,79.64,79.36,90.92
38,Book Value Per Share,0.23,0.22,0.22,0.20,0.20,0.19,0.21,0.20,0.19,0.18
39,Tangible Book Value,229.64,220.02,215.39,203.09,202.91,194.29,205.36,195.13,189.66,176.79
40,Tangible Book Value Per Share,0.23,0.22,0.22,0.20,0.20,0.19,0.21,0.20,0.19,0.18
41,Land,-,142.75,-,78.26,-,78.26,-,75.19,-,77.62
42,Machinery,-,20.43,-,21.11,-,22.95,-,21.98,-,17.96
43,Leasehold Improvements,-,5.39,-,5.39,-,5.39,-,4.75,-,4.18
