,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,2889,2212,2194,1813,2707,3865,3857,4309,4444,4280,3802,4361,5202,6935,5256,5686,-,-,-,-,-
1,Market Cap Growth,-42.76%,-42.76%,-43.12%,-57.94%,-39.08%,-9.71%,1.47%,-1.20%,-14.57%,-38.28%,-27.67%,-23.30%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4035,3358,3328,2894,3786,4893,4812,5171,5267,4950,4429,4926,5668,7303,5461,6054,-,-,-,-,-
3,Last Close Price,16.05,12.29,12.19,10.07,15.04,21.47,21.43,23.94,24.61,23.70,21.05,24.15,28.72,38.28,29.01,31.39,-,-,-,-,-
4,PE Ratio,-,-,-,-,-,-,-925.56,-,-,110.11,80.71,85.01,101.10,123.74,92.53,80.67,-,-,-,-,-
5,Forward PE,-,58.52,54.18,44.76,71.62,60.06,44.41,60.79,54.87,26.39,26.39,31.88,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.47,6.52,7.16,6.34,9.47,14.01,13.45,16.47,16.73,14.19,12.62,13.53,16.29,21.75,17.00,14.45,-,-,-,-,-
7,PB Ratio,3.04,2.33,2.31,1.88,2.75,3.87,3.81,4.26,4.34,4.15,3.70,4.87,5.82,7.86,6.04,6.63,-,-,-,-,-
8,P/TBV Ratio,2.55,2.55,2.53,2.06,3.01,4.23,4.15,4.64,4.73,4.52,4.03,5.37,6.43,8.72,6.71,7.09,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-21.81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,49.68,31.38,34.60,63.28,57.11,57.08,48.86,47.65,33.77,53.62,61.28,88.48,-,54.64,-,-,-,-,-
11,EV/Sales Ratio,11.90,9.90,10.86,10.12,13.24,17.73,16.78,19.77,19.83,16.41,14.71,15.28,17.75,22.91,17.67,15.38,-,-,-,-,-
12,EV/EBITDA Ratio,33.00,25.98,78.91,63.58,73.82,91.64,98.74,90.63,72.71,53.21,40.65,45.44,52.12,66.07,53.62,51.06,-,-,-,-,-
13,EV/EBIT Ratio,64.49,53.67,-,-,-,-,-1653.57,1017.49,-,-,77.73,81.74,93.70,110.46,89.11,77.42,-,-,-,-,-
14,EV/FCF Ratio,-,-,-,-,-30.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,1.31,1.31,1.31,1.25,1.20,1.16,1.14,1.13,1.06,1.06,1.07,0.82,0.78,0.76,0.59,0.55,0.67,0.61,-,0.42,0.43
16,Debt / EBITDA Ratio,10.15,3.11,22.96,31.15,42.86,20.01,17.17,18.41,30.21,27.01,10.97,5.82,5.92,6.32,5.21,3.79,3.36,6.01,-,2.91,2.53
17,Debt / FCF Ratio,-,-,-,-,-9.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,142.13
18,Asset Turnover,-,0.17,0.13,0.09,0.11,0.14,0.13,0.08,0.14,0.12,0.19,0.19,0.19,0.21,0.23,0.27,-,-,-,-,
19,Inventory Turnover,-,-,4.11,3.16,2.02,3.09,3.65,3.11,1.69,3.12,2.00,3.00,3.43,4.38,4.53,4.27,6.04,-,-,-,-
20,Quick Ratio,-,-,0.85,0.70,0.75,0.80,1.07,1.46,1.67,1.93,2.96,1.21,1.41,1.20,1.02,1.42,0.76,0.49,-,0.41,-
21,Current Ratio,-,-,1.10,1.02,1.08,1.11,1.35,1.81,2.14,2.30,3.39,1.56,1.82,1.45,1.22,1.60,1.00,0.57,-,0.68,-
22,Return on Equity (ROE),-3.62%,-5.24%,-8.04%,-6.69%,-4.75%,0.10%,-0.13%,-2.96%,1.36%,3.46%,6.60%,5.53%,5.36%,5.79%,8.05%,10.96%,-,-,5.94%,-,
