,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,95.44,70.4,98.47,79.5,129.48,192.18,223.78,270.75,434.91,108.26,136.39,202.87,145.9,271.05,53.34,60.52,-,53.12,-
1,Cash & Short-Term Investments,95.44,95.44,70.4,98.47,79.5,129.48,192.18,223.78,270.75,434.91,108.26,136.39,202.87,145.9,271.05,53.34,60.52,-,53.12,71.57
2,Cash Growth,20.05%,-26.29%,-63.37%,-56.00%,-70.64%,-70.23%,77.52%,64.08%,33.46%,198.09%,-60.06%,155.71%,235.20%,-,410.31%,-25.47%,-,-,-,-
3,Accounts Receivable,-,169.62,125.96,120.42,155.39,165.47,124.54,118.8,135.15,118.7,134.56,138.39,136.84,143.57,125.01,132.36,140.01,-,101.09,-
4,Other Receivables,-,0.96,0.96,0.87,0.83,1.2,1.37,1.27,0.26,0.71,0.39,0.78,0.48,0.88,0.66,0.96,0.45,-,0.45,-
5,Receivables,-,170.58,126.92,121.29,156.22,166.67,125.91,120.07,135.41,119.41,134.95,139.17,137.32,144.45,125.66,133.32,140.46,-,101.54,-
6,Inventory,-,76.96,85.34,91.04,77.99,68.85,66.87,80.94,68.99,78.73,65.53,60.9,51.23,37.85,40.96,40.2,17.49,-,97.97,-
7,Other Current Assets,-,2.59,2.73,4.21,13.64,9.86,9.51,16.31,7.78,2.87,4.59,21.2,18.41,17.83,9.81,19.59,13.11,-,3.22,-
8,Total Current Assets,-,345.57,285.4,315,327.35,374.85,394.47,441.09,482.93,635.92,313.34,357.65,409.83,346.02,447.49,246.45,231.58,-,255.85,-
