,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,99.92,108.71,75.72,54.7,67.15,86.57,77.26,44.71,77.82,61.64,81,80.79,76.85,82.98,77.88,80.26,-9.63,167.58,54.05,60.55
1,Other Revenue,-,-1.54,1.54,-,0.25,-0.05,0.05,-,0.47,-0.36,0.36,-,0.86,-0.5,0.5,-,77.61,-0.62,0.62,-
2,Revenue,99.92,107.17,77.27,54.7,67.4,86.52,77.31,44.71,78.29,61.27,81.36,80.79,77.71,82.47,78.38,80.26,67.99,166.96,54.67,60.55
3,Revenue Growth (YoY),48.25%,23.87%,-0.05%,22.36%,-13.91%,41.19%,-4.98%,-44.66%,0.74%,-25.71%,3.81%,0.66%,14.30%,-50.60%,43.37%,32.55%,-,-,-,-
4,Cost of Revenue,-195.77,83.45,69.73,42.59,56.73,61.86,57.38,31.7,57.59,36.08,47.46,48.11,48.72,44.62,43.35,43.57,38.99,116.75,31.8,35.34
5,Gross Profit,295.68,23.72,7.54,12.11,10.67,24.65,19.93,13.01,20.69,25.19,33.9,32.67,28.99,37.86,35.03,36.69,29,50.21,22.87,25.2
6,"Selling, General & Admin",-39.39,15.88,11.36,12.15,6.56,12.34,9.82,9.82,8.7,11.94,10.71,9.36,6.64,13.8,10.76,10.86,9.02,13.89,7.9,7.77
7,Research & Development,-26.08,9.22,8.8,8.06,8.11,8,8.39,7.69,7.01,6.66,7.13,6.24,7.09,7.16,7.54,4.82,7.76,5.76,4.93,4.64
8,Other Operating Expenses,277.51,-1.09,-0.05,0.13,-1.68,0.01,-0.75,-0.19,10.49,-5.45,-1.47,0.54,4.6,0.55,-0.92,-1.18,6.99,-2.72,-1.12,-1.45
9,Operating Expenses,210.76,25.13,20.45,20.15,12.82,20.62,18.32,16.85,25.4,13.17,16.29,16.24,18.08,22.55,17.18,14.64,22.92,18,11.21,10.83
10,Operating Income,84.93,-1.41,-12.91,-8.04,-2.15,4.03,1.61,-3.84,-4.71,12.02,17.62,16.43,10.91,15.31,17.85,22.05,6.08,32.21,11.66,14.37
11,Interest Expense,-0.52,-9.6,-8.85,-8.52,-6.79,-4.2,-3.94,-3.88,-4.24,-3.78,-3.28,-3.27,-3.06,-2.97,-2.92,-2.94,-2.6,-2.04,-2.67,-2
12,Interest & Investment Income,26.97,0.17,0.17,0.17,0.48,0.27,0.49,0.26,0.76,0.44,0.62,0.43,1.04,0.43,0.59,0.16,0.12,0.09,0.13,0.18
13,Earnings From Equity Investments,0.44,-0.14,-0.12,-0.18,-0.01,-0.14,-0.06,-0.15,-0.16,-0.02,-0.07,-0.04,-1.11,-0.01,-0.01,-0.01,-0.05,-,-,-
14,Currency Exchange Gain (Loss),-,-0.55,0.55,-,0.16,-0.19,0.19,-,0.43,-0.76,0.76,-,0.84,-1.02,1.02,-,-0.03,0.1,-0.1,-
15,Other Non Operating Income (Expenses),-126.45,0.4,-0.42,0.34,-0.41,0.34,0.56,0,-1.29,1.21,-0.21,0.23,-1.85,1.87,-0.04,-0.03,-0.13,-0.2,0.17,0.08
16,EBT Excluding Unusual Items,-14.63,-11.14,-21.57,-16.23,-8.72,0.11,-1.14,-7.61,-9.21,9.11,15.45,13.78,6.77,13.61,16.48,19.22,3.37,30.16,9.19,12.64
17,Gain (Loss) on Sale of Investments,0.62,-0.23,-0.17,-0.22,-0.13,-0.15,-0.23,-,-,-,-,-,-,-,-,-,-,-,-,-
18,Gain (Loss) on Sale of Assets,0.03,-0.03,-0,-,-0.02,0,-0,-,-0.01,0.01,-0.01,-,-0,-,-,-,-0.15,-,-,-
19,Asset Writedown,0.05,-0.05,-0.04,0.04,-,-,-,-,-,-,-,-,-,-,-,-,0,-0,-,-
20,Other Unusual Items,0,-1.14,1.05,0.09,-2.93,-,-,-,11.26,-,0,-0,5.97,-,-,-,10.78,-,-,-
21,Pretax Income,-13.92,-12.59,-20.73,-16.32,-11.8,-0.04,-1.38,-7.61,2.04,9.12,15.44,13.78,12.73,13.61,16.48,19.22,14,30.16,9.19,12.64
22,Income Tax Expense,-5.32,-0.06,-1.18,0.26,0.13,-0.3,-1.05,-0.01,-1.47,0.81,0.67,1.5,0.99,1.09,1.56,2.35,1.51,3.96,0.89,1.43
23,Earnings From Continuing Operations,-8.6,-12.54,-19.56,-16.57,-11.93,0.26,-0.33,-7.6,3.51,8.31,14.77,12.28,11.74,12.52,14.92,16.88,12.49,26.2,8.31,11.2
24,Minority Interest in Earnings,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.18,0.16
25,Net Income,-8.6,-12.54,-19.56,-16.57,-11.93,0.26,-0.33,-7.6,3.51,8.31,14.77,12.28,11.74,12.52,14.92,16.88,12.49,26.2,8.49,11.36
26,Net Income to Common,-8.6,-12.54,-19.56,-16.57,-11.93,0.26,-0.33,-7.6,3.51,8.31,14.77,12.28,11.74,12.52,14.92,16.88,12.49,26.2,8.49,11.36
27,Net Income Growth,-,-,-,-,-,-96.87%,-,-,-70.13%,-33.58%,-0.99%,-27.23%,-6.03%,-52.24%,75.84%,48.58%,-,-,-,-
28,Shares Outstanding (Basic),175,179,177,184,137,179,207,190,176,170,185,175,185,172,173,130,138,142,123,142
29,Shares Outstanding (Diluted),175,179,177,184,137,179,207,190,176,198,185,175,185,172,173,130,138,142,123,142
30,Shares Change (YoY),27.49%,0.36%,-14.23%,-3.12%,-22.06%,-9.56%,11.47%,8.35%,-4.52%,14.98%,7.09%,35.15%,33.57%,21.35%,41.11%,-8.57%,-,-,-,-
31,EPS (Basic),-0.05,-0.07,-0.11,-0.09,-0.09,0.00,-0.00,-0.04,0.02,0.05,0.08,0.07,0.06,0.07,0.09,0.13,0.09,0.18,0.07,0.08
32,EPS (Diluted),-0.05,-0.07,-0.11,-0.09,-0.09,0.00,-0.00,-0.04,0.02,0.04,0.08,0.07,0.06,0.07,0.09,0.13,0.09,0.18,0.07,0.08
33,EPS Growth,-,-,-,-,-,-96.54%,-,-,-68.72%,-42.23%,-7.55%,-46.15%,-29.65%,-60.64%,24.61%,62.50%,-,-,-,-
34,Free Cash Flow,-,-10.57,-26.1,14.53,-36.14,-58.36,-44.15,-21.48,-133.75,-148.94,-36.31,-88.97,-89.94,-156.69,-45.8,-49.11,-70.17,-39.2,-18.74,1.67
35,Free Cash Flow Per Share,-,-0.06,-0.15,0.08,-0.26,-0.33,-0.21,-0.11,-0.76,-0.75,-0.20,-0.51,-0.49,-0.91,-0.26,-0.38,-0.51,-0.28,-0.15,0.01
36,Dividend Per Share,-,-,-,-,-,-,-,-,0.070,-,-,-,0.070,-,-,-,-,-,-,-
37,Gross Margin,295.93%,22.13%,9.76%,22.14%,15.83%,28.49%,25.78%,29.10%,26.43%,41.11%,41.67%,40.44%,37.31%,45.90%,44.69%,45.72%,42.65%,30.08%,41.83%,41.63%
38,Operating Margin,85.00%,-1.32%,-16.71%,-14.70%,-3.19%,4.66%,2.09%,-8.60%,-6.02%,19.62%,21.65%,20.34%,14.04%,18.56%,22.77%,27.48%,8.94%,19.29%,21.33%,23.73%
39,Profit Margin,-8.61%,-11.70%,-25.31%,-30.30%,-17.70%,0.30%,-0.43%,-17.01%,4.48%,13.57%,18.16%,15.20%,15.10%,15.18%,19.04%,21.03%,18.37%,15.69%,15.52%,18.76%
40,Free Cash Flow Margin,-,-9.86%,-33.78%,26.57%,-53.62%,-67.45%,-57.11%,-48.05%,-170.84%,-243.07%,-44.63%,-110.13%,-115.74%,-189.98%,-58.43%,-61.19%,-103.21%,-23.48%,-34.28%,2.76%
41,EBITDA,99.85,13.51,9.01,6.88,12.77,16.86,14.78,8.98,8.12,25.17,30.16,29.58,24.06,24.61,30.5,31.35,15.38,41.31,20.76,23.47
42,EBITDA Margin,99.94%,12.61%,11.66%,12.58%,18.95%,19.48%,19.12%,20.10%,10.37%,41.08%,37.07%,36.62%,30.96%,29.84%,38.92%,39.07%,22.63%,24.74%,37.98%,38.76%
43,D&A For EBITDA,14.92,14.92,21.92,14.92,14.92,12.83,13.17,12.83,12.83,13.15,12.54,13.15,13.15,9.3,12.66,9.3,9.3,9.1,9.1,9.1
44,EBIT,84.93,-1.41,-12.91,-8.04,-2.15,4.03,1.61,-3.84,-4.71,12.02,17.62,16.43,10.91,15.31,17.85,22.05,6.08,32.21,11.66,14.37
45,EBIT Margin,85.00%,-1.32%,-16.71%,-14.70%,-3.19%,4.66%,2.09%,-8.60%,-6.02%,19.62%,21.65%,20.34%,14.04%,18.56%,22.77%,27.48%,8.94%,19.29%,21.33%,23.73%
46,Effective Tax Rate,-,-,-,-,-,-,-,-,-,8.85%,4.34%,10.86%,7.80%,8.02%,9.48%,12.21%,10.78%,13.12%,9.65%,11.34%
