,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","May '19 May 31, 2019"
0,Market Capitalization,5515,3427,8355,4397,4000,2240,2230,1260,1720,-,-
1,Market Cap Growth,-22.07%,-22.07%,108.88%,96.31%,79.37%,77.78%,29.65%,-,-,-,-
2,Enterprise Value,5884,3878,8704,4729,4397,2538,2519,1564,2296,-,-
3,Last Close Price,1.40,0.87,2.12,1.12,0.99,0.55,0.54,0.29,0.40,-,-
4,PE Ratio,92.47,58.86,128.59,55.32,51.98,31.48,23.47,14.88,22.75,-,-
5,PS Ratio,16.54,10.53,21.73,11.44,10.61,5.91,5.10,2.86,4.01,-,-
6,PB Ratio,6.49,3.98,9.78,5.26,4.49,2.30,2.26,1.29,1.88,-,-
7,P/TBV Ratio,4.13,4.13,10.17,5.47,4.66,2.38,2.34,1.34,1.96,-,-
8,P/FCF Ratio,117.79,73.20,-,25.18,82.01,-,24.26,9.63,10.21,-,-
9,P/OCF Ratio,31.22,31.22,141.82,17.76,32.87,-,15.54,7.20,8.99,-,-
10,EV/Sales Ratio,18.08,11.92,22.63,12.30,11.67,6.70,5.77,3.55,5.35,-,-
11,EV/EBITDA Ratio,41.12,28.06,56.97,27.83,26.14,16.28,13.09,8.48,13.09,-,-
12,EV/EBIT Ratio,56.74,37.39,75.23,35.72,33.77,21.54,16.49,10.69,16.75,-,-
13,EV/FCF Ratio,125.68,82.83,-,27.08,90.15,-,27.41,11.96,13.64,-,-
14,Debt / Equity Ratio,0.68,0.68,0.64,0.64,0.58,0.59,0.46,0.47,0.59,-,-
15,Debt / FCF Ratio,12.59,12.59,-,3.07,10.60,-,4.99,3.50,3.21,-,-
16,Return on Capital Employed (ROCE),7.65%,7.65%,9.85%,10.96%,10.85%,8.59%,12.23%,10.77%,10.43%,-,-
17,Earnings Yield,1.06%,1.70%,0.78%,1.81%,1.92%,3.18%,4.26%,6.72%,4.39%,-,-
18,FCF Yield,0.85%,1.37%,-0.03%,3.97%,1.22%,-2.43%,4.12%,10.38%,9.79%,-,-
19,Dividend Yield,0.47%,-,-,-,-,-,4.00%,4.08%,-,-,-
20,Buyback Yield / Dilution,2.21%,1.30%,3.10%,2.53%,0.86%,-,-18.26%,-33.33%,-,-,-
21,Total Shareholder Return,2.68%,1.30%,3.10%,2.53%,0.86%,-,-14.26%,-29.25%,-,-,-
