,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H1 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","May '19 May 31, 2019"
0,Cash & Equivalents,213,112.39,202.9,193.8,185.27,160.79,166.91,227.14,-,-
1,Short-Term Investments,-,-,-,-,-,-,3.02,-,-,-
2,Trading Asset Securities,20.5,-,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,233.51,112.39,202.9,193.8,185.27,160.79,169.92,227.14,-,-
4,Cash Growth,15.09%,-42.01%,9.52%,20.53%,9.03%,-29.21%,-,-,-,-
5,Accounts Receivable,82.67,71.36,75.44,83.35,96.27,98.72,111.13,96.57,-,-
6,Other Receivables,1.29,38.8,9.9,7.64,2.08,11.54,12.18,9.24,-,-
7,Receivables,83.96,110.16,85.34,90.99,98.35,110.26,123.32,105.81,-,-
8,Inventory,80.41,117.1,59.52,58.48,31.63,14.14,8.54,8.07,-,-
9,Other Current Assets,12.96,2.91,24.24,2.06,81.44,5.67,-,1.18,-,-
10,Total Current Assets,410.83,342.56,371.99,345.33,396.69,290.86,301.78,342.2,-,-
11,"Property, Plant & Equipment",974.7,971.37,957.72,958.47,968.91,972.56,963.59,960.11,-,-
12,Long-Term Investments,-,-,-,7.31,8.13,10.52,10.48,6.46,-,-
13,Long-Term Deferred Tax Assets,6.21,6.38,5.53,5.79,2.25,5.52,7.05,7.42,-,-
14,Other Long-Term Assets,3.05,5.67,13.92,2.06,5.34,2.46,2.84,2.73,-,-
15,Total Assets,1395,1326,1349,1319,1381,1282,1286,1319,-,-
16,Accounts Payable,20.06,19.5,22.76,27.59,25.71,27.76,33.54,26.83,-,-
17,Accrued Expenses,1.65,5.05,1.93,10.65,3.61,7.18,11.22,14.27,-,-
18,Current Portion of Long-Term Debt,87.82,202.07,153.04,184.77,156.1,160.53,61.54,118.05,-,-
19,Current Income Taxes Payable,8.47,7.63,5.51,13.81,8.93,11.67,11.44,9.26,-,-
20,Current Unearned Revenue,2.28,7.11,39.05,2.38,3.07,2.5,3.12,2.52,-,-
21,Other Current Liabilities,12.35,18.85,9.64,18.51,13.58,54.76,35.23,41.21,-,-
22,Total Current Liabilities,132.64,260.22,231.91,257.71,211.01,264.39,156.07,212.15,-,-
23,Long-Term Debt,460.82,290.68,343.24,272.64,338.44,213.09,319.66,337.19,-,-
24,Total Liabilities,593.46,550.9,575.16,530.35,549.44,477.48,475.73,549.34,-,-
25,Common Stock,8.61,8.61,8.61,8.61,8.61,8.61,8.61,8.61,-,-
26,Additional Paid-In Capital,107.87,107.87,107.87,107.87,140.36,140.36,180.45,180.45,-,-
27,Retained Earnings,660.45,634.1,634.27,603.12,560.69,535.05,499.96,457.65,-,-
28,Comprehensive Income & Other,-4.28,-4.63,-6.13,39.48,92.49,90.73,91.55,93.55,-,-
29,Total Common Equity,772.65,745.95,744.62,759.08,802.15,774.74,780.56,740.26,-,-
30,Minority Interest,28.68,29.13,29.39,29.54,29.73,29.7,29.44,29.33,-,-
31,Shareholders' Equity,801.33,775.08,774.01,788.62,831.88,804.43,810.01,769.59,-,-
32,Total Liabilities & Equity,1395,1326,1349,1319,1381,1282,1286,1319,-,-
33,Total Debt,548.64,492.76,496.28,457.41,494.54,373.61,381.2,455.24,-,-
34,Net Cash (Debt),-315.14,-380.36,-293.38,-263.61,-309.27,-212.82,-211.27,-228.09,-,-
35,Net Cash Per Share,-0.08,-0.10,-0.08,-0.07,-0.08,-0.05,-0.05,-0.07,-,-
36,Filing Date Shares Outstanding,3848,3939,3899,3909,4000,4000,4000,4000,3000,-
37,Total Common Shares Outstanding,3848,3939,3899,3909,4000,4000,4000,4000,3000,-
38,Working Capital,278.19,82.34,140.08,87.62,185.68,26.47,145.71,130.05,-,-
39,Book Value Per Share,0.20,0.19,0.19,0.19,0.20,0.19,0.20,0.19,-,-
40,Tangible Book Value,772.65,745.95,744.62,759.08,802.15,774.74,780.56,740.26,-,-
41,Tangible Book Value Per Share,0.20,0.19,0.19,0.19,0.20,0.19,0.20,0.19,-,-
42,Buildings,-,188.2,-,185.71,-,183.67,-,183.67,-,-
43,Machinery,-,230.2,-,222.76,-,216.74,-,214.81,-,-
44,Construction In Progress,-,26.48,-,17.18,-,43.77,-,3.3,-,-
