,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,330,521,882,858,655,961,431,289,344,415,-
1,Market Cap Growth,-39.25%,-39.25%,34.59%,-10.70%,51.90%,232.08%,25.40%,-30.26%,-,-,-
2,Enterprise Value,334,496,851,861,642,943,416,230,248,352,-
3,Last Close Price,0.45,0.71,1.40,1.40,1.20,1.76,0.79,0.53,0.63,0.76,-
4,PE Ratio,-,-,-,-,-,-,-,-,-,14.72,-
5,PS Ratio,1.06,1.90,3.03,3.90,5.58,6.46,3.06,2.37,1.70,1.84,-
6,PB Ratio,1.36,2.10,6.87,5.88,10.66,8.12,2.54,1.14,1.28,1.57,-
7,P/TBV Ratio,5.01,5.01,7.20,6.13,11.93,8.79,2.72,1.22,1.35,1.64,-
8,P/FCF Ratio,-,-,-,-,-,-,-13.41,-,-4.94,-,-
9,P/OCF Ratio,-,-,-,-,-,-,-13.68,-,-5.00,-,-
10,EV/Sales Ratio,1.22,1.81,2.93,3.91,5.46,6.34,2.95,1.89,1.23,1.56,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,6.28,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,6.32,-
13,EV/FCF Ratio,-4.38,-,-,-,-,-,-12.92,-,-3.57,-,-
14,Debt / Equity Ratio,0.06,0.06,0.07,0.14,0.32,0.06,0.01,0.01,-,0.01,0.13
15,Debt / FCF Ratio,-,-,-,-,-,-,-0.05,-,-,-,-0.24
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-,-,20.83%,50.02%
17,Earnings Yield,-21.23%,-13.45%,-6.66%,-7.71%,-14.57%,-12.35%,-24.20%,-10.17%,-0.46%,6.79%,-
18,FCF Yield,-23.08%,-14.63%,-10.37%,-8.90%,-3.51%,-0.04%,-7.46%,-10.38%,-20.23%,-13.65%,-
19,Buyback Yield / Dilution,-15.31%,-17.93%,-12.57%,-4.07%,-,-,2.90%,-14.33%,-33.89%,-13.70%,-
20,Total Shareholder Return,-15.31%,-17.93%,-12.57%,-4.07%,-,-,2.90%,-14.33%,-33.89%,-13.70%,-
