,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,+20 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jan '20 Jan 1, 2020",+20 Quarters
0,Revenue,635168,417630,399418,476082,496057,455433,544022,764448,210081,340714,297267,348305,353890,461501,217055,932521,268697,369692,411201,594286,Upgrade
1,Revenue Growth (YoY),28.04%,-8.30%,-26.58%,-37.72%,136.13%,33.67%,83.01%,119.48%,-40.64%,-26.17%,36.95%,-62.65%,31.71%,24.83%,-47.21%,56.91%,-39.37%,-55.38%,-36.46%,-44.24%,Upgrade
2,Cost of Revenue,627347,396407,402607,479331,518421,471462,538115,808392,219698,299140,246876,291325,318087,408112,201251,729825,268031,341801,449287,642071,Upgrade
3,Gross Profit,7821,21223,-3189,-3250,-22364,-16029,5907,-43944,-9618,41574,50391,56980,35803,53389,15804,202697,665.7,27892,-38086,-47785,Upgrade
4,"Selling, General & Admin",5302,7472,5374,7255,4645,6298,7284,8943,6701,6264,5923,7688,2409,9713,4279,3063,9354,9274,12913,18736,Upgrade
5,Operating Expenses,5302,7472,5374,7255,4645,6298,7284,8943,6701,6264,5923,7688,2409,9713,4279,3063,9354,9274,12913,18736,Upgrade
6,Operating Income,2519,13751,-8563,-10505,-27009,-22327,-1377,-52887,-16319,35310,44467,49293,33395,43675,11525,199634,-8689,18618,-50999,-66521,Upgrade
7,Interest Expense,-16871,-18893,-18662,-22783,-25014,-27473,-23902,-28130,-12832,-8949,-6603,-11045,-11733,-16726,-3764,-21248,-14404,-17416,-20791,-26791,Upgrade
8,Interest & Investment Income,0.19,8.24,56.03,240.23,49.35,142.26,1640,-,0.5,572.05,0.58,-,115.95,419.46,90.31,458.22,109.74,255.72,36.9,-,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,-2272,-,-,-,-17831,-,-,-,520.12,-,-,-,-9.37,-,-,-,3.23,Upgrade
10,Other Non Operating Income (Expenses),15219,45519,-8803,-66547,56248,-6742,-14663,-6054,-19666,-17558,-17360,-9431,-5721,-16622,-6737,8182,-17892,-18011,-16042,-4657,Upgrade
11,EBT Excluding Unusual Items,866.84,40386,-35973,-101866,4275,-56400,-38302,-104901,-48816,9376,20506,29336,16057,10747,1114,187017,-40875,-16553,-87796,-97966,Upgrade
12,Gain (Loss) on Sale of Assets,-,-,-,61837,-,-,-,1914,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
13,Other Unusual Items,-,-,-,-,-,-,-,-250.79,-,-,-,-6365,-,-,-,-16595,-,-,-,-8191,Upgrade
14,Pretax Income,866.84,40386,-35973,-40029,4275,-56400,-38302,-103238,-48816,9376,20506,22971,16057,10747,1114,170422,-40875,-16553,-87796,-106157,Upgrade
15,Income Tax Expense,-,-,-,8373,-,17306,-,30477,-,-,-,-5240,-,-,-,3944,-,-,-,2460,Upgrade
16,Net Income,866.84,40386,-35973,-48402,4275,-73706,-38302,-133716,-48816,9376,20506,28212,16057,10747,1114,166478,-40875,-16553,-87796,-108617,Upgrade
17,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,2602,-,-,-,637.66,-,-,-,-,Upgrade
18,Net Income to Common,866.84,40386,-35973,-48402,4275,-73706,-38302,-133716,-48816,9376,20506,25609,16057,10747,1114,165841,-40875,-16553,-87796,-108617,Upgrade
19,Net Income Growth,-79.72%,-,-,-,-,-,-,-,-,-12.76%,1740.26%,-83.05%,-,-,-,-,-,-,-,-,Upgrade
20,Shares Outstanding (Basic),58,58,58,58,59,58,58,58,58,40,77,58,58,58,59,58,58,58,58,58,Upgrade
21,Shares Outstanding (Diluted),58,58,58,58,59,58,58,58,58,40,77,58,58,58,59,58,58,58,58,58,Upgrade
22,Shares Change (YoY),-1.32%,0.79%,-0.39%,0.02%,0.65%,45.91%,-24.36%,-0.09%,0.01%,-31.26%,31.22%,0.05%,-0.05%,-0.86%,0.69%,0.01%,-0.38%,-0.15%,0.41%,-0.01%,Upgrade
23,EPS (Basic),15.00,692.82,-620.42,-831.56,73.00,-1274.42,-658.01,-2297.78,-839.00,236.54,266.45,439.68,276.00,186.37,19.00,2848.77,-702.25,-284.58,-1507.33,-1865.90,Upgrade
24,EPS (Diluted),15.00,692.82,-620.42,-831.56,73.00,-1274.42,-658.01,-2298.10,-839.00,236.54,266.45,439.68,276.00,186.37,19.00,2848.72,-702.25,-284.58,-1507.33,-1866.12,Upgrade
25,EPS Growth,-79.45%,-,-,-,-,-,-,-,-,26.92%,1302.39%,-84.57%,-,-,-,-,-,-,-,-,Upgrade
26,Free Cash Flow,-99469,-37749,30834,249218,-116540,150873,-45065,-41286,-378637,-211728,-150283,144235,121387,155453,23911,298135,-7105,283129,-202395,605575,Upgrade
27,Free Cash Flow Per Share,-1721.24,-647.59,531.80,4281.60,-1989.97,2608.67,-774.20,-709.45,-6507.60,-5341.51,-1952.79,2476.34,2086.55,2695.80,407.72,5121.29,-122.07,4867.63,-3474.85,10402.94,Upgrade
28,Gross Margin,1.23%,5.08%,-0.80%,-0.68%,-4.51%,-3.52%,1.09%,-5.75%,-4.58%,12.20%,16.95%,16.36%,10.12%,11.57%,7.28%,21.74%,0.25%,7.54%,-9.26%,-8.04%,Upgrade
29,Operating Margin,0.40%,3.29%,-2.14%,-2.21%,-5.44%,-4.90%,-0.25%,-6.92%,-7.77%,10.36%,14.96%,14.15%,9.44%,9.46%,5.31%,21.41%,-3.23%,5.04%,-12.40%,-11.19%,Upgrade
30,Profit Margin,0.14%,9.67%,-9.01%,-10.17%,0.86%,-16.18%,-7.04%,-17.49%,-23.24%,2.75%,6.90%,7.35%,4.54%,2.33%,0.51%,17.78%,-15.21%,-4.48%,-21.35%,-18.28%,Upgrade
31,Free Cash Flow Margin,-15.66%,-9.04%,7.72%,52.35%,-23.49%,33.13%,-8.28%,-5.40%,-180.23%,-62.14%,-50.55%,41.41%,34.30%,33.68%,11.02%,31.97%,-2.64%,76.59%,-49.22%,101.90%,Upgrade
32,EBITDA,18547,28197,6051,-2323,-19545,-15821,23180,-22044,13965,66159,75133,77696,34746,82558,12691,271370,6526,62171,-32162,-7920,Upgrade
33,EBITDA Margin,2.92%,6.75%,1.52%,-0.49%,-3.94%,-3.47%,4.26%,-2.88%,6.65%,19.42%,25.27%,22.31%,9.82%,17.89%,5.85%,29.10%,2.43%,16.82%,-7.82%,-1.33%,Upgrade
34,D&A For EBITDA,16028,14446,14615,8182,7464,6507,24556,30843,30284,30849,30666,28403,1351,38882,1166,71735,15214,43553,18837,58601,Upgrade
35,EBIT,2519,13751,-8563,-10505,-27009,-22327,-1377,-52887,-16319,35310,44467,49293,33395,43675,11525,199634,-8689,18618,-50999,-66521,Upgrade
36,EBIT Margin,0.40%,3.29%,-2.14%,-2.21%,-5.44%,-4.90%,-0.25%,-6.92%,-7.77%,10.36%,14.96%,14.15%,9.44%,9.46%,5.31%,21.41%,-3.23%,5.04%,-12.40%,-11.19%,Upgrade
37,Effective Tax Rate,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.31%,-,-,-,-,Upgrade
38,Revenue as Reported,635168,417630,399418,476082,496057,455433,544022,764448,210081,340714,297267,348305,353890,461501,217055,932521,268697,369692,411201,594286,Upgrade
