,Fiscal Quarter,Current,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 11, 2025","Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,560500,308750,327750,375250,380000,365750,323000,279300,289750,237500,237500,230850,228000,210900,-
1,Market Cap Growth,-,-15.58%,1.47%,34.35%,31.15%,54.00%,36.00%,20.99%,27.08%,12.61%,-,-,-,-,-
2,Enterprise Value,486621,257621,284555,337568,335777,329949,287199,243499,253949,222847,214089,205716,220364,199597,-
3,PE Ratio,13.45,11.40,11.36,11.61,12.90,11.96,9.11,8.20,11.17,8.87,9.27,-,8.67,11.21,-
4,PS Ratio,6.59,5.79,6.21,6.39,6.67,6.51,5.30,4.77,6.22,5.02,4.80,4.77,5.06,6.51,-
5,PB Ratio,5.31,2.90,2.91,3.13,3.56,3.15,-,-,-,2.01,2.23,2.11,1.93,1.91,-
6,EV/Sales Ratio,5.33,4.83,5.39,5.75,5.89,5.87,4.71,4.16,5.45,4.71,4.33,4.25,4.89,6.16,-
7,EV/EBIT Ratio,9.24,9.62,9.85,10.39,11.41,10.79,8.02,7.06,9.77,8.31,8.36,-,8.20,10.27,-
8,Quick Ratio,3.45,13.11,35.48,12.87,5.52,10.15,-,-,-,6.03,4.09,4.68,4.35,3.07,3.52
9,Current Ratio,3.55,13.44,36.91,13.23,5.72,10.55,-,-,-,6.23,4.29,4.96,4.66,3.33,3.91
10,Asset Turnover,0.44,-,0.57,0.43,-,-,-,-,0.56,0.52,-,0.42,0.65,-,
11,Return on Equity (ROE),17.92%,-,35.51%,19.92%,-,-,-,-,41.02%,32.05%,-,26.19%,37.62%,-,
12,Return on Assets (ROA),10.06%,-,21.28%,11.62%,-,-,-,-,24.87%,19.44%,-,15.33%,22.90%,-,
13,Return on Capital (ROIC),10.32%,-,22.49%,12.31%,-,-,-,-,26.36%,20.53%,-,16.28%,24.10%,-,
14,Return on Capital Employed (ROCE),17.58%,25.17%,25.67%,27.10%,27.61%,26.34%,-,-,-,22.68%,23.99%,-,22.75%,17.58%,7.96%
15,Earnings Yield,7.99%,8.77%,8.80%,8.61%,7.75%,8.36%,10.97%,12.19%,8.95%,11.27%,10.79%,11.00%,11.53%,8.92%,-
16,Earnings Yield,7.99%,8.77%,8.80%,8.61%,7.75%,8.36%,10.97%,12.19%,8.95%,11.27%,10.79%,11.00%,11.53%,8.92%,-
17,Dividend Yield,9.86%,17.80%,-,-,3.25%,-,-,-,-,-,-,-,-,-,-
18,Buyback Yield / Dilution,-19.83%,0.07%,0.06%,-17.97%,0.05%,0.01%,0.08%,0.05%,-0.05%,0.02%,-,-,-,-,
19,Total Shareholder Return,9.86%,-2.03%,0.07%,0.06%,-14.72%,0.05%,0.01%,0.08%,0.05%,-0.05%,0.02%,-,-,-,-
