,Fiscal Quarter,Q2 2016,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q3 2014,Q2 2014,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Jun '16 Jun 30, 2016","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Sep '14 Sep 30, 2014","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,12452,11090,17059,12703,11924,17059,15277,11924,16674,14707,3299,12668,18763,13631
1,Revenue Growth (YoY),4.43%,-34.99%,11.67%,6.53%,-28.49%,15.99%,363.11%,-5.87%,-11.13%,7.89%,-,-,-,-
2,"Selling, General & Admin",1084,440.47,603.25,1142,407.61,603.25,1019,407.61,322.64,831.62,463.69,444.25,890.88,517
3,Other Operating Expenses,6849,4050,6268,6077,4899,6268,7109,4899,4491,5002,4204,4775,7223,4332
4,Total Operating Expenses,7933,4491,6871,7219,5307,6871,8128,5307,4813,5834,4668,5219,8114,4849
5,Operating Income,4519,6599,10188,5484,6617,10188,7149,6617,11860,8873,-1369,7448,10648,8782
6,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-2.97,-390.58
7,Interest Income,544,402.98,484.11,434.1,512.87,484.11,512.32,512.87,360.17,379.2,455.58,402.9,296.06,476.27
8,Net Interest Expense,544,402.98,484.11,434.1,512.87,484.11,512.32,512.87,360.17,379.2,455.58,402.9,293.09,85.69
9,Other Non-Operating Income (Expenses),244.72,-,-,-2.08,-,-,-,-,-,-,-,-,-,-
10,EBT Excluding Unusual Items,5308,7002,10672,5916,7130,10672,7662,7130,12220,9252,-913.29,7851,10941,8868
11,Pretax Income,5308,7002,10672,5916,7130,10672,7662,7130,12220,9252,-913.29,7851,10941,8868
12,Income Tax Expense,403.5,423.23,620.32,370.51,463.73,620.32,465.72,463.73,686.35,596.29,-,364.25,552.43,446.92
13,Net Income,4905,6579,10051,5546,6666,10051,7196,6666,11534,8656,-913.29,7487,10389,8421
14,Net Income to Common,4905,6579,10051,5546,6666,10051,7196,6666,11534,8656,-913.29,7487,10389,8421
15,Net Income Growth,-26.43%,-34.54%,39.68%,-16.81%,-42.20%,16.12%,-,-10.96%,11.02%,2.80%,-,-,-,-
16,Shares Outstanding (Basic),11,9,10,11,9,10,10,9,10,10,10,10,9,10
17,Shares Outstanding (Diluted),11,9,10,11,9,10,10,9,10,10,10,10,9,10
18,Shares Change (YoY),19.83%,-0.07%,-0.06%,17.97%,-0.05%,-0.01%,-0.08%,-0.05%,0.05%,-0.02%,-,-,-,-
19,EPS (Basic),431.00,693.00,1058.00,495.00,702.00,1058.00,757.00,702.00,1214.00,911.00,-96.00,788.00,1094.00,886.00
20,EPS (Diluted),431.00,693.00,1058.00,495.00,702.00,1058.00,757.00,702.00,1214.00,911.00,-96.00,788.00,1094.00,886.00
21,EPS Growth,-38.60%,-34.50%,39.76%,-29.49%,-42.17%,16.14%,-,-10.91%,10.97%,2.82%,-,-,-,-
22,Dividend Per Share,2000.000,-,-,518.000,-,-,-,-,-,-,-,-,-,-
23,Profit Margin,39.39%,59.33%,58.92%,43.66%,55.91%,58.92%,47.10%,55.91%,69.17%,58.86%,-27.69%,59.10%,55.37%,61.77%
24,EBIT,4519,6599,10188,5484,6617,10188,7149,6617,11860,8873,-1369,7448,10648,8782
25,EBIT Margin,36.29%,59.51%,59.72%,43.17%,55.50%,59.72%,46.80%,55.50%,71.13%,60.33%,-41.50%,58.80%,56.75%,64.42%
26,Effective Tax Rate,7.60%,6.04%,5.81%,6.26%,6.50%,5.81%,6.08%,6.50%,5.62%,6.44%,-,4.64%,5.05%,5.04%
27,Revenue as Reported,12452,11090,17059,12703,11924,17059,15277,11924,16674,14707,3299,12668,18763,13631
