,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,13293,13783,14289,14305,15123,16034,16710,18066,19498,14778,17040,19785,22741,25500,30386,-,-,-,-,-
1,Market Cap Growth,-14.04%,-14.04%,-14.49%,-20.82%,-22.44%,8.49%,-1.94%,-8.69%,-14.26%,-42.05%,-43.92%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,19677,19760,19952,19923,18600,18878,18456,19095,20014,15992,18641,21599,23881,26770,34394,-,-,-,-,-
3,Last Close Price,8.94,9.17,9.50,9.51,10.06,10.65,10.99,11.55,12.46,9.44,10.89,12.64,14.53,16.30,18.96,-,-,-,-,-
4,PE Ratio,13.76,14.10,13.00,12.10,13.25,16.19,19.59,21.31,17.83,13.10,11.55,11.50,13.99,15.03,21.91,-,-,-,-,-
5,Forward PE,13.55,13.50,11.13,11.14,10.89,9.95,8.80,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.25,3.33,3.41,3.34,3.78,4.92,5.19,5.17,4.69,3.09,3.20,3.62,4.65,5.35,7.56,-,-,-,-,-
7,PB Ratio,2.03,2.10,2.25,2.33,2.56,2.89,3.17,2.85,2.97,2.36,2.96,3.64,4.56,5.22,6.13,-,-,-,-,-
8,P/TBV Ratio,-,-,-,-,-,6.46,7.08,5.15,5.42,4.41,5.99,7.61,10.68,12.70,14.54,-,-,-,-,-
