,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,670.37,1283,1236,341.29,1597,1354,2568,2876,2645,1207,906.56,665.29,1374,2467,-,283.09,-,-,-
1,Trading Asset Securities,-,-,-,-,-,-,-,-,-,170.56,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,670.37,1283,1236,341.29,1597,1354,2568,2876,2645,1377,906.56,665.29,1374,2467,283.09,283.09,-,-,67.04
3,Cash Growth,-58.04%,-5.28%,-51.87%,-88.13%,-39.59%,-1.69%,183.23%,332.27%,92.53%,-44.18%,220.23%,135.01%,-,-,322.25%,-,-,-,-
4,Accounts Receivable,168.71,198.84,250.44,237.28,249.35,480.05,398.72,223.58,206.69,308.75,298.31,247.88,269.35,254.35,-,365.68,-,-,-
5,Other Receivables,150.35,238.38,47.08,112.46,134.99,184.04,46.62,85.37,15.22,20.39,50.39,41.41,11.18,33.11,-,7.46,-,-,-
6,Receivables,319.06,437.22,297.52,349.74,384.33,664.09,445.34,308.95,221.91,329.14,348.7,289.29,280.53,287.46,-,373.14,-,-,-
7,Inventory,556.59,584.51,537.74,494.66,511.66,631.87,682.76,650.56,470.54,417.74,435.56,377.07,283.13,280.74,-,169.04,-,-,-
8,Other Current Assets,190.67,65.85,128.49,113.26,189.92,162.36,666.17,205.63,519.05,283.46,668.12,452.91,138.6,47.06,-,45.98,-,-,-
9,Total Current Assets,1737,2370,2199,1299,2683,2812,4362,4041,3856,2408,2359,1785,2076,3083,-,871.25,-,-,-
10,"Property, Plant & Equipment",5191,4896,4923,4787,4681,4487,3889,4193,3577,3512,3425,3408,3368,3327,-,3291,-,-,-
11,Long-Term Investments,167.29,167.29,60.14,60.14,60.25,60.25,60.25,60.25,40.25,45,45,45,40,40,-,40,-,-,-
12,Goodwill,4.6,4.6,4.6,4.6,4.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,7414,7447,7488,7362,3091,2913,2837,2966,2899,2910,2841,2864,2876,2865,-,2913,-,-,-
14,Long-Term Deferred Tax Assets,102.69,97.46,96.37,85.75,81.54,71.58,62.75,61.95,59.52,56.72,60.25,65.53,65.24,105.65,-,171.46,-,-,-
15,Long-Term Deferred Charges,158.41,134.31,135.78,137.8,115.56,103.79,115,106.9,114.81,111.75,111.59,113.1,75.28,76.78,-,74.4,-,-,-
16,Other Long-Term Assets,306.45,246.52,330.85,320.95,1887,214.14,199.41,248.15,10.51,174.78,13.63,73.93,115.63,84.2,-,85.1,-,-,-
17,Total Assets,15081,15363,15237,14057,12604,10662,11525,11677,10557,9218,8856,8354,8616,9581,-,7446,-,-,-
18,Accounts Payable,668.85,990.43,676.67,532.55,474.24,385.99,438.35,459.21,562.08,335.43,436.62,369.45,426.1,403.17,-,434.32,-,-,-
19,Accrued Expenses,39.34,79.32,44.06,136.95,43.21,123.45,37.52,127.36,39.65,154.94,35.18,187.7,37.92,202.54,-,163.07,-,-,-
20,Short-Term Debt,2413,2652,2511,1904,1950,1551,1553,1168,448.18,634.99,817.47,635.78,890.13,1749,-,2374,-,-,-
21,Current Portion of Long-Term Debt,1594,1232,617.25,629.85,625.35,432.51,240.33,238.39,103.99,216.72,197.85,249.06,253.38,565.7,-,566.02,-,-,-
22,Current Portion of Leases,-,177.5,-,0.99,-,0.22,-,0.21,-,1.82,-,2.3,-,-,-,-,-,-,-
23,Current Income Taxes Payable,73.47,25.86,79.39,68.68,96.21,52.69,68.22,46.51,136.79,108.48,157.8,92.75,235.61,75.63,-,25.02,-,-,-
24,Current Unearned Revenue,84.97,61.35,72.14,40.02,107.8,51.36,82.26,68.22,165,28.49,73.84,66.37,122.37,81.89,-,75.89,-,-,-
25,Other Current Liabilities,422.16,372.45,1085,1184,1032,391.08,42.52,322.26,55.07,61.02,92.19,71.38,300.52,31.37,-,100.56,-,-,-
26,Total Current Liabilities,5296,5591,5086,4497,4329,2988,2462,2430,1511,1542,1811,1675,2266,3109,-,3739,-,-,-
27,Long-Term Debt,2770,2961,3446,3422,2531,2214,2520,2501,2602,1733,1483,1584,1359,1423,-,1351,-,-,-
28,Long-Term Leases,277.77,238.16,322.66,0.87,0.06,0.12,0.24,0.24,5.29,5.2,8.24,8.22,11.52,-,-,-,-,-,-
29,Long-Term Unearned Revenue,36.23,37.08,52.25,52.97,53.72,39.62,39.98,40.89,40.21,37.83,34.4,16.99,17.17,17.35,-,14.71,-,-,-
30,Long-Term Deferred Tax Liabilities,66.82,66.34,67.64,67.64,23.44,22.72,24.04,11.83,6.21,5.98,6.58,6.58,6.43,6.61,-,6.97,-,-,-
31,Other Long-Term Liabilities,71.01,109.7,117.48,117.3,122.25,123.85,131.86,130.57,139.42,138.13,70.86,70.29,71.93,70.58,-,67.88,-,-,-
32,Total Liabilities,8517,9002,9092,8158,7059,5389,5178,5115,4304,3462,3414,3361,3732,4627,-,5179,-,-,-
33,Common Stock,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,1508,-,1289,-,-,-
34,Additional Paid-In Capital,1172,1172,1176,1176,1176,1176,1552,2275,1552,1552,1552,1552,1675,1675,-,77.66,-,-,-
35,Retained Earnings,3874,3672,3451,3209,2897,2572,3081,2514,2844,2663,2357,1910,1681,1753,-,888.72,-,-,-
36,Treasury Stock,-268.87,-268.89,-267.63,-267.72,-267.88,-247.2,-52.65,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,278.69,277.8,277.56,273,264.32,264.4,257.84,264.68,349.5,32.7,24.31,21.91,19.51,18.79,-,11.46,-,-,-
38,Total Common Equity,6564,6361,6144,5898,5577,5273,6346,6563,6253,5756,5442,4992,4884,4954,2267,2267,-,-,1647
39,Minority Interest,-,-,1.31,1.5,-31.81,-,-,-,-0,-0,-0,-0,-,-,-,-,-,-,-
