,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,408.23,366.43,299.19,341.36,205.99,215.18,167.62
1,Revenue Growth (YoY),36.44%,7.35%,45.24%,58.64%,22.89%,-,-
2,Cost of Revenue,113.21,87.28,66.56,89.9,64.45,46.53,37.91
3,Gross Profit,295.02,279.15,232.64,251.45,141.55,168.64,129.71
4,"Selling, General & Admin",84.88,82.77,84.1,89,65.46,73.88,42.59
5,Research & Development,48.35,80.6,84.53,74.09,49.18,55.79,38.35
6,Other Operating Expenses,-6.33,-10.91,-7.76,-18.08,0.07,-6.35,-13.76
7,Operating Expenses,126.9,152.46,160.88,145.01,114.71,123.32,67.18
8,Operating Income,168.12,126.7,71.76,106.45,26.83,45.33,62.53
9,Interest Expense,-1.3,-1.6,-1.86,-9.87,-89.41,-32.04,-13.16
10,Interest & Investment Income,7.68,8.26,8.32,6.85,3.12,3.42,0.54
11,Earnings From Equity Investments,-9.9,-11.92,-11.92,-13.78,-12.84,-5.23,-2.29
12,Currency Exchange Gain (Loss),-,-0.64,-,-0.54,-,-0.16,-
13,Other Non Operating Income (Expenses),-0.34,-0.16,-0.11,-0.08,-0.06,-0.05,-0.06
14,EBT Excluding Unusual Items,164.27,120.62,66.19,89.02,-72.35,11.27,47.56
15,Merger & Restructuring Charges,-,-,-,-,-,-0.98,-
16,Gain (Loss) on Sale of Investments,6.69,-26.75,2.12,1.7,-,-,-
17,Gain (Loss) on Sale of Assets,-,-0.13,-,0,-0.03,-,0.39
18,Other Unusual Items,-,-,-,-6.32,-16.34,-26.34,-
19,Pretax Income,170.96,93.74,68.31,84.4,-88.73,-16.05,47.96
20,Income Tax Expense,30.87,17.16,10.32,15.35,5,3.53,4.21
21,Earnings From Continuing Operations,140.09,76.58,58,69.05,-93.73,-19.58,43.75
22,Minority Interest in Earnings,3.42,4.93,6.04,1.54,1.38,-,-
23,Net Income,143.5,81.51,64.04,70.59,-92.35,-19.58,43.75
24,Net Income to Common,143.5,81.51,64.04,70.59,-92.35,-19.58,43.75
25,Net Income Growth,124.08%,15.47%,-,-,-,-,-
26,Shares Outstanding (Basic),581,583,583,574,461,491,500
27,Shares Outstanding (Diluted),581,583,583,574,461,491,500
28,Shares Change (YoY),-0.24%,1.56%,26.28%,16.86%,-7.72%,-,-
29,EPS (Basic),0.25,0.14,0.11,0.12,-0.20,-0.04,0.09
30,EPS (Diluted),0.25,0.14,0.11,0.12,-0.20,-0.04,0.09
31,EPS Growth,124.70%,13.69%,-,-,-,-,-
32,Free Cash Flow,94.09,117.12,23.81,165.77,25.75,54.67,53.3
33,Free Cash Flow Per Share,0.16,0.20,0.04,0.29,0.06,0.11,0.11
34,Dividend Per Share,0.074,-,-,-,-,-,-
35,Operating Margin,41.18%,34.58%,23.98%,31.18%,13.03%,21.07%,37.30%
36,Profit Margin,35.15%,22.24%,21.40%,20.68%,-44.83%,-9.10%,26.10%
37,Free Cash Flow Margin,23.05%,31.96%,7.96%,48.56%,12.50%,25.41%,31.80%
38,EBITDA,176.64,159.24,79.85,141.7,33.77,63.09,65.38
39,D&A For EBITDA,8.51,32.55,8.09,35.25,6.93,17.76,2.85
40,EBIT,168.12,126.7,71.76,106.45,26.83,45.33,62.53
