,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,7170,3636,7132,8099,13372,-,-,-
1,Market Cap Growth,-55.11%,-55.11%,-46.67%,-,-,-,-,-
2,Enterprise Value,6002,2512,5949,6902,14279,-,-,-
3,Last Close Price,12.42,6.17,11.91,13.53,22.33,-,-,-
4,PE Ratio,29.89,15.04,44.48,55.67,-543.46,-,-,-
5,Forward PE,28.91,14.52,36.52,-,-,-,-,-
6,PS Ratio,8.68,4.37,9.73,11.70,21.61,-,-,-
7,PB Ratio,3.93,1.98,3.95,4.77,7.96,-,-,-
8,P/TBV Ratio,2.20,2.20,3.96,5.22,8.04,-,-,-
9,P/FCF Ratio,31.59,16.02,45.94,39.54,61.76,-,-,-
10,P/OCF Ratio,15.39,15.39,42.10,35.51,52.85,-,-,-
11,EV/Sales Ratio,7.21,3.02,8.11,9.97,23.08,-,-,-
12,EV/EBITDA Ratio,16.58,6.96,22.59,28.83,71.99,-,-,-
13,EV/EBIT Ratio,20.46,7.93,27.21,35.84,94.77,-,-,-
14,EV/FCF Ratio,26.45,11.07,38.32,33.69,65.95,-,-,-
15,Debt / Equity Ratio,0.03,0.03,0.04,0.05,0.06,-5.11,-7.70,-
16,Debt / FCF Ratio,0.23,0.23,0.44,0.39,0.45,18.53,12.48,-
17,Return on Capital Employed (ROCE),16.44%,16.44%,11.60%,10.80%,8.47%,6.03%,9.25%,-
18,Earnings Yield,3.37%,6.65%,2.25%,1.80%,-0.18%,-,-,-
19,FCF Yield,3.17%,6.24%,2.18%,2.53%,1.62%,-,-,-
20,Dividend Yield,1.29%,1.30%,-,-,-,-,-,-
21,Buyback Yield / Dilution,-0.65%,0.24%,-1.56%,-26.28%,-16.86%,7.72%,-,-
22,Total Shareholder Return,0.64%,1.54%,-1.56%,-26.28%,-16.86%,7.72%,-,-
