,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,679.94,721.18,827.47,827.93,640,593.29,-
1,Short-Term Investments,137.91,79.68,81.21,62.62,89.74,31.25,-
2,Trading Asset Securities,316.99,283.5,266.44,266.05,-,-,-
3,Cash & Short-Term Investments,1135,1084,1175,1157,729.74,624.54,-
4,Cash Growth,-3.43%,-6.25%,61.03%,85.19%,-,-,-
5,Accounts Receivable,155.16,10.56,31.52,10.07,19.32,1.07,-
6,Other Receivables,10.68,23.29,4.81,3.28,4.08,70.59,-
7,Receivables,165.84,33.85,36.33,13.35,23.39,71.66,-
8,Inventory,170.61,200.96,173.47,114.73,108.07,87.96,-
9,Other Current Assets,-,13.37,-,-,-,-,-
10,Total Current Assets,1471,1333,1385,1285,861.2,784.15,-
11,"Property, Plant & Equipment",155.34,174.53,189.33,206.83,217.64,225.85,-
12,Long-Term Investments,95.6,103.69,148.82,155.5,162.99,168.21,-
13,Other Intangible Assets,169.33,0.92,130.49,0.7,133.89,0.34,-
14,Long-Term Deferred Tax Assets,13.96,11.12,12.9,11.64,8.52,7.4,-
15,Long-Term Deferred Charges,-,150.47,-,130.95,-,127.05,-
16,Other Long-Term Assets,174.41,187.37,27.01,26.69,29.66,27.35,-
17,Total Assets,2080,1961,1893,1817,1414,1340,-
18,Accounts Payable,60.47,69.1,66.14,40.22,40.77,34.95,-
19,Accrued Expenses,57.08,71.67,50.49,64.92,59.71,63.04,-
20,Current Portion of Leases,23.01,23.79,24.08,24.73,25.81,27.99,-
21,Current Income Taxes Payable,17.65,4.33,3.53,18.47,9.65,4.15,-
22,Current Unearned Revenue,5.11,8.06,7.59,11.63,22.37,12.4,-
23,Other Current Liabilities,123.63,72.31,91.94,83.84,58.64,31.68,-
24,Total Current Liabilities,286.94,249.25,243.76,243.8,216.94,174.21,-
25,Long-Term Debt,-,-,-,-,1393,1238,-
26,Long-Term Leases,26.48,37.57,49.03,60.52,71.12,81.71,-
27,Long-Term Unearned Revenue,48.15,24.82,19.56,19.14,19.6,18.12,-
28,Other Long-Term Liabilities,11.61,10.75,8.33,7.89,4.81,3.25,-
29,Total Liabilities,373.18,322.39,320.67,331.35,1705,1515,-
30,Common Stock,0.08,0.08,0.08,0.08,0.06,0.06,-
31,Additional Paid-In Capital,1319,1378,1378,1378,-,-,-
32,Retained Earnings,411.9,268.39,186.89,122.85,52.26,144.61,-
33,Comprehensive Income & Other,-22.69,-10.76,0.37,-27.91,-358.25,-319.61,-
34,Total Common Equity,1709,1636,1565,1473,-305.94,-174.94,-
35,Minority Interest,-1.84,2.75,7.67,12.85,14.38,-,-
36,Shareholders' Equity,1707,1638,1573,1486,-291.55,-174.94,-
37,Total Liabilities & Equity,2080,1961,1893,1817,1414,1340,-
38,Total Debt,49.48,61.36,73.11,85.24,1490,1348,-
39,Net Cash (Debt),1085,1023,1102,1071,-760.15,-723.15,-
40,Net Cash Growth,-1.51%,-4.51%,-,-,-,-,-
41,Net Cash Per Share,1.87,1.76,1.89,1.87,-1.65,-1.47,-
42,Filing Date Shares Outstanding,581.05,582.66,582.66,582.66,461.4,582.66,500
43,Total Common Shares Outstanding,581.05,582.66,582.66,582.66,461.4,461.4,500
44,Working Capital,1184,1083,1141,1041,644.25,609.94,-
45,Book Value Per Share,2.94,2.81,2.69,2.53,-0.66,-0.38,-
46,Tangible Book Value,1539,1635,1435,1472,-439.82,-175.28,-
47,Tangible Book Value Per Share,2.65,2.81,2.46,2.53,-0.95,-0.38,-
48,Buildings,-,14.97,-,14.97,-,14.97,-
49,Machinery,-,73.89,-,64.4,-,39.84,-
50,Construction In Progress,-,0.23,-,3.62,-,45.5,-
51,Leasehold Improvements,-,70.94,-,68.28,-,28.4,-
