,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,447.54,383.68,348.78,290.98,243.24,240.69,221.29
1,Revenue Growth (YoY),28.32%,31.86%,43.39%,20.90%,9.92%,-,-
2,Cost of Revenue,359.47,312.06,274.45,223.5,187.12,186.27,169.49
3,Gross Profit,88.07,71.63,74.33,67.49,56.12,54.42,51.8
4,"Selling, General & Admin",29.62,24.33,29.77,25.02,13.42,11.63,20.14
5,Operating Expenses,29.62,24.33,29.77,25.02,13.42,11.63,20.14
6,Operating Income,58.45,47.3,44.57,42.47,42.7,42.79,31.67
7,Interest Expense,-6.84,-7.57,-7.9,-7.68,-4.3,-2.36,-1.51
8,Interest & Investment Income,4.27,2.81,3.21,2.21,0.59,0.89,0.59
9,Earnings From Equity Investments,-0.01,1.32,-0.26,-0.99,-1.02,-1.33,-1.68
10,Currency Exchange Gain (Loss),1.57,-2.67,5.58,4.99,-,-,-
11,Other Non Operating Income (Expenses),-12.1,33.95,1.07,3.97,1.87,1.43,1.52
12,EBT Excluding Unusual Items,45.33,75.14,46.27,44.98,39.84,41.42,30.6
13,Gain (Loss) on Sale of Investments,-,1.29,-,-,-,-,-
14,Gain (Loss) on Sale of Assets,-,-,-,-,-,-0.03,-
15,Asset Writedown,-,-21.36,1.07,3.05,-,3.3,1.26
16,Pretax Income,45.33,55.07,47.34,48.03,39.84,44.69,31.86
17,Income Tax Expense,12.97,11.64,12.81,12.46,10.34,12.05,7.99
18,Earnings From Continuing Operations,32.36,43.43,34.53,35.56,29.5,32.65,23.87
19,Minority Interest in Earnings,-1.17,-3.76,-1.93,0.04,-1,-0.58,-0.47
20,Net Income,31.19,39.67,32.6,35.6,28.51,32.07,23.4
21,Net Income to Common,31.19,39.67,32.6,35.6,28.51,32.07,23.4
22,Net Income Growth,-4.34%,11.44%,14.37%,11.01%,21.84%,-,-
23,Shares Outstanding (Basic),101,101,101,93,75,75,75
24,Shares Outstanding (Diluted),101,101,101,93,75,75,75
25,Shares Change (YoY),-,8.35%,34.73%,24.35%,-,-,-
26,EPS (Basic),0.31,0.39,0.32,0.38,0.38,0.43,0.31
27,EPS (Diluted),0.31,0.39,0.32,0.38,0.38,0.43,0.31
28,EPS Growth,-4.34%,2.85%,-15.11%,-10.73%,21.84%,-,-
29,Free Cash Flow,-107.22,126.6,-41.7,-36.35,-13.69,36.69,-27.22
30,Free Cash Flow Per Share,-1.06,1.25,-0.41,-0.39,-0.18,0.49,-0.36
31,Operating Margin,13.06%,12.33%,12.78%,14.60%,17.55%,17.78%,14.31%
32,Profit Margin,6.97%,10.34%,9.35%,12.23%,11.72%,13.32%,10.57%
33,Free Cash Flow Margin,-23.96%,33.00%,-11.96%,-12.49%,-5.63%,15.25%,-12.30%
34,EBITDA,72.04,61.18,58.22,52.3,52.87,49.8,37.28
35,D&A For EBITDA,13.6,13.88,13.65,9.83,10.17,7.01,5.61
36,EBIT,58.45,47.3,44.57,42.47,42.7,42.79,31.67
