,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Dec '24 Dec 6, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,596,646,715,748,808,-,-,-
1,Market Cap Growth,-13.65%,-13.65%,-11.50%,-,-,-,-,-
2,Enterprise Value,547,460,706,690,905,-,-,-
3,Last Close Price,5.90,6.39,6.69,7.00,7.37,-,-,-
4,PE Ratio,7.60,8.48,8.99,10.15,11.15,-,-,-
5,PS Ratio,0.67,0.72,0.89,1.08,1.34,-,-,-
6,PB Ratio,0.70,0.74,0.80,0.88,0.95,-,-,-
7,P/TBV Ratio,0.76,0.76,0.82,0.89,0.96,-,-,-
8,P/FCF Ratio,26.62,-,7.65,-,-,-,-,-
9,P/OCF Ratio,14.53,-,4.86,-,-,-,-,-
10,EV/Sales Ratio,0.62,0.52,0.87,1.00,1.50,-,-,-
11,EV/EBITDA Ratio,3.73,3.21,5.36,5.78,7.61,-,-,-
12,EV/EBIT Ratio,4.67,4.05,6.97,7.34,9.40,-,-,-
13,EV/FCF Ratio,24.42,-,7.54,-,-,-,-,-
14,Debt / Equity Ratio,0.37,0.37,0.37,0.37,0.40,0.52,0.65,-
15,Debt / FCF Ratio,14.32,-,3.56,-,-,-,37.87,-
16,Return on Capital Employed (ROCE),9.80%,9.63%,8.31%,8.02%,8.08%,9.60%,8.60%,-
17,Earnings Yield,13.16%,11.79%,11.13%,9.86%,8.97%,-,-,-
18,FCF Yield,3.76%,3.23%,13.07%,-11.28%,-7.00%,-,-,-
19,Buyback Yield / Dilution,-4.01%,-,-8.35%,-34.73%,-24.35%,-,-,-
20,Total Shareholder Return,2.09%,-,-8.35%,-34.73%,-24.35%,-,-,-
