,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,313.76,397.32,311.75,355.91,223.88,302.64,-
1,Short-Term Investments,34.68,69.9,-,-,-,-,-
2,Trading Asset Securities,12,18,-,-,-,-,-
3,Cash & Short-Term Investments,360.44,485.22,311.75,355.91,223.88,302.64,-
4,Cash Growth,15.62%,36.33%,39.25%,17.60%,-,-,-
5,Accounts Receivable,463.25,324.34,303.12,200.3,144.26,136.35,-
6,Other Receivables,29.46,42.29,-,13.78,-,8.75,-
7,Receivables,492.72,366.63,303.12,214.08,144.26,145.1,-
8,Inventory,0.12,0.12,0.12,0.11,0.14,0.18,-
9,Restricted Cash,-,0.27,0.27,0.85,0.28,0.44,-
10,Other Current Assets,28.56,15.8,34.05,18.91,45.47,42.36,-
11,Total Current Assets,881.83,868.04,649.31,589.86,414.04,490.72,-
12,"Property, Plant & Equipment",391.21,402.68,409.52,420.18,423.05,370.07,-
13,Long-Term Investments,6.67,6.8,74.48,77.39,94.59,99.23,-
14,Other Intangible Assets,1.56,1.18,1.08,0.69,0.79,0.34,-
15,Long-Term Deferred Tax Assets,6.85,5.25,6.24,5.62,6.52,5.36,-
16,Other Long-Term Assets,371.74,332.69,354.05,352.98,349.61,349.93,-
17,Total Assets,1660,1617,1495,1447,1289,1316,-
18,Accounts Payable,397.79,317.07,256.49,224.82,221.8,201.21,-
19,Accrued Expenses,-,36.54,-,50.31,-,40.65,-
20,Short-Term Debt,8.5,8.5,-,6,-,57,-
21,Current Portion of Long-Term Debt,10,10,11.25,11.25,11.25,11.25,-
22,Current Portion of Leases,0.11,0.11,-,-,-,-,-
23,Current Income Taxes Payable,3.5,11.33,2.11,3.45,4.21,2.67,-
24,Current Unearned Revenue,40.64,53.73,38.74,39.83,55.83,75.02,-
25,Other Current Liabilities,101.04,73.66,100.56,56.65,104.9,62.46,-
26,Total Current Liabilities,561.58,510.93,409.14,392.31,397.99,450.25,-
27,Long-Term Debt,279.7,283.1,280.3,282.22,288.57,290.57,-
28,Long-Term Leases,0.15,0.15,-,-,-,-,-
29,Long-Term Deferred Tax Liabilities,9.13,11.56,18.93,18.43,20.33,21.31,-
30,Total Liabilities,850.56,805.74,708.37,692.97,706.88,762.13,-
31,Common Stock,101.05,101.05,101.05,101.05,75,75,-
32,Additional Paid-In Capital,133.32,133.32,133.32,133.32,-,-,-
33,Retained Earnings,300.69,303.37,283.14,243.64,229.3,200.8,-
34,Comprehensive Income & Other,258.21,258.3,257.69,269.03,270.64,273.36,-
35,Total Common Equity,793.26,796.03,775.19,747.03,574.94,549.15,-
36,Minority Interest,16.04,14.87,11.1,6.72,6.76,4.38,-
37,Shareholders' Equity,809.3,810.89,786.29,753.76,581.7,553.53,-
38,Total Liabilities & Equity,1660,1617,1495,1447,1289,1316,-
39,Total Debt,298.46,301.87,291.55,299.47,299.82,358.82,-
40,Net Cash (Debt),61.98,183.36,20.2,56.43,-75.93,-56.18,-
41,Net Cash Growth,206.76%,224.90%,-,-,-,-,-
42,Net Cash Per Share,0.61,1.81,0.20,0.61,-1.01,-0.75,-
43,Filing Date Shares Outstanding,101.05,101.05,101.05,101.05,75,75,75
44,Total Common Shares Outstanding,101.05,101.05,101.05,101.05,75,75,75
45,Working Capital,320.25,357.11,240.16,197.55,16.05,40.48,-
46,Book Value Per Share,7.85,7.88,7.67,7.39,7.67,7.32,-
47,Tangible Book Value,791.7,794.85,774.12,746.34,574.16,548.81,-
48,Tangible Book Value Per Share,7.83,7.87,7.66,7.39,7.66,7.32,-
49,Buildings,-,290.14,-,290.14,-,225.14,-
50,Machinery,-,191.82,-,182.3,-,144,-
51,Construction In Progress,-,-,-,-,-,33.02,-
