,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7066,6524,5530,6423,7190,6142,7052,5173,5284,5593,6773,5108,8006,6892,3005,-,-,-,-,-
1,Market Cap Growth,6.23%,6.23%,-21.58%,24.17%,36.06%,9.81%,4.12%,1.27%,-34.00%,-18.85%,125.40%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6468,5959,4938,5908,6675,5629,6546,4748,4859,5188,6339,4690,7588,6451,2908,-,-,-,-,-
3,Last Close Price,88.32,81.55,69.13,79.90,89.44,76.40,87.72,64.16,65.53,69.36,84.00,63.19,99.05,85.26,37.17,-,-,-,-,-
4,PE Ratio,32.83,30.27,24.43,28.42,35.57,32.69,41.43,33.46,36.31,42.09,55.98,43.11,69.26,60.00,29.68,-,-,-,-,-
5,PS Ratio,7.33,6.76,5.60,6.54,7.79,7.00,8.66,6.82,7.15,8.16,10.85,8.34,13.70,12.51,6.07,-,-,-,-,-
6,PB Ratio,5.73,5.29,4.70,5.54,6.55,5.88,7.14,5.42,5.78,6.37,8.12,6.24,10.18,9.05,4.10,-,-,-,-,-
7,P/TBV Ratio,5.68,5.68,5.05,5.97,7.10,6.40,7.59,5.77,6.18,6.82,8.73,6.73,11.02,9.81,4.47,-,-,-,-,-
8,P/FCF Ratio,64.66,59.70,58.13,50.78,69.43,62.88,68.25,99.15,124.31,277.83,-,-221.17,-173.01,-,-,-,-,-,-,-
9,P/OCF Ratio,29.92,29.92,22.47,23.45,28.09,25.75,34.49,31.51,33.36,41.11,66.08,48.68,118.34,109.29,45.82,-,-,-,-,-
10,EV/Sales Ratio,6.70,6.17,5.00,6.02,7.23,6.42,8.03,6.26,6.58,7.57,10.16,7.66,12.98,11.71,5.88,-,-,-,-,-
11,EV/EBITDA Ratio,24.46,22.54,18.17,21.94,27.05,25.36,33.05,26.72,29.36,34.34,45.64,34.05,55.93,46.67,23.00,-,-,-,-,-
12,EV/EBIT Ratio,28.15,25.47,20.33,24.44,30.23,28.48,37.42,30.41,33.48,39.33,52.51,38.75,63.26,52.24,25.92,-,-,-,-,-
13,EV/FCF Ratio,59.19,54.53,51.90,46.71,64.46,57.62,63.36,91.00,114.30,257.72,-,-203.05,-163.97,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-,-,0.00,-,0.00,-
15,Debt / EBITDA Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.06,0.07,0.06,0.07,0.01,0.01,0.01,-,-,0.00,-,0.00,-
16,Debt / FCF Ratio,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.24,0.30,0.54,-,-0.04,-0.02,-,-,-,0.02,-,-,-
17,Asset Turnover,0.66,0.62,0.67,0.76,0.83,0.71,0.62,0.76,0.77,0.64,0.68,0.70,0.64,0.88,1.19,-,-,-,-,
18,Inventory Turnover,5.97,5.76,5.06,5.40,6.52,6.51,5.36,4.53,5.45,5.14,4.36,4.63,4.84,4.40,5.35,5.19,-,-,-,-
19,Quick Ratio,3.69,3.69,3.71,3.26,2.86,3.13,3.35,3.40,2.99,3.30,3.66,3.99,4.14,4.97,4.76,1.87,1.71,-,2.23,-
20,Current Ratio,4.29,4.29,4.25,3.78,3.27,3.61,3.87,4.00,3.48,3.96,4.46,4.79,4.87,5.86,5.46,2.54,2.30,-,3.02,-
21,Return on Equity (ROE),15.89%,17.41%,22.97%,19.44%,23.10%,20.81%,17.48%,16.88%,19.16%,16.90%,15.85%,13.00%,15.60%,24.05%,34.91%,-,-,18.42%,-,
22,Return on Assets (ROA),9.31%,9.23%,11.54%,11.04%,12.43%,10.73%,9.58%,8.22%,9.69%,8.30%,8.89%,6.55%,8.41%,12.51%,18.19%,-,-,-,-,
23,Return on Capital (ROIC),11.25%,11.32%,14.63%,14.07%,15.55%,13.25%,11.94%,10.24%,11.71%,9.92%,10.66%,7.74%,9.84%,15.45%,25.05%,-,-,11.97%,-,
24,Return on Capital Employed (ROCE),18.19%,18.52%,20.11%,20.30%,19.56%,18.41%,17.22%,15.88%,15.40%,14.66%,14.12%,14.45%,14.88%,15.86%,15.07%,25.65%,22.27%,-,9.45%,-
25,Earnings Yield,3.05%,3.30%,4.09%,3.52%,2.81%,3.06%,2.41%,2.99%,2.75%,2.38%,1.79%,2.32%,1.44%,1.67%,3.37%,-,-,-,-,-
26,FCF Yield,1.55%,1.67%,1.72%,1.97%,1.44%,1.59%,1.47%,1.01%,0.80%,0.36%,-0.23%,-0.45%,-0.58%,-0.58%,-0.59%,-,-,-,-,-
27,Dividend Yield,0.44%,-,-,-,0.45%,-,-,-,0.38%,-,-,-,0.25%,-,-,-,-,-,-,-
28,Payout Ratio,14.84%,-,62.93%,-,-,-,39.59%,0.06%,0.07%,0.06%,57.33%,-,-,-,61.71%,-,-,-,-,-
29,Buyback Yield / Dilution,-0.17%,-2.33%,0.92%,0.14%,0.56%,-0.63%,1.23%,-0.79%,-1.88%,2.16%,-11.19%,-32.02%,-32.91%,-34.72%,-20.25%,-1.60%,-,-,-,-
30,Total Shareholder Return,0.27%,-2.33%,0.92%,0.14%,1.00%,-0.63%,1.23%,-0.79%,-1.50%,2.16%,-11.19%,-32.02%,-32.66%,-34.72%,-20.25%,-1.60%,-,-,-,-
