,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,247.05,215.46,241.59,248.86,267.15,211.81,183.4,208.35,204.54,156.01,163.7,150.46,146.13,141.65,135.54,124.72,85.46,65.72,62.28
1,Other Revenue,-5.82,5.82,-,12.15,-2.97,2.97,-,6.15,-2.44,2.44,-,10.67,-5.47,5.47,-,2.94,-0.75,0.75,-
2,Revenue,241.23,221.28,241.59,261.02,264.18,214.77,183.4,214.5,202.1,158.45,163.7,161.13,140.66,147.11,135.54,127.66,84.71,66.47,62.28
3,Revenue Growth (YoY),-8.69%,3.03%,31.73%,21.68%,30.72%,35.54%,12.03%,33.12%,43.68%,7.71%,20.78%,26.21%,66.06%,121.33%,117.62%,-,-,-,-
4,Cost of Revenue,159.28,141.25,152.71,171.47,163.41,139.24,120.7,145.07,132.67,109.07,112.25,112.49,92.01,96.87,84.85,79.82,51.83,41.65,38.57
5,Gross Profit,81.95,80.03,88.88,89.55,100.77,75.53,62.7,69.43,69.43,49.38,51.45,48.64,48.65,50.24,50.69,47.85,32.87,24.82,23.72
6,"Selling, General & Admin",17.23,18.54,15.68,19.66,24.52,15.22,13.65,18.55,17.08,10.78,12.21,14.81,12.87,11.57,11.45,13.34,9.93,9.29,7.42
7,Research & Development,7.73,8,6.86,10.67,7.26,6.49,5.42,9.5,6.93,6.58,4.74,7.41,4.45,4.55,3.94,3.82,3.17,3.15,2.33
8,Other Operating Expenses,2.49,0.73,1.47,-0.64,1.67,0.27,-0.18,4.64,1.74,-0.77,0.42,1.35,0.68,0.82,0.98,1.81,0.62,0.38,0.27
9,Operating Expenses,27.62,27,22.71,29.17,37.44,23.66,17.45,32.23,28.8,16.36,17.21,24.64,19.21,16.92,17.51,20.3,14.72,12.14,9.37
10,Operating Income,54.32,53.03,66.17,60.38,63.33,51.87,45.25,37.21,40.63,33.03,34.25,24,29.44,33.32,33.18,27.54,18.15,12.67,14.35
11,Interest Expense,-0.02,-0.02,-0.02,-0.02,-0.02,-0.03,-0.05,-0.04,-0.05,-0.03,-0.01,-0.01,-0.01,-,-,-,-,-,-
12,Interest & Investment Income,2.46,6.93,3.32,1.93,1.72,7.37,2.17,1.19,1.85,3.59,6.11,1.44,1.2,1,2.41,0.43,0.47,0.27,0.09
13,Currency Exchange Gain (Loss),-1.31,1.31,-,2.04,-3.92,3.92,-,3.26,-1.43,1.43,-,-1.48,0.65,-0.65,-,-1.61,-0.04,0.04,-
14,Other Non Operating Income (Expenses),-1.91,-0.29,0.16,-5.65,5.42,-0.75,-1.1,-8.97,5.32,2.75,-0.35,-3.54,-0.14,3.17,-0.1,-2.38,-0.34,0.65,1.72
15,EBT Excluding Unusual Items,53.54,60.96,69.62,58.68,66.53,62.38,46.27,32.64,46.32,40.76,40,20.41,31.14,36.84,35.49,23.98,18.25,13.63,16.15
16,Gain (Loss) on Sale of Investments,2.2,-1.85,2.09,1.45,1.67,-3.45,1.32,1.48,1.08,-0.64,-3.05,1.59,3.35,0.79,-1.97,0.05,0.08,0.38,0.56
17,Gain (Loss) on Sale of Assets,-0.38,-0,-0.01,-0.03,-0.02,-0.03,-0,-,0.1,0.01,-0.02,0.04,0.01,-0.03,-,-0.02,-0,0,-
18,Asset Writedown,-0.01,-0.09,0.09,-0.25,0.25,-0.19,0.19,0.03,-0.03,-0.01,0.01,0.7,-0.7,0,-0,0.47,-0.47,0.07,-0.07
