,Fiscal Quarter,Current,Q4 2024,Q1 2024,null null,Q1 2023,Q3 2021,Q2 2021,Q1 2021,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Mar '23 Mar 31, 2023","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7947913,6921149,11690522,11267973,2566278,-,-,-,-,-,-
1,PE Ratio,14.84,-,39.05,-,8.01,-,-,-,-,-,-
2,PS Ratio,6.37,-,14.58,-,4.09,-,-,-,-,-,-
3,PB Ratio,0.88,0.77,1.36,-,0.59,-,-,-,-,-,-
4,P/FCF Ratio,-,-,1.39,-,0.33,-,-,-,-,-,-
5,P/OCF Ratio,-,-,1.39,-,0.33,-,-,-,-,-,-
6,Debt / Equity Ratio,3.90,3.90,3.68,-,5.53,2.63,1.99,1.68,-,-,1.27
7,Debt / FCF Ratio,-,-,3.76,-,3.05,1563348.01,-,688068.37,-,-,1665882.89
8,Quick Ratio,2.27,3.30,1.34,-,-,0.78,0.93,0.71,-,-,-
9,Current Ratio,2.58,3.62,1.80,-,-,1.48,1.26,1.26,-,-,-
10,Asset Turnover,-,-,-,-,0.03,0.01,-,-,-,-,
11,Return on Equity (ROE),-,-,-,-,9.29%,3.20%,-,-,-,-,
12,Return on Assets (ROA),-,-,-,-,1.16%,0.42%,-,-,-,-,
13,Earnings Yield,6.74%,-,2.62%,-,12.58%,-,-,-,-,-,-
14,Earnings Yield,6.74%,-,2.62%,-,12.58%,-,-,-,-,-,-
15,FCF Yield,-63.00%,-,71.91%,-,306.53%,-,-,-,-,-,-
16,Payout Ratio,0.31%,-,0.30%,-,0.22%,0.00%,-,-,0.00%,-,0.00%
17,Buyback Yield / Dilution,-97.36%,-,-109.04%,-,-9.63%,-30.98%,-16.98%,-,-,-,-
18,Total Shareholder Return,-97.36%,-,-109.04%,-,-9.63%,-30.98%,-16.98%,-,-,-,-
