,Fiscal Quarter,Current,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Market Capitalization,29777,28506,35016,40599,80573,76864,107814,117536,147691,178387,59932,Upgrade
1,Market Cap Growth,-29.79%,-29.79%,-56.54%,-47.18%,-25.27%,-34.60%,-27.00%,-34.11%,146.43%,299.14%,93.43%,Upgrade
2,Enterprise Value,46595,44103,49370,51622,89333,82933,114357,119713,150492,188019,69278,Upgrade
3,Last Close Price,3.28,3.14,3.82,4.30,8.46,7.98,11.10,12.03,15.08,18.00,6.46,Upgrade
4,PE Ratio,29.10,-,7.36,9.70,24.36,20.12,28.70,23.87,23.72,39.11,20.88,Upgrade
5,Forward PE,13.28,6.03,6.13,7.86,14.23,13.84,19.21,20.80,26.41,31.58,19.05,Upgrade
6,PS Ratio,1.34,1.30,1.29,1.52,3.50,3.74,6.10,7.32,9.37,14.48,6.16,Upgrade
7,PB Ratio,1.01,0.83,0.93,1.07,2.31,2.18,3.01,3.27,4.37,5.57,3.13,Upgrade
8,P/TBV Ratio,0.98,0.98,1.10,1.27,2.78,2.59,3.58,3.88,5.21,6.73,4.02,Upgrade
9,P/FCF Ratio,-,-,-,-,-,-,-58.16,-,78.84,172.35,266.01,Upgrade
10,P/OCF Ratio,-,-,7.21,7.01,15.64,13.05,32.70,32.39,23.50,41.64,25.46,Upgrade
11,PEG Ratio,0.21,0.41,0.28,0.55,0.72,1.40,1.59,1.88,3.61,0.93,1.48,Upgrade
12,EV/Sales Ratio,2.13,2.01,1.82,1.94,3.89,4.04,6.47,7.45,9.54,15.27,7.13,Upgrade
13,EV/EBITDA Ratio,10.89,10.35,5.69,6.60,13.98,12.28,17.47,15.53,16.80,27.81,14.67,Upgrade
14,EV/EBIT Ratio,18.30,-,7.25,8.49,18.78,15.75,21.76,18.17,18.87,31.84,17.63,Upgrade
15,EV/FCF Ratio,-,-,-,-,-,-,-61.69,-,80.33,181.65,307.49,Upgrade
16,Debt / Equity Ratio,0.36,0.36,0.32,0.30,0.27,0.25,0.22,0.25,0.22,0.21,0.44,Upgrade
17,Debt / FCF Ratio,-,-,-,-,-,-,-4.23,-,3.91,6.58,37.01,Upgrade
18,Return on Capital Employed (ROCE),6.08%,-,15.18%,14.08%,12.26%,13.17%,13.30%,15.93%,20.70%,16.54%,16.30%,Upgrade
19,Earnings Yield,3.39%,3.54%,13.59%,10.31%,4.10%,4.97%,3.48%,4.19%,4.22%,2.56%,4.79%,Upgrade
20,FCF Yield,-,-9.62%,-9.39%,-3.33%,-0.52%,-1.72%,-0.83%,1.27%,0.58%,0.38%,Upgrade,
21,Dividend Yield,7.62%,-,6.55%,5.23%,2.07%,2.51%,1.80%,2.24%,2.25%,1.42%,2.63%,Upgrade
22,Buyback Yield / Dilution,-0.45%,-0.86%,-0.05%,0.16%,-0.01%,-0.21%,-0.87%,-5.98%,-9.08%,-4.03%,-2.48%,Upgrade
23,Total Shareholder Return,7.17%,-0.86%,6.50%,5.39%,2.06%,2.30%,0.93%,-3.73%,-6.82%,-2.61%,0.15%,Upgrade
