,Fiscal Quarter,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,+2 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020",+2 Quarters
0,Cash & Equivalents,821.61,2029,2822,3952,5326,7003,7458,10206,9291,2791,Upgrade
1,Short-Term Investments,202.02,126.14,165.22,239.64,310.13,469.09,432.23,397.24,219.46,139.93,Upgrade
2,Trading Asset Securities,58.24,44.09,55.78,66.64,-,-,-,-,-,-,Upgrade
3,Cash & Short-Term Investments,1082,2199,3043,4258,5636,7472,7890,10603,9511,2931,Upgrade
4,Cash Growth,-64.45%,-48.36%,-46.01%,-43.01%,-28.57%,-29.53%,-17.04%,261.77%,302.91%,-33.83%,Upgrade
5,Accounts Receivable,11914,12800,11998,11514,10479,10394,9522,8122,8196,6325,Upgrade
6,Other Receivables,1323,1297,1108,495.39,498.28,320.73,857.33,712.2,784.11,739.05,Upgrade
7,Receivables,13238,14097,13105,12009,10978,10714,10379,8834,8980,7064,Upgrade
8,Inventory,2856,3341,2098,2041,2029,1497,2045,1194,728.28,607.88,Upgrade
9,Restricted Cash,19.59,327.27,-,526.85,-,-,-,-,-,-,Upgrade
10,Other Current Assets,367.91,443.36,1575,445.17,465.38,391.33,509.86,750.66,659.39,382.27,Upgrade
11,Total Current Assets,17563,20408,19822,19281,19108,20075,20825,21382,19878,10985,Upgrade
12,"Property, Plant & Equipment",38343,40492,38922,31396,29605,27859,26762,24458,21814,18287,Upgrade
13,Long-Term Investments,244.46,349.81,342.42,345.54,356.39,446.09,456.61,443.92,434.79,407.02,Upgrade
14,Goodwill,-,-,12.88,-,13.04,-,13.19,-,12.56,12.22,Upgrade
15,Other Intangible Assets,29.35,29.37,18.5,32.36,8.44,22.99,10.89,24.53,12.22,-,Upgrade
16,Long-Term Accounts Receivable,167.97,195.89,211.09,218.86,219.82,240.01,247.05,254.95,211.52,180.89,Upgrade
17,Long-Term Deferred Tax Assets,168.68,161.81,157,151.41,140.31,75.19,23.19,227.8,251.12,35.28,Upgrade
18,Other Long-Term Assets,415.87,828.68,947.02,1618,1124,750.89,733.16,926.42,809.27,404.64,Upgrade
19,Total Assets,56932,62465,60433,53043,50575,49469,49070,47718,43423,30312,Upgrade
20,Accounts Payable,5331,4180,5935,3529,2988,1309,1284,1422,1050,869.07,Upgrade
21,Accrued Expenses,509,3835,584.7,2594,654.37,2433,626.69,2647,477.72,1576,Upgrade
22,Short-Term Debt,-,-,-,-,-,209.94,300,510,615,-,Upgrade
23,Current Portion of Long-Term Debt,6143,5685,6883,5821,4358,4264,3358,2568,2795,3417,Upgrade
24,Current Portion of Leases,71.72,79.79,85.26,76.18,50.05,50.45,46.81,47.92,48.52,54.32,Upgrade
25,Current Income Taxes Payable,65.04,244.76,211.32,206.6,220.61,203.69,185.92,374.15,540.46,134.92,Upgrade
26,Current Unearned Revenue,79.42,152.17,84.03,108.73,109.66,137.9,91.1,58.6,181.4,82,Upgrade
27,Other Current Liabilities,3145,3395,3439,1891,2229,1354,1824,1553,2017,75.59,Upgrade
28,Total Current Liabilities,15344,17572,17223,14226,10610,9961,7716,9181,7725,6209,Upgrade
29,Long-Term Debt,5497,5471,3620,2630,3674,2505,4350,3475,2703,4260,Upgrade
30,Long-Term Leases,831.63,893.69,924.89,966.55,830.34,820.5,793.78,731.04,646.46,605.87,Upgrade
31,Long-Term Unearned Revenue,130,-,142.62,-,-,-,210.37,417.97,209.7,-,Upgrade
32,Long-Term Deferred Tax Liabilities,150.35,175.38,192.79,201.6,174.96,128.84,30.5,13.65,11.94,10.97,Upgrade
33,Other Long-Term Liabilities,571.97,859.08,471.6,202.95,53.85,256.92,71.93,84.56,102.42,63.85,Upgrade
34,Total Liabilities,22525,24971,22575,18227,15344,13673,13173,13903,11399,11149,Upgrade
35,Common Stock,738.83,890.99,890.33,890.31,889.62,889.55,889.08,881.21,880.93,816.51,Upgrade
36,Additional Paid-In Capital,10148,6141,7442,7441,8299,8296,9166,8187,9674,2695,Upgrade
37,Retained Earnings,18165,22943,24089,19311,20584,17341,17654,15606,14240,10557,Upgrade
38,Comprehensive Income & Other,-,1853,-446.58,1386,-24.77,3578,2603,3694,1726,868.82,Upgrade
39,Total Common Equity,29052,31827,31975,29028,29748,30105,30312,28368,26522,14938,Upgrade
40,Minority Interest,5356,5666,5884,5788,5483,5692,5585,5447,5503,4225,Upgrade
41,Shareholders' Equity,34408,37494,37858,34816,35231,35797,35897,33815,32025,19163,Upgrade
42,Total Liabilities & Equity,56932,62465,60433,53043,50575,49469,49070,47718,43423,30312,Upgrade
43,Total Debt,12543,12129,11513,9493,8913,7850,8848,7333,6808,8337,Upgrade
