,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,217,297,388,581,775,814,620,982,814,788,1228,Upgrade
1,Market Cap Growth,-54.00%,-48.89%,-50.00%,-28.57%,25.00%,-17.11%,-23.81%,24.59%,-33.68%,-58.22%,-47.67%,Upgrade
2,Enterprise Value,28,98,279,442,566,649,388,868,975,898,1364,Upgrade
3,Last Close Price,0.84,1.15,1.50,2.25,3.00,3.15,2.40,3.80,3.15,3.05,4.75,Upgrade
4,PE Ratio,11.70,16.01,18.15,44.37,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,0.64,0.87,1.13,3.43,-,8.07,-,20.57,-,7.00,-,Upgrade
6,PB Ratio,0.76,0.49,0.62,0.95,1.28,1.31,0.96,1.40,1.16,1.20,1.74,Upgrade
7,P/TBV Ratio,0.51,0.51,0.65,1.00,1.32,1.37,1.00,1.58,1.31,1.44,2.10,Upgrade
8,P/FCF Ratio,14.01,19.19,-,-,-,30.26,-,-,-,38.17,-,Upgrade
9,P/OCF Ratio,12.25,12.25,-,-,-,30.26,-,-,-,38.17,-,Upgrade
10,EV/Sales Ratio,0.08,0.29,0.81,2.61,-,6.43,-,18.18,-,7.97,-,Upgrade
11,EV/EBITDA Ratio,0.38,1.35,4.43,16.23,-,53.63,-,-,-,-,-,Upgrade
12,EV/EBIT Ratio,0.59,2.01,7.63,28.76,-,68.38,-,-,-,-,-,Upgrade
13,EV/FCF Ratio,1.79,6.36,-,-,-,24.13,-,-,-,43.46,-,Upgrade
14,Debt / Equity Ratio,0.07,0.07,0.08,0.09,0.09,0.10,0.11,0.03,0.00,0.19,0.19,Upgrade
15,Debt / FCF Ratio,2.80,2.80,-,-,-,2.29,-,-,-,5.95,-,Upgrade
16,Return on Capital Employed (ROCE),7.52%,7.52%,5.41%,2.31%,-,1.38%,-,-,-,-,-,Upgrade
17,Earnings Yield,8.55%,13.24%,8.64%,3.12%,-,0.39%,-,-0.26%,-,-3.12%,-,Upgrade
18,FCF Yield,7.14%,5.21%,-11.75%,-0.01%,-,3.30%,-,-1.20%,-,2.62%,-,Upgrade
19,Buyback Yield / Dilution,-,-,-,-,-,-,-,-,-0.86%,-,Upgrade,
20,Total Shareholder Return,-,-,-,-,-,-,-,-,-0.86%,-,Upgrade,
