,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,9489,12658,11735,18309,22628,26620,25844,22719,28531,23738,27392,22252,28321,40450,43175,-,-,-,-,-
1,Market Cap Growth,-52.45%,-52.45%,-54.59%,-19.41%,-20.69%,12.14%,-5.65%,2.10%,0.74%,-41.31%,-36.56%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,9274,12408,11408,17888,22168,26100,25050,21852,27591,22708,26361,21097,27236,39013,43071,-,-,-,-,-
3,Last Close Price,22.94,30.60,28.37,44.17,54.58,64.21,62.34,54.67,68.66,57.12,65.80,53.45,68.03,97.17,103.72,-,-,-,-,-
4,PE Ratio,22.94,30.55,22.26,33.71,45.16,88.49,117.82,124.42,-,106.77,153.23,108.31,116.28,130.93,114.59,-,-,-,-,-
5,Forward PE,12.59,18.43,15.35,25.08,32.89,42.93,44.89,43.16,55.21,49.28,54.31,44.55,44.22,58.67,-,-,-,-,-,-
6,PS Ratio,5.91,7.87,6.23,9.56,12.40,18.37,21.71,20.41,26.63,21.15,25.83,20.37,23.56,31.03,30.33,-,-,-,-,-
7,PB Ratio,2.26,3.01,2.85,4.49,5.63,6.92,7.13,6.33,8.02,-,-,6.48,8.29,11.86,13.03,-,-,-,-,-
8,P/TBV Ratio,3.27,3.27,3.11,4.89,6.16,7.62,7.94,7.06,8.50,-,-,6.92,8.87,12.70,14.03,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-90.89,-,-57.50,-,-,-,-,-,-,-
10,P/OCF Ratio,34.72,34.72,44.24,-,88.66,104.83,183.78,-,716.54,-,272.29,-,201.86,-,187.81,-,-,-,-,-
11,EV/Sales Ratio,5.77,7.72,6.06,9.34,12.15,18.01,21.05,19.63,25.75,20.23,24.85,19.31,22.66,29.93,30.26,-,-,-,-,-
12,EV/EBITDA Ratio,16.62,22.32,16.55,26.39,35.39,66.35,92.29,91.79,-,82.07,114.04,84.80,87.91,97.02,88.70,-,-,-,-,-
13,EV/EBIT Ratio,20.60,27.42,19.29,30.29,40.72,82.44,128.25,135.66,-,112.99,169.32,116.62,-,115.82,102.13,-,-,-,-,-
14,EV/FCF Ratio,-52.77,-,-,-,-,-,-,-,-,-,-87.47,-,-55.29,-,-,-,-,-,-,-
