,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,407.61,348.11,270.29,581.36,683.55,380.21,179.43,205.69,424.8,303.12,137.8,256.06,363.44,334.79,247.25,356.95,483.64,400.55,198.86
1,Other Revenue,-,-,-,0.14,-,-,-,0.05,-,-,-,0.75,-0.53,0.27,-,1.36,-0.68,0.34,0.34
2,Revenue,407.61,348.11,270.29,581.5,683.55,380.21,179.43,205.73,424.8,303.12,137.8,256.81,362.91,335.06,247.25,358.32,482.95,400.89,199.2
3,Revenue Growth (YoY),-40.37%,-8.44%,50.64%,182.65%,60.91%,25.44%,30.21%,-19.89%,17.05%,-9.53%,-44.27%,-28.33%,-24.86%,-16.42%,24.12%,-,-,-,-
4,Cost of Revenue,73.18,47.85,27.79,71.44,69.09,44.48,25.34,76.38,52.51,38.13,14.9,108.95,37.05,49.17,28.94,54.1,52.88,44.67,24.63
5,Gross Profit,334.43,300.26,242.5,510.05,614.46,335.73,154.1,129.35,372.29,264.98,122.9,147.86,325.86,285.89,218.31,304.22,430.08,356.22,174.57
6,"Selling, General & Admin",166.97,159.07,135.19,242.63,281.68,173.47,103.15,120.53,202.09,146.31,83.8,120.96,171.19,140.6,124.9,196.02,218.44,178.55,96.47
7,Research & Development,30.97,38.59,46.94,61.39,50.08,53.2,33.4,34.24,23.39,48.29,27.6,37.52,45.47,56.89,16.88,21.79,27.47,25.54,18.56
8,Other Operating Expenses,3.09,2.6,2.24,4.06,3,1.97,1.59,6.24,1.68,0.01,1.77,2.34,2.77,3.07,2.4,8.51,-1.42,1.9,1.68
