,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,277.89,356.87,392.48,442.18,459.41,572.47,793.55,866.54,-,-,1031,1156,1085,1505,103.94,309.63,-,-,-
1,Cash & Short-Term Investments,277.89,356.87,392.48,442.18,459.41,572.47,793.55,866.54,-,-,1031,1156,1085,1505,103.94,309.63,-,-,272.98
2,Cash Growth,-39.51%,-37.66%,-50.54%,-48.97%,-,-,-23.01%,-25.01%,-,-,891.66%,273.22%,-,-,-61.92%,-,-,-,-
3,Accounts Receivable,1671,1536,1589,1567,1365,922.53,876.94,968.41,-,-,757.77,763.94,850.18,716.66,773.68,733.18,-,-,-
4,Other Receivables,1.76,-,-,-,3.34,0.65,-,-,-,-,-,-,1.84,-,-,-,-,-,-
5,Receivables,1673,1536,1589,1567,1368,923.18,876.94,968.41,-,-,757.77,763.94,852.01,716.66,773.68,733.18,-,-,-
6,Inventory,197.27,272.22,232.97,199.02,201.15,241.32,224.61,192.11,-,-,278.06,241.34,285.83,248.4,196.69,146.19,-,-,-
7,Prepaid Expenses,-,0.81,-,0.92,-,0.8,-,0.1,-,-,-,-,-,5.36,-,-,-,-,-
8,Other Current Assets,26.82,25.57,49.46,35.26,48.56,47.01,47.12,30.81,-,-,40.16,29.15,33.18,31.38,37.9,32.25,-,-,-
9,Total Current Assets,2175,2191,2264,2245,2078,1785,1942,2058,-,-,2107,2190,2256,2506,1112,1221,-,-,-
10,"Property, Plant & Equipment",2347,2195,2116,2085,2025,1927,1668,1642,-,-,1480,1439,1332,1080,840.06,783.08,-,-,-
11,Long-Term Investments,184.55,193.03,199,207.57,217.4,219.62,71.8,61.28,-,-,65.72,69.12,77.51,9.35,9.61,10.23,-,-,-
12,Other Intangible Assets,332.58,339.13,337.1,347.45,356.42,372.19,370.3,204.02,-,-,217.34,223.72,226.01,235.98,242.3,248.57,-,-,-
13,Long-Term Deferred Tax Assets,124.86,106.42,90.65,90.97,56.06,48.53,54.05,54.2,-,-,31.96,31.93,15.42,9.51,25.9,20.96,-,-,-
14,Long-Term Deferred Charges,22.91,25.19,26.97,29.26,44.25,43.06,41.3,211.09,-,-,163.63,159.25,153.52,139.71,122.42,121.57,-,-,-
15,Other Long-Term Assets,127.54,84.37,56.86,41.06,15.84,31.58,67.99,53.06,-,-,62.55,61.95,58.26,66.36,80.77,61.85,-,-,-
16,Total Assets,5314,5135,5091,5046,4793,4427,4216,4284,-,-,4128,4175,4119,4048,2433,2468,-,-,-
17,Accounts Payable,13.75,21.3,23.5,17.49,21.54,32.4,32.5,24.8,-,-,41.2,63.91,54.07,77.5,56.82,34,-,-,-
18,Accrued Expenses,49.37,565.16,32.1,553.18,98.69,354.15,29.26,340.9,-,-,30.56,422.69,43.85,494.38,409.4,486.26,-,-,-
19,Short-Term Debt,25.81,64.36,65.4,20.47,-,52.28,-,-,-,-,-,-,-,67.5,-,-,-,-,-
20,Current Income Taxes Payable,56.94,17.47,41.35,48.89,-,-,2.86,5.07,-,-,3.12,-,6.78,-,14.24,18.24,-,-,-
21,Current Unearned Revenue,2.31,1.51,1.31,0.28,5,1.82,1.97,8.65,-,-,9.8,10.21,9.14,8.62,6.56,6.25,-,-,-
22,Other Current Liabilities,918.6,294.44,836.98,374.56,812.3,353.12,555.93,337.27,-,-,601.16,251.89,587.06,77.5,102.86,134.94,-,-,-
23,Total Current Liabilities,1067,964.24,1001,1015,937.53,793.76,622.53,716.68,-,-,685.84,748.71,700.9,725.5,589.88,679.69,-,-,-
24,Long-Term Debt,36.77,42.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Long-Term Unearned Revenue,9.06,9.32,9.59,9.86,4.66,4.95,5.24,5.92,-,-,8.44,8.09,7.35,7.87,8.52,7.88,-,-,-
26,Long-Term Deferred Tax Liabilities,0.91,0.93,0.96,0.98,1.01,1.03,1.08,1.11,-,-,-,-,-,-,-,-,-,-,-
27,Other Long-Term Liabilities,0.36,0.15,0.17,0.17,0.57,0.57,0.31,0.31,-,-,0.25,0.25,-,-,-,-,-,-,-
28,Total Liabilities,1114,1017,1011,1026,943.76,800.31,629.15,724.02,-,-,694.53,757.05,708.26,733.37,598.39,687.57,-,-,-
29,Common Stock,413.66,413.66,412.84,412.84,412.84,412.84,412.84,412.84,-,-,412.84,412.84,412.84,412.84,371.56,371.56,-,-,-
30,Additional Paid-In Capital,1838,1855,1826,1820,1809,1799,1788,1778,-,-,1771,1771,1771,1771,416.29,416.29,-,-,-
31,Retained Earnings,2001,1895,1880,1819,1649,1429,1398,1380,-,-,1257,1240,1229,1135,1078,1023,-,-,-
32,Comprehensive Income & Other,-52.63,-44.97,-39.45,-31.86,-22.39,-14.44,-12.3,-10.96,-,-,-7.03,-5.75,-2.11,-3.99,-31.39,-30.89,-,-,-
33,Shareholders' Equity,4200,4118,4079,4020,3849,3626,3587,3560,-,-,3434,3418,3411,3314,1835,1780,-,-,1013
34,Total Liabilities & Equity,5314,5135,5091,5046,4793,4427,4216,4284,-,-,4128,4175,4119,4048,2433,2468,-,-,-
35,Total Debt,62.58,106.45,65.4,20.47,-,52.28,-,-,-,-,-,-,-,67.5,-,-,-,-,165
36,Net Cash (Debt),215.31,250.42,327.07,421.71,459.41,520.2,793.55,866.54,-,-,1031,1156,1085,1437,103.94,309.63,-,-,107.98
37,Net Cash Growth,-53.13%,-51.86%,-58.78%,-51.33%,-,-,-23.01%,-25.01%,-,-,891.66%,273.22%,-,-,-3.74%,-,-,-,-
38,Net Cash Per Share,0.53,0.58,0.81,1.02,1.10,1.42,1.73,2.14,-,-,2.38,2.85,2.60,3.80,0.28,0.83,-,-,0.30
39,Filing Date Shares Outstanding,413.66,413.66,412.84,412.84,412.84,412.84,412.84,412.84,428.54,384.56,412.84,412.84,412.84,412.84,371.56,371.56,373.26,363.07,356.23
40,Total Common Shares Outstanding,413.66,413.66,412.84,412.84,412.84,412.84,412.84,412.84,428.54,384.56,412.84,412.84,412.84,412.84,371.56,371.56,373.26,363.07,356.23
41,Working Capital,1108,1227,1263,1230,1140,991.03,1320,1341,-,-,1421,1441,1555,1781,522.34,541.56,-,-,-
