,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Operating Revenue,615.13,826.11,2019,761.4,878.58,1926,1582,1929,1581,1909,Upgrade
1,Other Revenue,0.39,0.02,0.14,1.07,0.13,1.49,2.99,2.42,2.75,5.1,Upgrade
2,Revenue,615.51,826.13,2019,762.47,878.71,1928,1585,1931,1584,1914,Upgrade
3,Revenue Growth (YoY),-69.51%,8.35%,129.73%,-60.44%,-44.56%,-0.20%,0.05%,0.91%,-11.29%,-2.34%,Upgrade
4,Cost of Revenue,571.34,821.35,1931,1171,815.04,1939,1499,2038,1448,1753,Upgrade
5,Gross Profit,44.17,4.78,87.59,-408.39,63.66,-11.93,86.03,-106.74,136.14,160.58,Upgrade
6,"Selling, General & Admin",108.82,125.39,123.36,153.46,154.14,221.04,186.53,255.1,233.18,266.04,Upgrade
7,Operating Expenses,108.82,125.39,123.36,205.65,154.14,209.82,186.53,269,233.18,293.08,Upgrade
8,Operating Income,-64.65,-120.61,-35.77,-614.03,-90.47,-221.75,-100.5,-375.73,-97.03,-132.51,Upgrade
9,Interest Expense,-248.25,-446.44,-433.41,-529.59,-775.95,-510.57,-565.57,-507.61,-369.08,-299.26,Upgrade
10,Interest & Investment Income,-,0.6,-,0.68,-,2.11,-,8.89,-,5.65,Upgrade
11,Earnings From Equity Investments,-0.1,0.18,0.25,0.16,0.23,0.21,0.3,0.37,0.15,0.56,Upgrade
12,Currency Exchange Gain (Loss),0.01,-1.27,1.19,35.3,-9.3,-3.42,3.43,-0.63,-1.09,-1.78,Upgrade
13,Other Non Operating Income (Expenses),4.68,-672.9,3.49,-24.53,2.36,4.2,-9.4,-82.23,10.44,-4.68,Upgrade
14,EBT Excluding Unusual Items,-308.31,-1240,-464.26,-1132,-873.13,-729.21,-671.75,-956.95,-456.62,-432.02,Upgrade
15,Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.43,Upgrade
16,Impairment of Goodwill,-,-,-,-,-,-,-,-,-8.09,-,Upgrade
17,Gain (Loss) on Sale of Investments,-0.06,0.01,-0.24,-0.64,-1.49,-5.92,0.69,0.67,1.41,-0.27,Upgrade
18,Gain (Loss) on Sale of Assets,-,-0.12,-13.52,605.48,1.36,0.88,30.48,1.05,21.65,-1.65,Upgrade
19,Asset Writedown,-100.04,-150.27,-829.99,-1145,-260.21,-472.84,41.98,-161.34,-129,69.64,Upgrade
20,Other Unusual Items,-,0.02,-,0,-,-23.61,0.03,30.79,4.95,4.09,Upgrade
21,Pretax Income,-408.4,-1391,-1308,-1672,-1133,-1231,-598.57,-1086,-565.71,-360.63,Upgrade
22,Income Tax Expense,0.42,0.11,-27.74,18.97,4.2,-77.48,32.4,10.54,-32.17,28.29,Upgrade
23,Earnings From Continuing Operations,-408.83,-1391,-1280,-1691,-1138,-1153,-630.97,-1096,-533.54,-388.93,Upgrade
24,Net Income to Company,-408.83,-1391,-1280,-1691,-1138,-1153,-630.97,-1096,-533.54,-388.93,Upgrade
25,Minority Interest in Earnings,0.8,0.38,-8.57,2.19,3.87,6.39,-0.21,67.63,-11.61,-12.18,Upgrade
26,Net Income,-408.02,-1391,-1289,-1689,-1134,-1147,-631.18,-1029,-545.15,-401.11,Upgrade
27,Net Income to Common,-408.02,-1391,-1289,-1689,-1134,-1147,-631.18,-1029,-545.15,-401.11,Upgrade
28,Shares Outstanding (Basic),62,62,62,62,62,62,62,62,62,61,Upgrade
29,Shares Outstanding (Diluted),62,62,62,62,62,62,62,62,62,61,Upgrade
30,Shares Change (YoY),-,-,-,-,-,-,-,0.70%,1.44%,0.73%,Upgrade
31,EPS (Basic),-6.63,-22.59,-20.94,-27.44,-18.42,-18.63,-10.26,-16.71,-8.86,-6.56,Upgrade
32,EPS (Diluted),-6.63,-22.60,-20.94,-27.44,-18.42,-18.63,-10.26,-16.71,-8.86,-6.56,Upgrade
33,Free Cash Flow,107.46,1654,-967.49,-113.44,60.2,105.27,-90.65,-934.94,309.8,-408.86,Upgrade
34,Free Cash Flow Per Share,1.75,26.88,-15.72,-1.84,0.98,1.71,-1.47,-15.19,5.03,-6.69,Upgrade
35,Operating Margin,-10.50%,-14.60%,-1.77%,-80.53%,-10.30%,-11.50%,-6.34%,-19.45%,-6.13%,-6.92%,Upgrade
36,Profit Margin,-66.29%,-168.32%,-63.85%,-221.46%,-129.03%,-59.50%,-39.83%,-53.26%,-34.42%,-20.96%,Upgrade
37,Free Cash Flow Margin,17.46%,200.22%,-47.93%,-14.88%,6.85%,5.46%,-5.72%,-48.41%,19.56%,-21.36%,Upgrade
38,EBITDA,-29.73,-83.43,2.65,-567.35,-49.04,-174.68,-50.29,-320.77,-49.26,-88.31,Upgrade
39,D&A For EBITDA,34.93,37.18,38.43,46.69,41.43,47.07,50.21,54.96,47.77,44.19,Upgrade
40,EBIT,-64.65,-120.61,-35.77,-614.03,-90.47,-221.75,-100.5,-375.73,-97.03,-132.51,Upgrade
41,Revenue as Reported,615.51,826.13,2019,762.47,878.71,1928,1585,1931,1584,1914,Upgrade
