,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,159.13,180.33,392.07,79.01,146.48,152.85,414,418.62,330.79,294.79,293.87,472.7,120.94,116.23,-,224.24,233.8
1,Trading Asset Securities,-,60,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Cash & Short-Term Investments,159.13,240.33,392.07,79.01,146.48,152.85,414,418.62,330.79,294.79,293.87,472.7,120.94,116.23,224.24,224.24,233.8
3,Cash Growth,8.64%,57.24%,-5.30%,-81.13%,-55.72%,-48.15%,40.88%,-11.44%,173.51%,153.63%,31.05%,110.80%,-48.27%,-,-,-,-
4,Accounts Receivable,438.34,311.39,323.52,297.11,256.43,293.04,292.21,403.38,672.14,668.35,703.86,728.72,585.33,358.68,-,254.65,173.4
5,Other Receivables,5.54,2.87,3.22,4.02,4.09,4.8,3.27,4.54,2.83,2.63,3.75,6.67,5.47,2.71,-,2.18,0.08
6,Receivables,443.89,314.26,326.74,301.13,260.52,297.83,295.48,407.91,674.96,670.97,707.61,735.38,590.81,361.39,-,256.83,173.48
7,Inventory,162.14,194.99,150.61,105.49,72.44,88.55,130.99,104.24,102.31,135.14,115.34,130.87,79.27,78.53,-,49.99,46.99
8,Other Current Assets,72.62,129.34,88.59,58.92,73.38,53.3,29.53,8.6,11.1,9.03,30.78,6.55,14.87,4.16,-,4.82,3.98
9,Total Current Assets,837.78,878.92,958.01,544.55,552.82,592.53,870,939.38,1119,1110,1148,1346,805.89,560.31,-,535.88,458.25
10,"Property, Plant & Equipment",2338,2353,2406,2375,2269,2123,1879,1543,1146,981.52,888.57,674.72,612.18,623.21,-,572.57,406.74
11,Other Intangible Assets,73.8,74.11,27.4,27.71,28.09,28.49,26.26,26.48,25.39,25.64,25.92,26.1,26.18,20.11,-,20.06,21.61
12,Long-Term Deferred Tax Assets,9.59,9.28,9,8.25,7.79,10.22,9.53,11.13,11.49,12.83,8.15,7.47,1.25,3.54,-,1.25,1.78
13,Long-Term Deferred Charges,31.26,35.18,13.65,15.64,19.27,19.75,20.63,23.51,23.35,25.87,27.1,29.74,26.31,4.65,-,7.38,10.27
14,Other Long-Term Assets,-,-,-,-,-,-,-,2.04,1.43,1.44,1.45,2.04,1.48,25.53,-,3.01,3.33
15,Total Assets,3291,3351,3414,2971,2877,2774,2805,2546,2327,2157,2099,2086,1473,1237,-,1140,901.99
16,Accounts Payable,474.63,263.27,617.82,283.47,910.17,974.6,873.75,185.17,439.4,204.95,245.74,162.05,245.11,103.1,-,62.25,64.14
17,Accrued Expenses,41.43,86.06,31.85,68.96,36.13,43.17,35.26,82.09,48.71,99.85,32.26,95.42,31.69,55.13,-,63.32,31.22
18,Short-Term Debt,-,1,1,100.05,-,-,-,-,-,-,50.06,50.06,50.06,50.05,-,107.1,60.19
19,Current Income Taxes Payable,7.18,-,7,20.57,23.31,9.08,9.8,6.79,80.63,48.68,0.79,36.38,75.22,25.43,-,15.14,2.01
20,Current Unearned Revenue,59.25,39.04,15.46,15.4,25.67,20.85,23.19,18.45,31.65,28.67,22.11,29.73,38.86,17.41,-,14.83,7.88
21,Other Current Liabilities,17.49,276.35,14.51,454.49,20.09,25.67,24.22,481.43,22.37,146.9,11.28,78.23,13.53,62.4,-,58.97,34.1
22,Total Current Liabilities,599.98,665.73,687.63,942.95,1015,1073,966.21,773.92,622.76,529.05,362.23,451.87,454.47,313.52,-,321.6,199.53
23,Long-Term Debt,701.8,750.04,744.33,188,127,25,5,5,5.01,-,-,-,-,-,-,-,-
24,Long-Term Unearned Revenue,15.37,14.88,14.11,14.61,9.01,15.56,16.04,9.55,9.86,9.99,10.3,10.6,11.09,7.74,-,2.28,1.79
25,Long-Term Deferred Tax Liabilities,68.4,56.08,42.56,42.56,36.3,36.3,36.3,36.3,30.69,30.69,30.69,31.31,12.5,12.13,-,12.5,3.82
26,Other Long-Term Liabilities,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,-,1.25,1.25
