,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4022,3861,3252,3996,4691,4718,5187,6213,5748,5565,6509,7305,10070,-,-,-,-,-
1,Market Cap Growth,-18.16%,-18.16%,-37.30%,-35.69%,-18.38%,-15.23%,-20.31%,-14.94%,-42.92%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4569,4378,3612,3982,4678,4596,4784,5893,5428,5276,6271,7239,10004,-,-,-,-,-
3,Last Close Price,9.25,8.88,7.48,8.90,10.45,10.51,11.56,13.41,12.40,12.01,14.04,15.18,20.93,-,-,-,-,-
4,PE Ratio,16.86,15.85,12.14,16.98,18.85,21.76,23.48,18.59,15.15,9.96,11.26,13.42,20.27,-,-,-,-,-
5,Forward PE,-,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.60,11.51,13.73,-,-,-,-,-,-,-
6,PS Ratio,1.59,1.49,1.44,1.98,2.22,2.23,2.37,2.55,2.24,1.98,2.43,3.05,4.76,-,-,-,-,-
7,PB Ratio,2.12,2.03,1.75,2.08,2.63,2.79,3.20,3.49,3.34,3.36,4.10,4.31,6.33,-,-,-,-,-
8,P/TBV Ratio,2.12,2.12,1.82,2.11,2.68,2.85,3.27,3.55,3.41,3.42,4.19,4.39,6.46,-,-,-,-,-
9,P/FCF Ratio,-,-,-,-,-,-,-,-,26.28,38.36,92.79,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-33.35,-22.72,-,-,-,-,9.46,10.91,11.28,18.65,-,77.72,-,-,-,-,-
11,EV/Sales Ratio,1.76,1.69,1.60,1.98,2.21,2.18,2.18,2.42,2.12,1.88,2.34,3.02,4.73,-,-,-,-,-
12,EV/EBITDA Ratio,12.19,11.70,9.15,11.46,12.92,15.12,14.69,12.12,9.96,6.97,8.18,10.28,15.87,-,-,-,-,-
13,EV/EBIT Ratio,14.79,14.17,10.94,14.01,15.60,18.94,17.94,13.74,11.08,7.49,8.76,11.03,17.10,-,-,-,-,-
14,EV/FCF Ratio,-9.61,-,-,-,-,-,-,-,24.82,36.36,89.40,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.37,0.37,0.40,0.39,0.16,0.08,0.02,0.00,0.00,0.00,-,0.03,0.03,0.05,0.06,0.13,0.13,0.09
16,Debt / EBITDA Ratio,1.87,2.08,2.01,2.44,0.60,0.30,0.14,0.01,0.02,0.01,-,0.08,0.05,0.09,0.09,0.35,0.34,0.70
17,Debt / FCF Ratio,-,-,-,-,-,-,-,-,0.02,0.03,-,-,-,-1.41,-1.62,-,-,6.17
18,Asset Turnover,1.05,0.89,0.49,0.79,0.77,0.72,0.74,0.94,1.11,1.41,1.18,1.85,1.46,-,-,-,-,
19,Inventory Turnover,18.59,17.44,15.07,9.75,19.73,21.89,16.36,13.57,19.09,16.50,17.24,14.59,20.17,17.60,-,-,-,-
20,Quick Ratio,1.01,1.01,0.83,1.05,0.40,0.40,0.42,0.73,1.07,1.61,1.83,2.76,2.67,1.57,1.52,-,1.50,2.04
21,Current Ratio,1.40,1.40,1.32,1.39,0.58,0.54,0.55,0.90,1.21,1.80,2.10,3.17,2.98,1.77,1.79,-,1.67,2.30
22,Return on Equity (ROE),9.02%,13.00%,9.76%,21.81%,16.12%,6.87%,13.49%,14.75%,17.49%,34.72%,25.34%,74.79%,38.14%,51.09%,28.25%,-,-,
23,Return on Assets (ROA),5.17%,5.57%,4.73%,8.92%,7.96%,2.64%,7.11%,4.84%,12.71%,22.53%,16.38%,36.72%,23.17%,-,-,-,-,
24,Return on Capital (ROIC),6.58%,7.14%,6.38%,13.43%,12.99%,4.29%,10.83%,6.97%,17.54%,28.79%,20.24%,48.68%,31.46%,35.55%,18.02%,-,-,
25,Return on Capital Employed (ROCE),11.48%,11.48%,12.30%,10.43%,14.79%,13.03%,15.68%,23.32%,27.66%,41.32%,43.96%,37.80%,35.81%,38.30%,30.00%,-,9.67%,1.78%
26,Earnings Yield,6.06%,6.31%,8.23%,5.89%,5.30%,4.60%,4.26%,5.38%,6.60%,10.04%,8.88%,7.45%,4.93%,-,-,-,-,-
27,FCF Yield,-11.82%,-12.31%,-18.29%,-16.36%,-9.63%,-3.80%,0.83%,6.17%,3.80%,2.61%,1.08%,-1.89%,-0.06%,-,-,-,-,-
28,Dividend Yield,3.04%,-,-,-,2.70%,-,-,-,3.48%,-,-,-,2.75%,-,-,-,-,-
29,Payout Ratio,54.35%,8.50%,202.01%,5.19%,1.91%,1.23%,642.47%,0.09%,-,0.02%,176.46%,-,-,7.50%,55.62%,1.10%,1.17%,1.39%
30,Buyback Yield / Dilution,-2.68%,-13.03%,5.79%,-0.16%,-3.87%,6.79%,0.87%,-4.21%,-11.52%,-16.51%,-21.11%,-14.83%,-4.39%,-8.74%,-,-,-,-
31,Total Shareholder Return,0.36%,-13.03%,5.79%,-0.16%,-1.17%,6.79%,0.87%,-4.21%,-8.04%,-16.51%,-21.11%,-14.83%,-1.64%,-8.74%,-,-,-,-
