,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 13, 2025","Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Market Capitalization,32,37,115,75,63,76,184,640,220,200,220
1,Market Cap Growth,-49.92%,-49.92%,81.82%,-1.27%,-65.63%,-88.15%,-16.22%,220.00%,0%,-16.67%,-24.66%
2,Enterprise Value,-18,76,75,108,50,31,126,621,187,192,220
3,Last Close Price,0.19,0.22,0.80,0.52,1.32,1.58,3.84,16.00,5.50,5.00,5.50
4,PE Ratio,9.92,13.10,39.34,19.75,8.98,-10.66,-,-144.86,-,-20.43,-
5,PS Ratio,0.06,0.09,0.29,0.19,0.23,0.32,0.80,3.46,1.11,1.05,1.44
6,PB Ratio,0.11,0.13,0.42,0.27,0.44,0.53,1.34,5.32,1.92,1.60,2.00
7,P/TBV Ratio,0.14,0.14,0.45,0.30,0.52,0.53,1.35,5.33,1.94,1.60,2.00
8,P/FCF Ratio,-,-,-0.87,-,-,-,-,14.37,8.27,8.35,-234.04
9,P/OCF Ratio,-,-,-0.87,-,-,-,-,14.15,8.11,8.27,-405.16
10,EV/Sales Ratio,0.17,0.17,0.19,0.28,0.18,0.13,0.54,3.35,0.95,1.01,1.44
11,EV/EBITDA Ratio,8.77,8.77,13.70,13.68,5.22,-3.27,-,4195.43,-,-15.78,-
12,EV/EBIT Ratio,9.21,9.21,15.63,17.07,5.97,-3.17,-,-376.32,-,-15.36,-
13,EV/FCF Ratio,0.88,-,-0.57,-,-,-,-,13.95,7.02,8.02,-233.99
14,Debt / Equity Ratio,0.18,0.18,0.21,0.21,0.42,0.23,0.13,0.25,0.28,0.19,0.47
15,Debt / FCF Ratio,-,-,-0.43,-,-,-,-,0.68,1.22,0.97,-54.69
16,Return on Capital Employed (ROCE),2.74%,2.74%,1.74%,2.30%,5.79%,-6.70%,-,-1.37%,-,-10.01%,-
17,Earnings Yield,8.81%,7.64%,2.54%,5.06%,11.13%,-9.38%,-3.79%,-0.69%,2.22%,-4.90%,-9.39%
18,FCF Yield,-62.73%,-54.35%,-114.38%,-213.99%,-112.39%,-108.96%,-1.66%,6.96%,12.09%,11.97%,-0.43%
19,Buyback Yield / Dilution,-95.28%,-42.39%,-287.98%,-117.55%,17.55%,-39.46%,-0.99%,-,-,-,-
20,Total Shareholder Return,-95.28%,-42.39%,-287.98%,-117.55%,17.55%,-39.46%,-0.99%,-,-,-,-
