,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Oct '24 Oct 31, 2024","Apr '24 Apr 30, 2024","Oct '23 Oct 31, 2023","Apr '23 Apr 30, 2023","Oct '22 Oct 31, 2022","Apr '22 Apr 30, 2022","Oct '21 Oct 31, 2021","Apr '21 Apr 30, 2021","Oct '20 Oct 31, 2020","Apr '20 Apr 30, 2020"
0,Revenue,271.48,168.19,226.35,166.55,111.14,122.35,108.91,76.3,121.3,68.99
1,Revenue Growth (YoY),19.94%,0.98%,103.67%,36.13%,2.04%,60.36%,-10.21%,10.60%,44.64%,-35.63%
2,Cost of Revenue,254.55,152.04,213.49,149.75,97.48,114.52,92.52,68.77,101.37,73.62
3,Gross Profit,16.92,16.14,12.86,16.79,13.65,7.83,16.4,7.52,19.93,-4.63
4,"Selling, General & Admin",11.56,10.55,11.67,10.19,9.91,18.17,9.32,9.08,6.16,8.81
5,Operating Expenses,12.55,12.28,11.95,11.36,10.66,20.55,9.32,16.25,6.16,21.64
6,Operating Income,4.37,3.86,0.91,5.43,2.99,-12.72,7.07,-8.72,13.78,-26.27
7,Interest Expense,-2.04,-1.97,-2.05,-1.32,-0.35,-0.16,-0.36,-0.33,-0.83,-0.87
8,Interest & Investment Income,-,0.38,-,0.27,-,0.01,-,0.36,-,0.29
9,Currency Exchange Gain (Loss),-,0.09,-,-0.21,-,-,-,0.58,-,-
10,Other Non Operating Income (Expenses),0.45,-0.26,3.42,0.25,0.09,-0.14,0.14,-0.89,0.96,0.14
11,EBT Excluding Unusual Items,2.78,2.1,2.29,4.44,2.73,-13.01,6.85,-9.01,13.9,-26.71
12,Merger & Restructuring Charges,-,-,-,-,-,-0.3,-,-,-,-
13,Impairment of Goodwill,-,-0.78,-,-,-,-,-,-,-,-
14,Gain (Loss) on Sale of Investments,-,-,-,-,1.2,-0.38,-,-,0.93,-1.7
15,Gain (Loss) on Sale of Assets,-,0.25,-,0.05,-,0.14,-,0.01,-,-
16,Asset Writedown,-,-,-,-,-,-0.24,-,-2.64,-,-
17,Other Unusual Items,-,-,-,-,2.12,-,-,-0.02,2.84,-
18,Pretax Income,2.78,1.56,2.29,4.49,6.05,-13.79,6.85,-11.67,17.67,-28.41
19,Income Tax Expense,0.76,1.14,0.5,2.52,0.59,-1.22,1.27,-1.67,2.79,-3.74
20,Earnings From Continuing Operations,2.02,0.42,1.79,1.97,5.46,-12.57,5.58,-10,14.89,-24.68
21,Minority Interest in Earnings,0.11,0.31,0.41,-0.37,-,-,-,-,-,-
22,Net Income,2.13,0.73,2.2,1.6,5.46,-12.57,5.58,-10,14.89,-24.68
23,Net Income to Common,2.13,0.73,2.2,1.6,5.46,-12.57,5.58,-10,14.89,-24.68
24,Net Income Growth,-2.96%,-54.10%,-59.78%,-,-2.20%,-,-62.51%,-,270.00%,-
25,Shares Outstanding (Basic),173,129,121,33,56,40,40,40,40,40
26,Shares Outstanding (Diluted),173,129,121,33,56,40,40,40,40,40
27,Shares Change (YoY),42.39%,287.98%,117.55%,-17.55%,39.46%,0.99%,-,-,-,-
28,EPS (Basic),0.01,0.01,0.02,0.05,0.10,-0.31,0.14,-0.25,0.37,-0.62
29,EPS (Diluted),0.01,0.01,0.02,0.05,0.10,-0.31,0.14,-0.25,0.37,-0.62
30,EPS Growth,-31.85%,-88.17%,-81.51%,-,-29.88%,-,-62.51%,-,270.00%,-
31,Free Cash Flow,-23.89,3.51,-135.28,-24.96,-46.25,-36.39,33.33,11.2,15.4,8.54
32,Free Cash Flow Per Share,-0.14,0.03,-1.11,-0.75,-0.83,-0.90,0.83,0.28,0.39,0.21
33,Operating Margin,1.61%,2.30%,0.40%,3.26%,2.69%,-10.40%,6.49%,-11.43%,11.36%,-38.08%
34,Profit Margin,0.78%,0.44%,0.97%,0.96%,4.91%,-10.28%,5.12%,-13.10%,12.27%,-35.77%
35,Free Cash Flow Margin,-8.80%,2.08%,-59.76%,-14.99%,-41.62%,-29.74%,30.60%,14.67%,12.70%,12.37%
36,EBITDA,4.59,4.05,1.39,6.52,3.1,-12.52,8.15,-8.01,13.96,-26.12
37,D&A For EBITDA,0.22,0.19,0.48,1.09,0.1,0.2,1.08,0.72,0.18,0.15
38,EBIT,4.37,3.86,0.91,5.43,2.99,-12.72,7.07,-8.72,13.78,-26.27
