,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Operating Revenue,0.08,0.3,0.09,0.11,0.43
1,Other Revenue,0.64,7.31,1.04,5.15,-
2,Revenue,0.72,7.61,1.12,5.27,0.43
3,Revenue Growth (YoY),-36.03%,44.52%,164.47%,-,-
4,Gross Profit,0.72,7.61,1.12,5.27,0.43
5,"Selling, General & Admin",30.06,39.17,41.26,46.09,46.7
6,Research & Development,119.14,163.86,128.09,160.98,116.36
7,Other Operating Expenses,-,1.04,-,0.28,-0.28
8,Operating Expenses,149.2,204.06,169.34,207.35,162.79
9,Operating Income,-148.48,-196.46,-168.22,-202.09,-162.37
10,Interest Expense,-1.43,-0.89,-0.63,-0.37,-0.42
11,Interest & Investment Income,3.64,5.52,5.28,5.57,3.94
12,Currency Exchange Gain (Loss),1.38,-5.7,5.8,11.37,14.74
13,Other Non Operating Income (Expenses),-0.01,-11.1,-13.39,-5.68,-67.58
14,EBT Excluding Unusual Items,-144.9,-208.63,-171.15,-191.2,-211.69
15,Gain (Loss) on Sale of Investments,6.54,-,0.32,-,-
16,Asset Writedown,-27.4,-,-,-,-
17,Pretax Income,-165.76,-208.63,-170.83,-191.2,-211.69
18,Net Income,-165.76,-208.63,-170.83,-191.2,-211.69
19,Net Income to Common,-165.76,-208.63,-170.83,-191.2,-211.69
20,Shares Outstanding (Basic),374,368,356,356,307
21,Shares Outstanding (Diluted),374,368,356,356,307
22,Shares Change (YoY),5.07%,3.09%,15.96%,-,-
23,EPS (Basic),-0.44,-0.57,-0.48,-0.54,-0.69
24,EPS (Diluted),-0.44,-0.57,-0.48,-0.54,-0.69
25,Free Cash Flow,-129.23,-236.54,-133.7,-151.85,-110.08
26,Free Cash Flow Per Share,-0.35,-0.64,-0.38,-0.43,-0.36
27,Operating Margin,-20651.18%,-2581.88%,-14966.01%,-3838.29%,-38203.76%
28,Profit Margin,-23054.24%,-2741.87%,-15198.40%,-3631.60%,-49809.41%
29,Free Cash Flow Margin,-17973.44%,-3108.74%,-11895.11%,-2884.18%,-25901.65%
30,EBITDA,-142.71,-190.25,-162.01,-196,-156.55
31,D&A For EBITDA,5.78,6.21,6.21,6.09,5.82
32,EBIT,-148.48,-196.46,-168.22,-202.09,-162.37
