,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,246.85,306.98,495.97,635.21,-
1,Short-Term Investments,-,42.5,43.36,-,-
2,Trading Asset Securities,266.19,259.09,-,-,-
3,Cash & Short-Term Investments,513.04,608.56,539.32,635.21,-
4,Cash Growth,-4.87%,-4.20%,-,-,-
5,Accounts Receivable,0.05,0.04,0,0.07,-
6,Other Receivables,0.56,1.04,0.26,0.96,-
7,Receivables,0.61,1.08,0.26,1.02,-
8,Inventory,68.9,76.77,5.22,9.04,-
9,Other Current Assets,0.04,0.29,3.22,6.59,-
10,Total Current Assets,582.6,686.7,548.02,651.87,-
11,"Property, Plant & Equipment",116.97,149.39,153.24,163.89,-
12,Other Long-Term Assets,43.7,38.5,29.61,24.22,-
13,Total Assets,743.27,874.59,730.87,839.98,-
14,Accounts Payable,4.88,10.8,0.44,1.26,-
15,Accrued Expenses,33.01,30.86,22.48,28.91,-
16,Short-Term Debt,-,59.98,29.98,-,-
17,Current Portion of Long-Term Debt,70.99,-,-,-,-
18,Current Portion of Leases,3.46,4.4,4.83,5.6,-
19,Current Income Taxes Payable,0.63,0.77,0.59,0.61,-
20,Other Current Liabilities,6.8,9.11,15.68,15.36,-
21,Total Current Liabilities,119.78,115.91,73.99,51.74,-
22,Long-Term Debt,15,-,-,-,-
23,Long-Term Leases,8.25,10.4,6.81,9.02,-
24,Total Liabilities,143.03,126.3,80.8,60.76,-
25,Common Stock,374.16,374.16,356.09,356.09,-
26,Additional Paid-In Capital,913.46,913.46,654.47,654.47,-
27,Retained Earnings,-876.11,-710.35,-501.72,-330.89,-
28,Comprehensive Income & Other,188.73,171.01,141.23,99.54,-
29,Shareholders' Equity,600.24,748.29,650.08,779.22,-
30,Total Liabilities & Equity,743.27,874.59,730.87,839.98,-
31,Total Debt,97.71,74.77,41.61,14.62,-
32,Net Cash (Debt),415.33,533.79,497.71,620.59,-
33,Net Cash Growth,-16.55%,-13.99%,-,-,-
34,Net Cash Per Share,1.11,1.45,1.40,1.74,-
35,Filing Date Shares Outstanding,374.16,374.16,373.24,356.09,307.09
36,Total Common Shares Outstanding,374.16,374.16,373.24,356.09,307.09
37,Working Capital,462.82,570.79,474.03,600.13,-
38,Book Value Per Share,1.60,2.00,1.74,2.19,-
39,Tangible Book Value,600.24,748.29,650.08,779.22,-
40,Tangible Book Value Per Share,1.60,2.00,1.74,2.19,-
41,Machinery,-,51.44,-,49.93,-
42,Construction In Progress,-,22.69,-,22.46,-
43,Leasehold Improvements,-,22.49,-,22.49,-
