,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,172.99,139.62,152.35,154.88,185.32,133.65,157.09,144.32,130.98,123.46,175.85,152.32,178.25,178.11,456.59,527.76,573.37,384.12,111.05
1,Other Revenue,-13.7,13.7,-,15.44,-1.64,1.64,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Revenue,159.29,153.31,152.35,170.33,183.68,135.29,157.09,144.32,130.98,123.46,175.85,152.32,178.25,178.11,456.59,527.76,573.37,384.12,111.05
3,Revenue Growth (YoY),-13.28%,13.32%,-3.02%,18.02%,40.23%,9.59%,-10.67%,-5.26%,-26.52%,-30.69%,-61.49%,-71.14%,-68.91%,-53.63%,311.16%,-,-,-,-
4,Cost of Revenue,35.35,49.17,34.42,36.66,25.88,41.25,22.06,35.18,20.32,21.65,17.85,28.38,10.68,15.45,14.47,18.96,19.97,7.39,9.44
5,Gross Profit,123.94,104.14,117.93,133.66,157.8,94.04,135.03,109.13,110.66,101.8,157.99,123.95,167.57,162.67,442.11,508.79,553.4,376.73,101.61
6,"Selling, General & Admin",79.54,75.98,72.55,78.01,68.34,73.89,60.02,53.85,58.12,47.78,47.54,36.42,38.78,33.47,32.81,37.66,40.83,39.17,22.71
7,Research & Development,26.21,15.72,24.5,26.41,24.47,12.9,23.67,20.81,15.87,12.36,11.1,8.01,13.84,10.52,7.76,7.49,7.18,5.64,4.63
8,Other Operating Expenses,0.07,5.78,-1.86,9.13,-0.38,-2.01,-0.72,16.96,-11.94,1.75,1.6,4.65,0.67,2.08,6.05,20.42,-0.36,2.12,1.31
9,Operating Expenses,108.56,97.85,97.48,119.75,94.4,85.35,85.28,91.61,63.4,61.21,59.84,51.64,53.81,43.95,50.34,60.1,49.92,57.65,31.58
10,Operating Income,15.38,6.29,20.44,13.92,63.4,8.69,49.75,17.52,47.26,40.59,98.15,72.31,113.76,118.71,391.78,448.7,503.48,319.09,70.03
11,Interest Expense,-1.08,-0.91,-1.04,-1.4,-0.73,-0.78,-0.83,-11.48,-0.66,-0.68,-0.63,-0.65,-0.51,-0.56,-0.29,-,-,-,-
12,Interest & Investment Income,23.31,29.63,26.97,32.43,29.64,37.5,36.71,-,32.09,48.56,59.52,25.58,15.22,8.54,5.24,2.29,0.53,0.74,0.12
13,Currency Exchange Gain (Loss),2.5,-2.5,-,1.84,-12.26,12.26,-,12.05,-7.28,7.28,-,-8.07,3.98,-3.98,-,-35.67,-1.33,-0.11,1.45
14,Other Non Operating Income (Expenses),-7.31,-3,2.7,-6.88,6.68,4.37,-4.61,-14.04,13.85,1.45,-1.66,3.03,-2.81,1.16,-2.01,9.64,-13.47,1.29,-0.06
15,EBT Excluding Unusual Items,32.79,29.51,49.08,39.9,86.74,62.05,81.02,4.06,85.26,97.21,155.37,92.2,129.65,123.86,394.72,424.96,489.21,321,71.54
16,Gain (Loss) on Sale of Investments,-2.23,1.06,6.2,0.44,-1.14,-1.31,12.99,-5.5,19.9,-8.33,-20.46,21.14,3.33,4.94,4.73,4.7,1.68,-0.03,0.05
17,Gain (Loss) on Sale of Assets,0,-,-0.32,-0.33,0.35,-0,0.03,0.16,0.06,-,-,-0.01,-,-,-,-,-,-,-
18,Asset Writedown,-5.33,1.4,-1.4,6.16,-6.16,1.86,-1.86,6.83,-6.83,0.36,-0.36,3.31,-3.31,1.15,-1.15,3.11,-3.11,-,-
19,Other Unusual Items,4.86,2.36,-,7.21,-,-,-,14.78,-,-,-,70.89,-,-,-,-,-,-1.54,1.54
