,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,7676,9234,7659,9147,10646,11419,11072,13385,12876,12160,16761,22106,23508,26043,-,-,-,-,-,-
1,Market Cap Growth,-19.13%,-19.13%,-30.83%,-31.66%,-17.32%,-6.10%,-33.94%,-39.45%,-45.23%,-53.31%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3838,5117,2955,4448,5947,6767,5443,7424,6915,6262,10890,15643,17218,24555,-,-,-,-,-,-
3,Last Close Price,63.11,73.19,59.95,68.94,80.24,86.06,83.45,98.80,95.04,89.76,123.72,163.18,168.75,186.96,-,-,-,-,-,-
4,PE Ratio,52.35,59.87,39.20,41.54,40.93,49.16,44.93,49.14,42.50,27.67,35.70,44.03,32.65,27.90,-,-,-,-,-,-
5,Forward PE,49.30,57.18,29.46,28.49,34.41,37.48,36.78,45.31,38.78,26.70,36.39,46.59,20.76,23.04,-,-,-,-,-,-
6,PS Ratio,12.71,14.54,11.61,14.26,16.47,18.41,19.50,24.08,22.41,20.87,26.61,32.29,24.35,19.43,-,-,-,-,-,-
7,PB Ratio,1.33,1.60,1.27,1.45,1.67,1.81,1.78,2.07,2.02,1.92,2.68,3.57,3.48,3.96,-,-,-,-,-,-
8,P/TBV Ratio,1.70,1.70,1.35,1.45,1.67,1.81,1.78,2.08,2.02,1.92,2.68,3.57,3.48,3.96,-,-,-,-,-,-
9,P/FCF Ratio,46.55,56.00,42.45,-16.27,-14.77,-13.83,-,-,137.95,54.42,61.94,53.77,39.53,26.54,-,-,-,-,-,-
10,P/OCF Ratio,41.86,41.86,32.85,29.85,33.00,44.58,42.15,62.69,51.63,34.10,45.57,47.07,36.58,25.81,-,-,-,-,-,-
11,EV/Sales Ratio,6.04,8.05,4.48,6.93,9.20,10.91,9.59,13.36,12.04,10.75,17.29,22.85,17.84,18.31,-,-,-,-,-,-
12,EV/EBITDA Ratio,26.17,48.10,20.06,31.17,36.07,41.94,37.83,43.46,31.74,23.08,32.26,37.70,24.31,22.63,-,-,-,-,-,-
13,EV/EBIT Ratio,68.50,91.33,28.40,41.78,43.80,48.56,44.17,47.86,33.98,24.24,33.53,38.82,24.72,22.89,-,-,-,-,-,-
14,EV/FCF Ratio,23.27,31.03,16.38,-7.91,-8.25,-8.20,-,-,74.09,28.03,40.25,38.05,28.95,25.02,-,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,-,-,-,-
16,Debt / EBITDA Ratio,0.47,0.64,0.54,0.57,0.44,0.21,0.54,0.29,0.42,0.24,0.24,0.11,0.13,0.07,0.07,0.01,-,-,-,-
17,Debt / FCF Ratio,0.42,0.42,0.41,-0.13,-0.12,-0.07,-,-,0.75,0.21,0.19,0.11,0.08,0.04,0.03,0.02,-,-,-,-
18,Asset Turnover,0.10,0.10,0.09,0.10,0.11,0.08,0.10,0.09,0.08,0.08,0.11,0.09,0.17,0.39,1.13,1.68,-,-,-,
19,Inventory Turnover,2.67,2.21,3.22,2.48,2.80,2.00,3.19,1.77,3.17,2.13,2.72,2.66,4.48,1.85,3.36,3.75,5.31,-,-,-
20,Quick Ratio,22.15,22.15,25.07,40.53,36.64,38.28,38.17,46.79,47.60,50.38,65.97,64.43,67.82,93.47,22.44,14.44,8.25,6.94,-,-
21,Current Ratio,22.68,22.68,25.57,41.27,37.17,38.88,38.68,47.43,48.12,50.94,66.59,65.12,68.30,94.06,22.99,14.73,8.45,7.14,-,-
22,Return on Equity (ROE),1.93%,1.76%,2.76%,3.47%,4.44%,3.28%,5.22%,1.70%,5.31%,5.01%,7.06%,9.82%,10.92%,26.18%,90.72%,136.78%,-,-,-,
23,Return on Assets (ROA),0.62%,0.25%,0.78%,0.53%,2.45%,0.33%,1.88%,0.67%,1.83%,1.59%,3.71%,2.66%,6.66%,16.41%,60.71%,89.36%,-,-,-,
24,Return on Capital (ROIC),0.64%,0.25%,0.80%,0.54%,2.50%,0.34%,1.92%,0.68%,1.86%,1.62%,3.77%,2.69%,6.77%,17.28%,66.37%,101.74%,-,-,-,
25,Return on Capital Employed (ROCE),0.96%,0.96%,1.70%,1.66%,2.10%,2.19%,1.96%,2.38%,3.15%,4.04%,5.15%,6.46%,10.26%,16.23%,82.17%,100.76%,102.84%,97.92%,-,-
26,Earnings Yield,2.01%,1.67%,2.55%,2.41%,2.44%,2.03%,2.23%,2.04%,2.35%,3.61%,2.80%,2.27%,3.06%,3.58%,-,-,-,-,-,-
27,FCF Yield,2.15%,1.79%,2.36%,-6.15%,-6.77%,-7.23%,-7.58%,-0.84%,0.72%,1.84%,1.61%,1.86%,2.53%,3.77%,-,-,-,-,-,-
28,Dividend Yield,3.14%,-,-,-,2.49%,-,-,-,2.10%,-,-,-,3.12%,-,-,-,-,-,-,-
29,Payout Ratio,165.65%,-,940.14%,-,-,-,497.27%,-,-,-,5.88%,591.19%,-,-,-,-,-,-,-,-
30,Buyback Yield / Dilution,0.96%,2.58%,1.25%,0.03%,-0.00%,-0.00%,-90.00%,-0.00%,0.01%,-20.00%,29.83%,-33.33%,-33.34%,-11.11%,0.19%,-0.19%,-,-,-,-
31,Total Shareholder Return,4.10%,2.58%,1.25%,0.03%,2.49%,-0.00%,-90.00%,-0.00%,2.11%,-20.00%,29.83%,-33.33%,-30.22%,-11.11%,0.19%,-0.19%,-,-,-,-
