,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,217.37,210.68,478.72,467.72,460.75,399.13,391.66,369.17,353.25,173.15
1,Short-Term Investments,-,0.31,-,0.32,-,0.36,-,0.66,-,0.4
2,Cash & Short-Term Investments,217.37,211,478.72,468.04,460.75,399.5,391.66,369.82,353.25,173.55
3,Cash Growth,-54.59%,-54.92%,3.90%,17.16%,17.64%,8.02%,10.87%,113.10%,149.07%,7.12%
4,Accounts Receivable,106.52,138.88,118.11,105.28,72.09,62,71.16,49.04,39.26,29.65
5,Other Receivables,0.74,23.59,-,9.66,-,11.33,-,3.07,-,1.71
6,Receivables,107.26,162.47,118.11,114.94,72.09,73.33,71.16,52.1,39.26,31.36
7,Inventory,130.8,130.74,-,-,-,-,-,-,-,-
8,Other Current Assets,26.47,2.91,10.47,0.96,3.96,53.2,7.23,1.19,2.12,5.57
9,Total Current Assets,481.9,507.12,607.3,583.94,536.8,526.02,470.04,423.11,394.63,210.47
10,"Property, Plant & Equipment",190.08,190.68,7.13,6.09,3.77,5.41,5.81,6.27,4.56,4.87
11,Other Intangible Assets,-,-,-,-,-,-,0.26,0.3,0.34,-
12,Long-Term Deferred Tax Assets,1.03,1.26,1.02,1.3,0.75,0.8,0.58,0.57,0.16,0.67
13,Total Assets,673.02,699.05,615.45,591.33,541.32,532.23,476.69,430.25,399.69,216
14,Accounts Payable,34.95,54.96,33.93,41.75,17.52,22.51,24.35,25.28,13.99,18.22
15,Accrued Expenses,-,23.54,-,15.2,-,15.87,-,11.92,-,10.17
16,Current Portion of Leases,0.46,1.11,1.09,1.22,1.07,1.51,1.36,1.1,0.77,1.86
17,Current Income Taxes Payable,-,0.38,1.86,0.96,2.77,1.23,1.77,4.97,5.79,4.53
18,Current Unearned Revenue,78.84,85.42,57.94,66.85,63.1,74.04,47.81,40.24,35.68,29.4
19,Other Current Liabilities,73.79,73.36,78.74,47.09,61.74,40.52,41.93,24.57,30.93,35.59
20,Total Current Liabilities,188.04,238.78,173.56,173.07,146.2,155.68,117.22,108.08,87.16,99.77
21,Long-Term Leases,1.93,1.94,2.12,2.14,2.43,3.59,3.79,3.99,2.42,2.2
22,Long-Term Deferred Tax Liabilities,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.82,-
23,Other Long-Term Liabilities,2.65,2.72,2.04,2.03,1.85,1.86,1.39,1.25,0.05,0.03
24,Total Liabilities,193.22,244.02,178.31,177.83,151.07,161.72,122.98,113.91,90.45,102
25,Common Stock,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,3.57,-
26,Additional Paid-In Capital,246.33,246.33,246.33,246.33,246.33,254.51,254.51,254.51,254.51,89.76
27,Retained Earnings,239.48,215.39,195.98,175.22,160.03,128.04,110.95,73.52,61.34,38.25
28,Comprehensive Income & Other,-9.54,-10.29,-8.77,-11.64,-19.68,-15.61,-15.32,-15.25,-10.17,-14.01
29,Total Common Equity,479.83,455,437.11,413.47,390.25,370.51,353.71,316.34,309.25,114
30,Minority Interest,-0.04,0.03,0.03,0.02,-,-,-,-,-,-
31,Shareholders' Equity,479.8,455.03,437.14,413.5,390.25,370.51,353.71,316.34,309.25,114
32,Total Liabilities & Equity,673.02,699.05,615.45,591.33,541.32,532.23,476.69,430.25,399.69,216
33,Total Debt,2.4,3.05,3.21,3.36,3.5,5.1,5.15,5.1,3.19,4.05
34,Net Cash (Debt),214.98,207.95,475.51,464.69,457.25,394.39,386.51,364.73,350.06,169.49
35,Net Cash Growth,-54.79%,-55.25%,3.99%,17.82%,18.30%,8.13%,10.41%,115.19%,150.80%,6.08%
36,Net Cash Per Share,0.54,0.52,1.19,1.16,1.14,0.99,0.97,0.91,0.97,0.56
37,Filing Date Shares Outstanding,400,400,400,400,400,400,400,400,400,300
38,Total Common Shares Outstanding,400,400,400,400,400,400,400,400,400,300
39,Working Capital,293.86,268.34,433.74,410.87,390.6,370.34,352.82,315.04,307.48,110.7
40,Book Value Per Share,1.20,1.14,1.09,1.03,0.98,0.93,0.88,0.79,0.77,0.38
41,Tangible Book Value,479.83,455,437.11,413.47,390.25,370.51,353.45,316.04,308.91,114
42,Tangible Book Value Per Share,1.20,1.14,1.09,1.03,0.98,0.93,0.88,0.79,0.77,0.38
43,Machinery,-,13.46,-,7.5,-,4.51,-,4.14,-,3.55
44,Construction In Progress,-,180.16,-,-,-,-,-,-,-,-
