,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,158,260,200,308,340,328,380,428,456,612,-
1,Market Cap Growth,-15.58%,-15.58%,-41.18%,-6.10%,-10.53%,-23.36%,-16.67%,-30.07%,-,-,-
2,Enterprise Value,-73,31,-314,-217,-196,-156,-85,-5,72,422,-
3,Last Close Price,0.40,0.65,0.50,0.77,0.85,0.82,0.92,1.04,1.11,1.46,-
4,PE Ratio,3.38,5.56,4.52,7.93,6.38,5.71,5.68,6.15,8.83,14.82,-
5,PS Ratio,0.40,0.66,0.51,0.88,0.94,0.92,1.10,1.39,1.80,2.88,-
6,PB Ratio,0.31,0.50,0.40,0.65,0.73,0.72,0.84,1.01,1.21,1.80,-
7,P/TBV Ratio,0.50,0.50,0.40,0.65,0.73,0.72,0.84,1.01,1.21,1.81,-
8,P/FCF Ratio,2.81,4.63,3.41,12.59,11.39,4.08,3.71,7.02,15.07,16.64,-
9,P/OCF Ratio,4.25,4.25,3.07,10.38,10.23,4.07,3.69,6.94,14.73,16.41,-
10,EV/Sales Ratio,0.08,0.08,-,-,-,-,-,-,0.28,1.99,-
11,EV/EBITDA Ratio,0.52,0.52,-,-,-,-,-,-,1.16,8.72,-
12,EV/EBIT Ratio,0.54,0.54,-,-,-,-,-,-,1.18,8.86,-
13,EV/FCF Ratio,-1.30,0.55,-,-,-,-,-,-,2.38,11.49,-
14,Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.04
15,Debt / FCF Ratio,0.05,0.05,0.06,0.14,0.13,0.05,0.06,0.10,0.20,0.10,0.07
16,Return on Capital Employed (ROCE),11.04%,11.04%,11.14%,13.14%,14.87%,14.56%,14.98%,16.82%,15.97%,13.90%,38.72%
17,Earnings Yield,29.58%,17.97%,22.13%,12.62%,15.69%,17.53%,17.61%,16.26%,11.33%,6.75%,-
18,FCF Yield,35.57%,21.61%,29.31%,7.94%,8.78%,24.49%,26.95%,14.25%,6.64%,6.01%,-
19,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,1.54%,-
20,Buyback Yield / Dilution,-,-,-,-,-,0.08%,-10.37%,-33.44%,-20.81%,-,
21,Total Shareholder Return,-,-,-,-,-,0.08%,-10.37%,-33.44%,-19.27%,-,
