,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2016,Q1 2016,Q4 2014,Q3 2014,Q3 2014,Q1 2015,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Sep '14 Sep 30, 2014.1","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Cash & Equivalents,19582,152937,21281,67909,503370,50654,50654,-,59249,56582,42107,13715,-,11879,-,-,-
1,Short-Term Investments,607.53,579.69,11912,-,15397,1731,1731,-,1572,1449,933.08,5971,-,21133,-,-,-
2,Cash & Short-Term Investments,20189,153516,33193,67909,518766,52385,52385,-,60820,58031,43040,19686,33012,33012,-,-,-
3,Cash Growth,-96.11%,193.06%,-36.64%,-,752.95%,-9.73%,21.71%,-,84.24%,75.79%,-,-,-,-,-,-,-
4,Accounts Receivable,121421,142334,481436,464867,684070,659471,659471,-,409450,406020,366049,483917,-,720982,-,-,-
5,Other Receivables,237991,116015,129156,22635,650.81,586.45,586.45,-,-,-,0.71,-,-,-,-,-,-
6,Receivables,364113,258349,610593,487502,684721,660058,660058,-,409450,406020,366050,483917,-,720982,-,-,-
7,Inventory,154249,53014,262615,328527,307637,327835,327835,-,574394,455692,341254,327538,-,232053,-,-,-
8,Prepaid Expenses,1605,4082,511.11,899.54,735.72,802.04,802.04,-,1985,1367,1195,635.78,-,1004,-,-,-
9,Other Current Assets,18127,59464,694595,803070,282626,259956,259956,-,221312,236762,278306,270733,-,37475,-,-,-
10,Total Current Assets,558283,528425,1601507,1687907,1794487,1301035,1301035,-,1267961,1157872,1029846,1102510,-,1024526,-,-,-
11,"Property, Plant & Equipment",105804,141550,639006,519323,458793,480065,480065,-,439246,443792,446211,407461,-,292746,-,-,-
12,Long-Term Investments,140000,-,1502,1502,13279,13279,13279,-,13279,13279,15692,13279,-,13279,-,-,-
13,Other Intangible Assets,1323,1554,3271,3431,3749,3803,3803,-,4112,4266,4420,4574,-,9.33,-,-,-
14,Long-Term Accounts Receivable,-,-,6988,117882,7433,8079,8079,-,7163,7163,-,-,-,-,-,-,-
15,Long-Term Deferred Tax Assets,1227,363.64,-,-,568.82,568.82,568.82,-,-,-,-,-,-,-,-,-,-
16,Other Long-Term Assets,19784,14784,38656,9789,6270,5021,5021,-,4684,3843,2577,1930,-,1552,-,-,-
17,Total Assets,826421,686677,2290930,2339833,2284580,1811851,1811851,-,1736444,1630215,1498747,1529754,-,1332111,-,-,-
18,Accounts Payable,88794,48302,94317,112793,29438,76579,76579,-,92176,77986,70517,53083,-,85521,-,-,-
19,Accrued Expenses,14562,28018,17000,2368,22925,9995,9995,-,2180,3760,3061,4098,-,3619,-,-,-
20,Short-Term Debt,140829,92726,35929,71666,435495,318180,318180,-,364115,373530,350029,401597,-,410034,-,-,-
21,Current Portion of Long-Term Debt,-,-,17994,-,34748,26685,26685,-,17055,21120,-,17755,-,6766,-,-,-
22,Current Income Taxes Payable,12264,3273,64837,62301,102238,88427,88427,-,82385,82097,72120,74929,-,103274,-,-,-
23,Other Current Liabilities,18405,12777,13589,41464,52606,65275,65275,-,47689,53655,5123,16265,-,7390,-,-,-
24,Total Current Liabilities,274853,185096,243666,290591,677450,585141,585141,-,605599,612148,500851,567727,-,616604,-,-,-
25,Long-Term Debt,-,-,58394,67592,47156,90370,90370,-,44141,33123,52838,36763,-,18063,-,-,-
26,Long-Term Leases,-,-,-,-,45335,-,-,-,-,-,-,-,-,-,-,-,-
27,Long-Term Deferred Tax Liabilities,304.38,1337,448.95,500.89,550.07,597.22,597.22,-,923.33,923.33,1959,1959,-,-,-,-,-
28,Other Long-Term Liabilities,31.5,898.6,88758,85146,84397,105689,105689,-,123237,32565,9404,-,-,-,-,-,-
29,Total Liabilities,275189,187331,391267,443830,854888,781797,781797,-,773901,678760,565052,606449,-,634667,-,-,-
30,Common Stock,1125002,1125002,1125002,1125002,844426,568185,568185,-,568185,568185,494076,494076,-,354200,-,-,-
31,Additional Paid-In Capital,402288,402288,402288,402288,262121,152689,152689,-,152689,152689,152689,152689,-,71595,-,-,-
32,Retained Earnings,-976308,-1028141,372373,368713,323145,252361,252361,-,241669,230581,212818,276541,-,271650,-,-,-
33,Comprehensive Income & Other,-,-,-,-,-,56819,56819,-,-,-,74111,-,-,-,-,-,-
34,Total Common Equity,550982,499149,1899663,1896003,1429692,1030054,1030054,-,962543,951456,933695,923306,697444,697444,-,-,-
35,Minority Interest,250.16,196.29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Shareholders' Equity,551232,499346,1899663,1896003,1429692,1030054,1030054,-,962543,951456,933695,923306,697444,697444,-,-,-
37,Total Liabilities & Equity,826421,686677,2290930,2339833,2284580,1811851,1811851,-,1736444,1630215,1498747,1529754,-,1332111,-,-,-
38,Total Debt,140829,92726,112317,139257,562734,435235,435235,-,425311,427773,402867,456115,434862,434862,-,-,-
39,Net Cash (Debt),-120639,60790,-79124,-71349,-43968,-382851,-382851,-,-364491,-369742,-359827,-436429,-401850,-401850,-,-,-
40,Net Cash Per Share,-1072.35,540.36,-703.33,-,-655.57,-6125.57,-6125.57,-,-5831.82,-7339.88,-7573.19,-7710.42,-8968.61,-7942.61,-,-,-
41,Filing Date Shares Outstanding,112.5,112.5,112.5,-,62.5,62.5,62.5,-,62.5,62.5,62.5,62.5,44.81,44.81,44.2,48.01,40.38
42,Total Common Shares Outstanding,112.5,112.5,112.5,-,62.5,62.5,62.5,-,62.5,62.5,62.5,62.5,44.81,44.81,44.2,48.01,40.38
43,Working Capital,283430,343330,1357841,1397316,1117036,715894,715894,-,662362,545724,528995,534783,-,407922,-,-,-
44,Book Value Per Share,4897.61,4436.88,16885.87,-,22875.04,16480.77,16480.77,-,15400.60,15223.20,14938.97,14772.74,15565.76,15565.76,-,-,-
45,Tangible Book Value,549659,497595,1896392,1892573,1425942,1026251,1026251,-,958432,947190,929274,918731,697435,697435,-,-,-
46,Tangible Book Value Per Share,4885.85,4423.06,16856.79,-,22815.04,16419.91,16419.91,-,15334.81,15154.94,14868.25,14699.55,15565.56,15565.56,-,-,-
47,Buildings,4695,4695,1025,-,1025,1025,1025,-,1025,1025,1025,1025,-,1025,-,-,-
48,Machinery,548382,549553,805492,-,729536,716086,716086,-,732138,731508,725598,703852,-,520758,-,-,-
49,Construction In Progress,2908,38790,153369,78799,91728,119500,119500,-,80768,68617,58428,22969,-,-,-,-,-
