,Fiscal Quarter,Q4 2024,Q4 2023,Q2 2016,Q1 2016,Q4 2014,Q3 2014,Q3 2014,Q1 2015,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Sep '14 Sep 30, 2014.1","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Revenue,188686,195336,114752,88880,305150,302336,302336,190068,125523,246173,106764,158114,83005,426482,230570,52344,52344
1,Revenue Growth (YoY),-38.17%,-35.39%,-62.04%,-53.24%,143.10%,22.81%,183.18%,20.21%,51.22%,-42.28%,-53.70%,202.07%,58.58%,-,-,-,-
2,Cost of Revenue,135764,140738,81439,62663,189265,202353,202353,132340,93294,176850,70674,117599,54668,261521,132928,33603,33707
3,Gross Profit,52923,54598,33313,26216,115884,99983,99983,57728,32229,69323,36090,40515,28337,164960,97642,18741,18637
4,"Selling, General & Admin",25409,32228,12850,12862,13740,8573,8573,13888,7563,10430,10226,10046,7693,9850,7958,8080,7864
5,Operating Expenses,25409,32228,12850,12862,13740,8573,8573,13888,7563,10430,10226,10046,7693,9850,7958,8080,7864
6,Operating Income,27513,22369,20463,13354,102144,91410,91410,43839,24666,58892,25864,30469,20643,155110,89684,10661,10773
7,Interest Expense,-1581,-1838,-4261,-,-12236,-11218,-11218,-12048,-11145,-12640,-12402,-17101,-11274,-16421,-8214,-7456,-7456
8,Interest & Investment Income,3695,2748,91.36,173.32,186.56,40.29,40.29,35.27,29.89,-,17.83,848.32,14.63,-,51.89,458.93,314.81
9,Currency Exchange Gain (Loss),735.61,-625.97,-6867,-,-,221.45,221.45,-,-14.64,-1825,-448.37,-738.92,-3.15,-2261,-,-,-
10,Other Non Operating Income (Expenses),3820,1887,-3387,-8620,719.76,14389,14389,-1351,686.98,8683,849.38,-5984,59.55,2090,-151.88,-310,3.48
11,EBT Excluding Unusual Items,34183,24540,6040,4908,90815,94843,94843,30476,14223,53110,13880,7494,9441,138519,81369,3354,3636
