,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q2 2016,Q1 2016,Q4 2014,Q3 2014,Q3 2014,Q1 2015,Q1 2014,Q4 2013,Q3 2013,Q2 2013,Q1 2013,Q4 2012,Q3 2012,Q2 2012,Q1 2012
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Dec '14 Dec 31, 2014","Sep '14 Sep 30, 2014","Sep '14 Sep 30, 2014.1","Jun '14 Jun 30, 2014","Mar '14 Mar 31, 2014","Dec '13 Dec 31, 2013","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Dec '12 Dec 31, 2012","Sep '12 Sep 30, 2012","Jun '12 Jun 30, 2012","Mar '12 Mar 31, 2012"
0,Market Capitalization,612001,427501,380251,540001,911251,1043752,1006256,1006256,840914,1000006,1039779,1002974,958507,719026,736736,662354,694232,872620
1,Market Cap Growth,-20.83%,-59.04%,-62.21%,-46.34%,8.36%,4.37%,-3.22%,0.33%,-12.27%,39.08%,41.13%,51.43%,38.07%,-17.60%,-,-,-,-
2,Enterprise Value,732890,425722,378472,154680,525931,1426602,1391795,1391795,1205405,1369748,1399606,1439403,-,-,-,-,-,-
3,Last Close Price,5440.00,3800.00,3380.00,4800.00,8100.00,16700.00,15529.25,15529.25,12574.55,14953.52,15548.26,14997.85,14332.92,14997.85,14453.36,12994.13,13619.52,17119.15
4,PE Ratio,11.80,7.14,3.71,3.55,4.09,4.33,5.55,8.05,13.72,21.89,24.95,7.85,5.37,4.12,4.33,10.01,133.17,334.77
5,Forward PE,-,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,4.04,3.90,3.97,4.46,-,-,-,-
6,PS Ratio,1.00,0.73,0.54,0.67,0.91,0.95,1.09,1.16,1.26,1.57,1.75,1.30,1.07,0.91,0.97,1.98,6.63,16.67
7,PB Ratio,1.11,0.78,0.76,0.28,0.48,0.73,0.98,0.98,-,1.04,1.09,1.07,1.04,1.03,1.06,-,-,-
8,P/TBV Ratio,0.78,0.78,0.76,0.28,0.48,0.73,0.98,0.98,-,1.04,1.10,1.08,1.04,1.03,1.06,-,-,-
9,P/FCF Ratio,7.58,-0.44,-,-,-,-,-,-,-,-7.58,-16.29,-9.99,-,-3.34,-,-,-,-
10,P/OCF Ratio,4.45,-0.51,-,-,-,-,21.28,19.81,-,50.28,8.75,11.25,-,-15.23,-,-,-,-
11,PEG Ratio,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.21,0.20,0.21,0.23,-,-,-,-
12,EV/Sales Ratio,1.20,0.72,0.54,0.19,0.53,1.30,1.51,1.61,1.80,2.15,2.36,1.86,-,-,-,-,-,-
13,EV/EBITDA Ratio,8.46,2.68,1.56,0.49,1.42,4.22,5.34,6.07,-,6.43,6.79,4.85,-,-,-,-,-,-
14,EV/EBIT Ratio,16.94,5.09,2.39,0.68,1.76,4.34,5.54,6.36,7.87,9.79,10.30,6.20,-,-,-,-,-,-
15,EV/FCF Ratio,9.07,-0.44,-,-,-,-,-,-,-,-10.38,-21.92,-14.33,-,-,-,-,-,-
16,Debt / Equity Ratio,0.26,0.26,0.19,0.06,0.07,0.39,0.42,0.42,-,0.44,0.45,0.43,0.49,0.62,0.62,-,-,-
17,Debt / EBITDA Ratio,1.63,0.98,0.70,0.49,1.08,1.18,1.00,1.00,-,2.52,1.37,2.26,2.37,3.06,0.64,-,-,-
18,Debt / FCF Ratio,1.74,-0.15,-,-,-,-,-,-,-,-3.22,-6.70,-4.01,-,-2.02,-,-,-,-
19,Asset Turnover,-,-,0.20,-,0.60,0.68,0.68,-,0.30,0.63,0.28,-,-,-,-,-,-,
20,Inventory Turnover,4.45,-,-,1.10,-,2.38,1.90,1.90,-,0.72,1.78,0.85,-,-,-,-,-,-
21,Quick Ratio,1.38,1.38,2.23,2.64,1.91,1.78,1.22,1.22,-,0.78,0.76,0.82,0.89,-,1.22,-,-,-
22,Current Ratio,2.03,2.03,2.85,6.57,5.81,2.65,2.22,2.22,-,2.09,1.89,2.06,1.94,-,1.66,-,-,-
