,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Market Capitalization,8402,10969,9644,8784,7001,7132,15327,-,-
1,Market Cap Growth,24.88%,24.88%,37.75%,23.17%,-54.32%,-,-,-,-
2,Enterprise Value,5885,8331,7168,6499,4356,3656,14152,-,-
3,Last Close Price,9.19,11.98,10.38,9.41,7.50,7.64,16.42,-,-
4,PE Ratio,95.63,123.81,134.97,182.36,-,-,-,-,-
5,Forward PE,56.64,68.26,67.54,-,-,-,-,-,-
6,PS Ratio,0.58,0.76,0.71,1.41,-,0.68,1.53,-,-
7,PB Ratio,2.70,3.51,2.94,2.66,2.05,1.92,3.77,-,-
8,P/TBV Ratio,3.69,3.69,3.08,2.78,2.19,2.05,3.98,-,-
9,P/FCF Ratio,24.27,31.68,33.87,251.74,-,-,-,-,-
10,P/OCF Ratio,30.83,30.83,32.87,236.82,-,-,-,-,-
11,EV/Sales Ratio,0.41,0.57,0.53,1.05,-,0.35,1.41,-,-
12,EV/EBITDA Ratio,76.60,127.67,240.70,260.17,-,-,-,-,-
13,EV/EBIT Ratio,134.37,146.41,-,305.87,-,-,-,-,-
14,EV/FCF Ratio,17.00,24.06,25.17,186.26,-,-,-,-,-
15,Debt / Equity Ratio,0.01,0.01,0.01,0.01,0.01,0.01,0.01,-,-
16,Debt / FCF Ratio,0.07,0.07,0.09,0.89,-,-,-,-,-
17,Return on Capital Employed (ROCE),1.28%,1.82%,-,0.64%,-,-,-,-,-
18,Earnings Yield,0.87%,0.81%,0.74%,0.55%,-,-10.45%,-7.20%,-,-
19,FCF Yield,4.12%,3.16%,2.95%,0.40%,-,-5.88%,-4.40%,-,-
20,Buyback Yield / Dilution,1.14%,1.87%,-,0.00%,-,-40.61%,-115.05%,-,-
21,Total Shareholder Return,1.14%,1.87%,-,0.00%,-,-40.61%,-115.05%,-,-
