,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","May '20 May 31, 2020"
0,Revenue,6878,6638,5749,-,4464,4465,3709,1429
1,Revenue Growth (YoY),19.64%,-,28.79%,-,20.35%,212.34%,-,-
2,Cost of Revenue,6405,6227,5366,-,4283,4354,3726,1488
3,Gross Profit,473.28,411.31,383.43,-,180.61,111.43,-16.62,-58.1
4,"Selling, General & Admin",379.24,397.02,333.02,-,308.86,568.68,356.8,157.89
5,Research & Development,51.24,50.47,41.25,-,34.53,70.89,52.55,20.65
6,Other Operating Expenses,-14.45,-31.67,-14.49,-,-34.44,-19.94,-12.95,-5.59
7,Operating Expenses,419.81,411.82,363.77,-,310.66,621,399.1,172.34
8,Operating Income,53.47,-0.51,19.66,-,-130.05,-509.57,-415.72,-230.45
9,Interest Expense,-0.39,-,-1.74,-,-1.16,-0.92,-6.71,-13.81
10,Interest & Investment Income,18.74,22.49,19.38,-,22.9,12.18,9.56,1.79
11,Earnings From Equity Investments,-0.4,3.9,-0.59,-,-,-,-,-
12,Currency Exchange Gain (Loss),0.67,-0.09,0.09,-,-7.78,2.35,6.37,0.78
13,Other Non Operating Income (Expenses),-0.05,0.01,-0.01,-,0.08,-0.34,-0.07,-0
14,EBT Excluding Unusual Items,72.03,25.79,36.8,-,-116,-496.3,-406.58,-241.69
15,Gain (Loss) on Sale of Investments,8.41,-8.72,8.72,-,1.58,0.08,-,-
16,Gain (Loss) on Sale of Assets,-0.13,-0.1,0,-,0.19,0.22,-0.01,-0.01
17,Other Unusual Items,0.27,-,0.09,-,-,-,-,-
18,Pretax Income,80.57,16.98,45.61,-,-114.23,-496,-406.59,-241.7
19,Income Tax Expense,18.4,-3.3,1.03,-,-,-3.74,-,-26.51
20,Earnings From Continuing Operations,62.17,20.28,44.58,-,-114.23,-492.26,-406.59,-215.19
21,Earnings From Discontinued Operations,-,-,-,-,-29.71,-,-,-
22,Net Income,62.17,20.28,44.58,-,-143.94,-492.26,-406.59,-215.19
23,Net Income to Common,62.17,20.28,44.58,-,-143.94,-492.26,-406.59,-215.19
24,Net Income Growth,39.48%,-,-,-,-,-,-,-
25,Shares Outstanding (Basic),915,929,933,-,933,740,664,344
26,Shares Outstanding (Diluted),916,930,933,-,933,740,664,344
27,Shares Change (YoY),-1.87%,-,-0.00%,-,40.61%,115.05%,-,-
28,EPS (Basic),0.07,0.02,0.05,-,-0.15,-0.67,-0.61,-0.63
29,EPS (Diluted),0.07,0.02,0.05,-,-0.15,-0.67,-0.61,-0.63
30,EPS Growth,42.35%,-,-,-,-,-,-,-
31,Free Cash Flow,96.03,226.19,32.29,-,-254.89,-102.91,-446.34,-123.25
32,Free Cash Flow Per Share,0.10,0.24,0.03,-,-0.27,-0.14,-0.67,-0.36
33,Operating Margin,0.78%,-0.01%,0.34%,-,-2.91%,-11.41%,-11.21%,-16.12%
34,Profit Margin,0.90%,0.31%,0.78%,-,-3.22%,-11.03%,-10.96%,-15.05%
35,Free Cash Flow Margin,1.40%,3.41%,0.56%,-,-5.71%,-2.30%,-12.03%,-8.62%
36,EBITDA,56.82,3.91,23.12,-,-125.85,-504.89,-412.86,-229.5
37,D&A For EBITDA,3.35,4.7,3.45,3.86,4.2,4.68,2.86,0.95
38,EBIT,53.47,-0.51,19.66,-,-130.05,-509.57,-415.72,-230.45
