,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,891.99,891.99,887.62,887.62,299.02,299.02,-,-
1,Short-Term Investments,-,-,90.06,90.06,-,-,-,-
2,Trading Asset Securities,272.52,272.52,21.07,21.07,-,-,-,-
3,Cash & Short-Term Investments,1165,1165,998.74,998.74,299.02,299.02,-,91.56
4,Cash Growth,289.45%,289.45%,-,990.76%,-,-,-,-
5,Accounts Receivable,510.01,510.01,507.8,507.8,494,494,-,-
6,Other Receivables,-,-,-1.46,-1.46,0.01,0.01,-,-
7,Receivables,510.01,510.01,506.34,506.34,494.01,494.01,-,-
8,Inventory,11.76,11.76,17.89,17.89,27.79,27.79,-,-
9,Other Current Assets,218.09,218.09,131.88,131.88,76.79,76.79,-,-
10,Total Current Assets,1904,1904,1655,1655,897.6,897.6,-,-
11,"Property, Plant & Equipment",139.31,139.31,99.31,99.31,120.01,120.01,-,-
12,Long-Term Investments,4,4,4,4,4,4,-,-
13,Long-Term Deferred Tax Assets,16.65,16.65,12.07,12.07,11.01,11.01,-,-
14,Other Long-Term Assets,42.02,42.02,46.75,46.75,34.75,34.75,-,-
15,Total Assets,2106,2106,1817,1817,1067,1067,-,-
16,Accounts Payable,19,19,47.99,47.99,11.45,11.45,-,-
17,Current Portion of Long-Term Debt,426.84,426.84,329.84,329.84,119.94,119.94,-,-
18,Current Portion of Leases,2.84,2.84,2.56,2.56,1.66,1.66,-,-
19,Current Income Taxes Payable,38.52,38.52,8.75,8.75,21.37,21.37,-,-
20,Current Unearned Revenue,5.39,5.39,4.27,4.27,3.08,3.08,-,-
21,Other Current Liabilities,46.03,46.03,34.81,34.81,9.4,9.4,-,-
22,Total Current Liabilities,538.62,538.62,428.22,428.22,166.9,166.9,-,-
23,Long-Term Debt,-,-,12.75,12.75,1267,1267,-,-
24,Long-Term Leases,1.97,1.97,2.42,2.42,0.53,0.53,-,-
25,Long-Term Unearned Revenue,0.08,0.08,0.24,0.24,0.4,0.4,-,-
26,Total Liabilities,540.68,540.68,443.63,443.63,1435,1435,-,-
27,Common Stock,0.02,0.02,0.02,0.02,0.01,0.01,-,-
28,Retained Earnings,-,-,-2315,-2315,-,-,-,-
29,Comprehensive Income & Other,1536,1536,3667,3667,-387.83,-387.83,-,-
30,Total Common Equity,1536,1536,1352,1352,-387.83,-387.83,-,-573.82
31,Minority Interest,29.31,29.31,21.5,21.5,19.88,19.88,-,-
32,Shareholders' Equity,1566,1566,1373,1373,-367.94,-367.94,-,-573.66
33,Total Liabilities & Equity,2106,2106,1817,1817,1067,1067,-,-
34,Total Debt,431.65,431.65,347.57,347.57,1390,1390,-,1354
35,Net Cash (Debt),732.86,732.86,651.16,651.16,-1091,-1091,-,-1263
36,Net Cash Per Share,2.78,2.78,4.83,4.83,-10.37,-10.37,-,-1.56
37,Filing Date Shares Outstanding,263.32,263.32,262.71,262.71,243,105.15,104.36,104.36
38,Total Common Shares Outstanding,263.32,263.32,262.71,262.71,104.36,105.15,104.36,104.36
39,Working Capital,1366,1366,1227,1227,-,730.7,-,-
40,Book Value Per Share,5.83,5.83,5.15,5.15,-3.72,-3.69,-,-5.50
41,Tangible Book Value,1536,1536,1352,1352,-,-387.83,-,-573.82
42,Tangible Book Value Per Share,5.83,5.83,5.15,5.15,-3.72,-3.69,-,-5.50
43,Machinery,-,-,276.67,276.67,-,-,-,-
44,Leasehold Improvements,-,-,3.05,3.05,-,-,-,-
