,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,412.19,412.19,257.56,257.56,321.55,321.55,181.8,181.8
1,Revenue Growth (YoY),28.19%,28.19%,41.67%,41.67%,-,-,-,-
2,Cost of Revenue,178.01,178.01,116.85,116.85,150.97,150.97,84.74,84.74
3,Gross Profit,234.18,234.18,140.71,140.71,170.58,170.58,97.05,97.05
4,"Selling, General & Admin",103.47,103.47,89.13,89.13,83.19,83.19,63.72,63.72
5,Research & Development,27.03,27.03,18.74,18.74,17.97,17.97,13.65,13.65
6,Operating Expenses,145,145,110.81,110.81,101.02,101.02,77.42,77.42
7,Operating Income,89.18,89.18,29.9,29.9,69.56,69.56,19.64,19.64
8,Interest Expense,-4.07,-4.07,-2,-2,-0.5,-0.5,-0.41,-0.41
9,Interest & Investment Income,-,-,0.1,0.1,-,-,0.1,0.1
10,Currency Exchange Gain (Loss),-1.38,-1.38,1.38,1.38,-0.07,-0.07,0.07,0.07
11,Other Non Operating Income (Expenses),7.38,7.38,-949.06,-949.06,-26.24,-26.24,16.26,16.26
12,EBT Excluding Unusual Items,91.11,91.11,-919.68,-919.68,42.76,42.76,35.65,35.65
13,Gain (Loss) on Sale of Investments,9.58,9.58,1.14,1.14,-,-,-,-
14,Pretax Income,100.69,100.69,-918.54,-918.54,42.76,42.76,35.65,35.65
15,Income Tax Expense,8.93,8.93,4.58,4.58,7.11,7.11,2.96,2.96
16,Earnings From Continuing Operations,91.76,91.76,-923.12,-923.12,35.66,35.66,32.7,32.7
17,Minority Interest in Earnings,-3.9,-3.9,-0.81,-0.81,-2.5,-2.5,-0.38,-0.38
18,Net Income,87.85,87.85,-923.93,-923.93,33.16,33.16,32.31,32.31
19,Net Income to Common,87.85,87.85,-923.93,-923.93,33.16,33.16,32.31,32.31
20,Net Income Growth,164.95%,164.95%,-,-,-,-,-,-
21,Shares Outstanding (Basic),263,263,135,135,105,105,104,104
22,Shares Outstanding (Diluted),263,263,135,135,105,105,808,808
23,Shares Change (YoY),150.43%,150.43%,-83.31%,-83.31%,-,-,-,-
24,EPS (Basic),0.33,0.33,-6.85,-6.85,0.32,0.32,0.31,0.31
25,EPS (Diluted),0.33,0.33,-6.86,-6.86,0.32,0.32,0.04,0.04
26,EPS Growth,5.80%,5.80%,-,-,-,-,-,-
27,Free Cash Flow,-,-,32.03,32.03,-,-,28.49,28.49
28,Free Cash Flow Per Share,-,-,0.24,0.24,-,-,0.04,0.04
29,Gross Margin,56.81%,56.81%,54.63%,54.63%,53.05%,53.05%,53.39%,53.39%
30,Operating Margin,21.64%,21.64%,11.61%,11.61%,21.63%,21.63%,10.80%,10.80%
31,Profit Margin,21.31%,21.31%,-358.73%,-358.73%,10.31%,10.31%,17.77%,17.77%
32,Free Cash Flow Margin,-,-,12.44%,12.44%,-,-,15.67%,15.67%
33,EBITDA,103.06,102.43,43.15,43.15,83.44,83.47,33.55,33.55
34,EBITDA Margin,25.00%,24.85%,16.75%,16.75%,25.95%,25.96%,18.45%,18.45%
35,D&A For EBITDA,13.88,13.25,13.25,13.25,13.88,13.91,13.91,13.91
36,EBIT,89.18,89.18,29.9,29.9,69.56,69.56,19.64,19.64
37,EBIT Margin,21.63%,21.63%,11.61%,11.61%,21.63%,21.63%,10.80%,10.80%
38,Effective Tax Rate,8.87%,8.87%,-,-,16.62%,16.62%,8.30%,8.30%
