,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Market Capitalization,27794,17339,12479,14042,-,-,-,-,-
1,Enterprise Value,27046,16662,11802,15265,-,-,-,-,-
2,Last Close Price,105.80,66.00,47.50,53.45,-,-,-,-,-
3,PE Ratio,-,-9.74,-6.52,-,-,-,-,-,-
4,PS Ratio,14.78,12.16,9.02,11.28,-,-,-,-,-
5,PB Ratio,17.04,10.41,7.20,9.52,-,-,-,-,-
6,P/TBV Ratio,10.60,10.60,7.33,9.67,-,-,-,-,-
7,P/FCF Ratio,-,-,-,204.01,-,-,-,-,-
8,P/OCF Ratio,-,-,-,164.64,-,-,-,-,-
9,EV/Sales Ratio,18.97,11.69,8.53,12.27,-,-,-,-,-
10,EV/EBITDA Ratio,86.54,53.66,39.15,56.11,-,-,-,-,-
11,EV/EBIT Ratio,106.72,65.74,48.76,71.42,-,-,-,-,-
12,EV/FCF Ratio,-,-,-,221.78,-,-,-,-,-
13,Debt / Equity Ratio,0.28,0.28,0.28,0.25,0.25,-3.78,-3.78,-,-2.36
14,Debt / EBITDA Ratio,1.47,1.05,1.05,1.98,1.98,4.16,4.16,-,9.94
15,Debt / FCF Ratio,-,-,-,5.43,5.74,-,-,-,47.53
16,Asset Turnover,0.78,0.84,0.57,-,1.21,-,-,-,
17,Inventory Turnover,29.82,60.53,48.02,26.12,-,21.73,-,-,-
18,Quick Ratio,3.11,3.11,3.11,3.51,3.51,4.75,4.75,-,-
19,Current Ratio,3.54,3.54,3.54,3.86,3.86,5.38,5.38,-,-
20,Return on Equity (ROE),23.44%,24.98%,-268.87%,-,-,-,-,-,
21,Return on Assets (ROA),10.58%,11.36%,4.11%,-,16.29%,-,-,-,
22,Return on Capital (ROIC),11.16%,11.99%,4.34%,-,17.02%,-,-,-,
23,Return on Capital Employed (ROCE),15.19%,15.19%,13.94%,14.32%,13.58%,19.81%,12.09%,-,-
24,Earnings Yield,-6.40%,-10.26%,-15.33%,-13.63%,-,-,-,-,-
25,FCF Yield,-,-,0.49%,-,-,-,-,-,
26,Buyback Yield / Dilution,14.87%,-150.43%,-150.43%,83.31%,83.31%,-,-,-,-
27,Total Shareholder Return,14.87%,-150.43%,-150.43%,83.31%,83.31%,-,-,-,-
