,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Cash & Equivalents,608.07,414.39,636.35,624.97,686.23,-,-,206.08
1,Trading Asset Securities,255.95,343.74,311.75,308.54,239.13,-,-,3.74
2,Cash & Short-Term Investments,864.02,758.14,948.1,933.51,925.36,-,209.83,209.83
3,Cash Growth,-6.63%,-,351.84%,344.89%,-,-,-,-
4,Accounts Receivable,660.91,616.7,535.81,470.33,521.02,-,-,505.24
5,Other Receivables,6.39,15.23,5.57,5.44,1.52,-,-,1.25
6,Receivables,667.3,631.93,541.38,475.77,522.54,-,-,506.49
7,Inventory,227.54,223.01,199.43,206.55,201.06,-,-,244.84
8,Other Current Assets,25.32,31.75,30.36,26.61,45.5,-,-,46.43
9,Total Current Assets,1784,1645,1719,1642,1694,-,-,1008
10,"Property, Plant & Equipment",866.76,853.73,851.38,844.76,789.71,-,-,756.2
11,Goodwill,79.76,79.76,79.76,79.76,79.76,-,-,79.76
12,Other Intangible Assets,135.24,137.79,141.29,146.61,127.18,-,-,139.16
13,Long-Term Deferred Tax Assets,12.79,13.87,13.9,14.21,12.96,-,-,11.33
14,Long-Term Deferred Charges,1.8,1.43,1.04,1.16,1.23,-,-,1.55
15,Other Long-Term Assets,28.69,33.17,34.32,33.53,95.78,-,-,101.12
16,Total Assets,2909,2765,2841,2762,2801,-,-,2097
17,Accounts Payable,379.65,355.18,335.41,325.94,360.95,-,-,345.93
18,Accrued Expenses,32.1,46.75,32.15,58.24,29.8,-,-,78.04
19,Short-Term Debt,370.18,370.18,360.21,310.16,329.9,-,-,294.21
20,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,78.24
21,Current Portion of Leases,1.62,1.02,0.99,1.28,-,-,-,1.84
22,Current Income Taxes Payable,27.76,10.36,21.64,8.01,27.18,-,-,9.65
23,Current Unearned Revenue,15.43,15.96,19.58,12.93,13.78,-,-,15.69
24,Other Current Liabilities,33.92,19.65,7.66,33.09,72.11,-,-,45.59
25,Total Current Liabilities,860.67,819.11,777.64,749.65,833.71,-,-,869.19
26,Long-Term Debt,-,-,-,-,16.5,-,-,168.2
27,Long-Term Leases,2.1,2.37,2.35,2.32,2.6,-,-,2.7
28,Long-Term Unearned Revenue,6.22,5.68,5.87,6.06,6.25,-,-,4.81
29,Long-Term Deferred Tax Liabilities,4.39,6.14,5.99,5.45,5.96,-,-,6.83
30,Total Liabilities,873.39,833.3,791.85,763.48,865.02,-,-,1052
31,Common Stock,402.55,400.01,400.01,400.01,400.01,-,-,360
32,Additional Paid-In Capital,1031,1001,1001,1001,999.02,-,-,233.4
33,Retained Earnings,619.83,531.61,648.16,591.07,535.96,-,-,451.07
34,Treasury Stock,-29.35,-,-,-,-,-,-,-
35,Comprehensive Income & Other,6.58,-6.96,-5.98,0.7,-4.96,-,-,-2.91
36,Total Common Equity,2031,1926,2044,1993,1930,-,1042,1042
37,Minority Interest,4.82,5.11,5.42,5.72,6.03,-,-,3.42
38,Shareholders' Equity,2036,1931,2049,1999,1936,-,1045,1045
39,Total Liabilities & Equity,2909,2765,2841,2762,2801,-,-,2097
40,Total Debt,373.91,373.58,363.55,313.75,349,-,545.19,545.19
41,Net Cash (Debt),490.11,384.56,584.55,619.76,576.36,-,-335.36,-335.36
42,Net Cash Growth,-14.96%,-,-,-,-,-,-,-
43,Net Cash Per Share,1.22,0.97,1.43,1.56,1.58,-,-0.97,-0.96
44,Filing Date Shares Outstanding,400.92,400.01,400.01,400.01,400.01,371.19,345.69,360
45,Total Common Shares Outstanding,400.92,400.01,400.01,400.01,400.01,371.19,345.69,360
46,Working Capital,923.52,825.71,941.63,892.79,860.75,-,-,138.4
47,Book Value Per Share,5.07,4.82,5.11,4.98,4.82,-,2.89,2.89
48,Tangible Book Value,1816,1709,1823,1767,1723,-,822.64,822.64
49,Tangible Book Value Per Share,4.53,4.27,4.56,4.42,4.31,-,2.29,2.29
50,Buildings,-,757.67,-,658.24,-,-,-,554.36
51,Machinery,-,481.28,-,443.76,-,-,-,409.32
52,Construction In Progress,-,5.72,-,92.33,-,-,-,68.63
