,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022"
0,Market Capitalization,8091,7938,7060,7820,9708,11252,-,-,-
1,Market Cap Growth,-29.45%,-29.45%,-,-,-,-,-,-,-
2,Enterprise Value,7606,7559,6481,7250,9138,11591,-,-,-
3,Last Close Price,20.10,19.72,17.65,19.09,23.70,27.46,-,-,-
4,PE Ratio,28.35,27.96,25.93,29.44,38.83,41.82,-,-,-
5,PS Ratio,4.42,4.36,4.02,4.55,5.79,6.60,-,-,-
6,PB Ratio,3.97,3.90,3.66,3.82,4.86,5.81,-,-,-
7,P/TBV Ratio,4.37,4.37,4.13,4.29,5.49,6.53,-,-,-
8,P/FCF Ratio,57.47,56.39,38.08,-,37.76,51.06,-,-,-
9,P/OCF Ratio,30.46,30.46,24.18,21.04,24.69,28.56,-,-,-
10,EV/Sales Ratio,4.18,4.15,3.69,4.22,5.45,6.80,-,-,-
11,EV/EBITDA Ratio,18.90,18.69,16.67,18.76,24.80,30.08,-,-,-
12,EV/EBIT Ratio,25.87,24.86,22.26,24.97,33.22,39.36,-,-,-
13,EV/FCF Ratio,54.03,53.69,34.95,-,35.54,52.60,-,-,-
14,Debt / Equity Ratio,0.18,0.18,0.19,0.18,0.16,0.18,-,0.52,0.52
15,Debt / EBITDA Ratio,0.93,0.73,0.88,0.97,0.98,0.78,-,1.80,1.38
16,Debt / FCF Ratio,2.66,2.66,2.01,-,1.22,1.58,-,-,8.79
17,Asset Turnover,0.72,0.69,0.60,-,-,-,-,-,
18,Inventory Turnover,5.88,6.09,6.34,5.75,-,-,-,-,-
19,Quick Ratio,1.78,1.78,1.70,1.92,1.88,1.74,-,-,0.82
20,Current Ratio,2.07,2.07,2.01,2.21,2.19,2.03,-,-,1.16
21,Return on Equity (ROE),17.73%,16.71%,11.22%,-,-,-,15.77%,-,
22,Return on Assets (ROA),9.10%,6.98%,6.17%,-,-,-,-,-,
23,Return on Capital (ROIC),10.96%,8.29%,7.32%,-,-,-,8.48%,-,
24,Return on Capital Employed (ROCE),14.35%,14.84%,14.96%,14.07%,13.67%,14.97%,-,-,5.93%
25,Earnings Yield,3.51%,3.58%,3.86%,3.40%,2.58%,2.39%,-,-,-
26,FCF Yield,1.74%,1.77%,2.63%,2.91%,2.65%,1.96%,-,-,-
27,Dividend Yield,2.46%,-,-,-,2.11%,-,-,-,-
28,Payout Ratio,72.71%,1.89%,240.69%,3.66%,3.24%,5.16%,4.94%,274.20%,5.73%
29,Buyback Yield / Dilution,-11.72%,-9.58%,-6.50%,-17.96%,-13.30%,-,-,-,-
30,Total Shareholder Return,-9.25%,-9.58%,-6.50%,-17.96%,-11.19%,-,-,-,-
