,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,4.56,17.77,36.08,80.13,21.76,23.56,26.69,52.67,28.31
1,Revenue Growth (YoY),-87.35%,-77.83%,65.84%,240.17%,-18.46%,-55.28%,-5.74%,-,-
2,Cost of Revenue,3.04,13.48,25.97,63.32,18.69,18.71,22.17,45.61,17.17
3,Gross Profit,1.52,4.29,10.11,16.82,3.07,4.85,4.52,7.06,11.14
4,"Selling, General & Admin",31.44,59.44,57.95,53.56,58.89,103,42.22,114.43,43.52
5,Research & Development,102.97,174.11,207.94,179.47,170.32,177.47,166.9,123.16,77.15
6,Operating Expenses,138.77,234.76,266.16,233.02,229.21,279.17,212.06,237.6,120.67
7,Operating Income,-137.24,-230.47,-256.05,-216.21,-226.14,-274.32,-207.54,-230.53,-109.53
8,Interest Expense,-7.2,-7.39,-8.63,-4.78,-12.85,-8.55,-6.62,-8.96,-7.11
9,Interest & Investment Income,2.13,7.04,8.52,14,9.99,5.58,2.21,4.25,1.62
10,Earnings From Equity Investments,-0.01,-0.01,0.05,-20.59,-2.55,-2.86,-0.09,-,-
11,Currency Exchange Gain (Loss),1.41,-6.79,9.14,19.7,13.37,-14.96,-13.56,-12.61,10.99
12,Other Non Operating Income (Expenses),7.07,12.55,9.2,5.13,13.98,-429.73,-791.99,39.33,-10.44
13,EBT Excluding Unusual Items,-133.85,-225.07,-237.76,-202.75,-204.19,-724.84,-1018,-208.52,-114.48
14,Gain (Loss) on Sale of Investments,-,-,-,-,-,4.18,22.64,-,-
15,Gain (Loss) on Sale of Assets,-,0.01,-,-0.05,-,-0.04,-,-0.11,0.1
16,Pretax Income,-133.85,-225.06,-237.76,-202.8,-204.19,-720.7,-994.95,-208.63,-114.38
17,Income Tax Expense,-0.13,-0.14,-0.11,-0.13,-0.12,-0.05,-0.06,-0.06,-0.06
18,Earnings From Continuing Operations,-133.72,-224.92,-237.65,-202.67,-204.07,-720.65,-994.9,-208.58,-114.33
19,Minority Interest in Earnings,-,-,-,-,-,-,-,4.03,2.24
20,Net Income,-133.72,-224.92,-237.65,-202.67,-204.07,-720.65,-994.9,-204.54,-112.08
21,Net Income to Common,-133.72,-224.92,-237.65,-202.67,-204.07,-720.65,-994.9,-204.54,-112.08
22,Shares Outstanding (Basic),406,406,408,430,435,270,98,75,65
23,Shares Outstanding (Diluted),406,406,408,430,435,270,98,75,65
24,Shares Change (YoY),-0.51%,-5.60%,-6.31%,59.64%,346.11%,259.55%,50.57%,-,-
25,EPS (Basic),-0.33,-0.55,-0.58,-0.47,-0.47,-2.67,-10.20,-2.73,-1.73
26,EPS (Diluted),-0.33,-0.55,-0.58,-0.47,-0.47,-2.67,-10.20,-2.73,-1.73
27,Free Cash Flow,-121.03,-160.76,-213.05,-141.62,-176.37,-247.61,-191.5,-121.59,-116.14
28,Free Cash Flow Per Share,-0.30,-0.40,-0.52,-0.33,-0.41,-0.92,-1.96,-1.62,-1.79
29,Operating Margin,-3007.06%,-1297.34%,-709.59%,-269.80%,-1039.32%,-1164.50%,-777.73%,-437.68%,-386.90%
30,Profit Margin,-2929.93%,-1266.10%,-658.59%,-252.92%,-937.92%,-3059.17%,-3728.29%,-388.34%,-395.93%
31,Free Cash Flow Margin,-2651.80%,-904.91%,-590.41%,-176.73%,-810.60%,-1051.11%,-717.65%,-230.84%,-410.25%
32,EBITDA,-113.79,-208.23,-230.86,-188.74,-205.29,-251.15,-183.99,-216.64,-90.2
33,D&A For EBITDA,23.45,22.25,25.19,27.46,20.85,23.17,23.55,13.89,19.33
34,EBIT,-137.24,-230.47,-256.05,-216.21,-226.14,-274.32,-207.54,-230.53,-109.53
