,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,365.01,546.03,757.92,895.45,1091,1222,957.61,813.59,-
1,Cash & Short-Term Investments,365.01,546.03,757.92,895.45,1091,1222,957.61,813.59,-
2,Cash Growth,-51.84%,-39.02%,-30.56%,-26.72%,13.97%,50.20%,-,-,-
3,Accounts Receivable,29.46,37.66,47.97,34.01,3.07,2.57,16.81,16.35,-
4,Other Receivables,8.08,9.62,4.41,18.33,4.97,3.72,2.08,0.77,-
5,Receivables,37.54,47.27,52.38,52.35,94.12,90.88,18.89,17.12,-
6,Inventory,18.16,18.98,25.28,22.61,21.91,24.15,30.1,12.92,-
7,Prepaid Expenses,9.11,10.21,17.73,20.8,24.64,25.27,10.77,7.14,-
8,Other Current Assets,60.45,61.56,15.46,65.27,88.19,33.28,13.07,40.68,-
9,Total Current Assets,490.27,684.04,868.77,1056,1320,1396,1030,891.46,-
10,"Property, Plant & Equipment",411.29,433.54,433.5,450.29,466.93,473.16,461.4,473.23,-
11,Long-Term Investments,1.25,1.26,51.27,51.22,21.81,24.36,23.05,-,-
12,Goodwill,471.9,471.9,471.9,471.9,471.9,471.9,471.9,471.9,-
13,Other Intangible Assets,95.79,95.86,95.92,96,96.09,96.14,96.02,95.78,-
14,Other Long-Term Assets,2.75,6.7,8.68,8.66,50.14,83.79,71.91,71.22,-
15,Total Assets,1473,1693,1930,2135,2427,2545,2242,2091,-
16,Accounts Payable,78.53,91.84,54.52,48.15,29.33,31.43,46.96,34.45,-
17,Accrued Expenses,36.62,55.44,90.92,81.12,71.55,63.29,11.71,24.59,-
18,Current Portion of Long-Term Debt,313.22,376.92,369.89,387.6,333.34,273.34,220.43,91.31,-
19,Current Portion of Leases,3.67,4.74,5.24,5.24,6.22,6.27,8.11,7.51,-
20,Current Income Taxes Payable,0.97,2.13,1.77,1.24,0.94,0.95,0.76,5.17,-
21,Current Unearned Revenue,9.54,8.59,8.95,9.15,42.57,43.97,3.97,7.03,-
22,Other Current Liabilities,10.63,14.64,9.37,17.87,10.3,6.56,36.87,24.49,-
23,Total Current Liabilities,453.16,554.29,540.65,550.37,494.24,425.81,328.81,194.54,-
24,Long-Term Debt,22.2,10.5,60,16,70.89,77.39,99.08,145.94,-
25,Long-Term Leases,16.2,17.47,4.38,2.62,4.75,7.71,7.15,9.54,-
26,Long-Term Unearned Revenue,54.7,58.3,62.3,66.3,70.3,42.87,61.57,57.2,-
27,Long-Term Deferred Tax Liabilities,24.98,25.11,25.23,25.36,25.48,25.61,25.66,25.72,-
28,Other Long-Term Liabilities,-,-,-,-,-,-,3524,2474,-
29,Total Liabilities,571.24,665.67,692.56,660.65,665.66,579.39,4046,2907,-
30,Common Stock,0.28,0.28,0.28,0.27,0.29,0.29,0.07,0.07,-
31,Additional Paid-In Capital,4658,4658,4662,4666,4757,4757,292.03,289.77,-
32,Retained Earnings,-3643,-3509,-3284,-3047,-2844,-2640,-1919,-924.26,-
33,Treasury Stock,-3.28,-0.02,-0.01,-0.01,-0.01,-0.01,-0.01,-,-
34,Comprehensive Income & Other,-109.81,-121.14,-140.59,-145.8,-151.51,-151.5,-177.17,-181.82,-
35,Shareholders' Equity,902.01,1028,1237,1474,1761,1966,-1804,-816.25,-
36,Total Liabilities & Equity,1473,1693,1930,2135,2427,2545,2242,2091,-
37,Total Debt,355.28,409.63,439.51,411.46,415.19,364.71,334.77,254.3,-
38,Net Cash (Debt),9.73,136.4,318.41,483.99,676.22,857.32,622.84,559.29,-
39,Net Cash Growth,-96.95%,-71.82%,-52.91%,-43.55%,8.57%,53.29%,-,-,-
40,Net Cash Per Share,0.02,0.34,0.78,1.12,1.55,3.18,6.38,7.46,-
41,Filing Date Shares Outstanding,404.55,405.63,406.85,407.8,437.87,437.87,100.29,69.89,65.17
42,Total Common Shares Outstanding,404.55,405.63,406.85,407.8,437.87,437.87,100.29,69.89,65.17
43,Working Capital,37.11,129.75,328.12,506.11,826.03,969.79,701.63,696.92,-
44,Book Value Per Share,2.23,2.53,3.04,3.61,4.02,4.49,-17.99,-11.68,-
45,Tangible Book Value,334.32,459.87,669.65,906,1193,1398,-2372,-1384,-
46,Tangible Book Value Per Share,0.83,1.13,1.65,2.22,2.73,3.19,-23.65,-19.80,-
47,Buildings,-,178.87,-,174.94,-,174.18,-,174.18,-
48,Machinery,-,420.06,-,418.65,-,401.31,-,359.63,-
49,Construction In Progress,-,24.62,-,18.55,-,3.4,-,8.86,-
50,Leasehold Improvements,-,6.46,-,7.15,-,5.98,-,5.13,-
