,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,598,615,1496,2130,1302,1878,-,-,-,-
1,Market Cap Growth,-71.12%,-71.12%,14.88%,13.37%,-,-,-,-,-,-
2,Enterprise Value,588,465,1151,1582,510,826,-,-,-,-
3,Last Close Price,1.48,1.52,3.59,4.80,3.10,4.29,9.20,-,-,-
4,PS Ratio,25.04,25.64,25.21,16.96,11.30,35.39,-,-,-,-
5,PB Ratio,0.62,0.63,1.32,1.59,0.78,0.91,-,-,-,-
6,P/TBV Ratio,1.71,1.71,2.95,2.94,1.27,1.34,-,-,-,-
7,EV/Sales Ratio,24.50,19.37,19.41,12.60,4.42,15.56,-,-,-,-
8,Debt / Equity Ratio,0.39,0.39,0.40,0.36,0.28,0.24,0.19,-0.19,-0.31,-
9,Earnings Yield,-64.41%,-62.65%,-34.08%,-22.34%,-35.32%,-57.66%,-,-,-,-
10,FCF Yield,-50.61%,-49.23%,-27.54%,-18.00%,-27.62%,-26.44%,-,-,-,-
11,Buyback Yield / Dilution,3.12%,0.51%,5.60%,6.31%,-59.64%,-346.11%,-259.55%,-50.57%,-,-
12,Total Shareholder Return,3.12%,0.51%,5.60%,6.31%,-59.64%,-346.11%,-259.55%,-50.57%,-,-
