,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,47,37,49,74,83,112,89,156,87,125,165
1,Market Cap Growth,-50.84%,-50.84%,-40.50%,-33.70%,-6.98%,-28.00%,2.38%,25.00%,-47.17%,-36.17%,-52.54%
2,Enterprise Value,137,183,213,252,205,267,204,248,154,204,260
3,Last Close Price,0.11,0.09,0.12,0.18,0.20,0.27,0.37,0.65,0.37,0.52,0.69
4,PE Ratio,1.49,1.16,2.22,-3.72,-,14.80,7.36,49.11,-,-11.67,-
5,PS Ratio,0.05,0.04,0.07,0.13,0.16,0.22,0.17,0.31,0.20,0.32,0.53
6,PB Ratio,0.17,0.14,0.19,0.31,0.35,0.44,0.44,0.79,0.45,0.64,0.88
7,P/TBV Ratio,0.14,0.14,0.19,0.31,0.35,0.44,0.44,0.79,0.45,0.64,0.88
8,P/FCF Ratio,0.51,0.40,0.56,1.13,2.21,9.57,2.72,5.06,5.11,2.78,6.06
9,P/OCF Ratio,0.31,0.31,0.48,0.87,1.05,1.64,1.18,2.10,1.73,1.95,2.34
10,EV/Sales Ratio,0.15,0.20,0.29,0.45,0.40,0.53,0.40,0.50,0.35,0.52,0.83
11,EV/EBITDA Ratio,0.96,2.44,3.02,7.09,10.15,7.21,5.03,8.65,8.07,45.44,-
12,EV/EBIT Ratio,3.17,4.25,6.25,-17.76,-,-,17.50,-43.71,-,-13.69,-
13,EV/FCF Ratio,1.48,1.99,2.40,3.81,5.47,22.78,6.21,8.05,9.02,4.57,9.54
14,Debt / Equity Ratio,0.57,0.57,0.73,0.85,0.91,0.74,0.89,0.73,0.60,0.48,0.53
15,Debt / FCF Ratio,1.67,1.67,2.11,3.04,5.68,16.19,5.55,4.71,6.70,2.08,3.69
16,Return on Capital Employed (ROCE),13.72%,13.72%,10.66%,-4.65%,-,-,4.25%,-2.22%,-,-6.46%,-
17,Earnings Yield,66.92%,85.94%,45.00%,-26.87%,-26.46%,6.76%,13.60%,2.04%,4.29%,-8.57%,-9.46%
18,FCF Yield,196.39%,252.19%,179.13%,88.87%,45.20%,10.45%,36.81%,19.77%,19.57%,35.93%,16.50%
19,Buyback Yield / Dilution,0.44%,-,0.88%,-79.40%,-101.77%,-11.48%,-,-,-,-,-
20,Total Shareholder Return,0.44%,-,0.88%,-79.40%,-101.77%,-11.48%,-,-,-,-,-
